Username,Review,Rating,Total_reviews,Followers,Expert_level
Ipsita Pallavi,"Rated The cheesy fries and the chicken nuggets is something I would suggest anyone to not miss. The milkshakes are good, too. The whole place is a bit cramped up, and does create a hassle on weekends.",Rated 4.0,21,29,??
Aditi Shahi,"Rated I was completely averse to the idea of ever walking into a burger king outlet, after my first horrible experience at one. It was only after Rishabh KumarKumar's persistent persuasion that I decided to give it a try again. We ordered the mutton whopper and cheesy fries, and both of them turned out to be pretty good. Loved the cheesy fries.",Rated 3.0,0,0,Expert in Connaught Place
Shady Rohit Jha,Rated i visited burger king like 3-4 times and i must say thier chicken whooper is amazing. what i dont like about this place is that super aunty. hahaha who keep on having an eye on people who are finished eating. because they want more and more customers to come but they dont have much space.,Rated 3.0,11,30,??
Saurabh Srivastav,"Rated Went there yesterday ,heavily crowded place ordered their standard meal but i felt their was nothing special and it seems that they are deviating from their brand quality which is known all over the world also i felt that the place was under space but overall average experiance",Rated 2.5,14,26,??
Varun Kapoor,Rated I love burger king Big Boss Whooper but Cp's BK is degrading their quality as the foot fall is more and space n staff is less .. The preparation time was good enough but the way whooper was prepared was horrible all the stuffing was coming out of the bun... No sauces were properly put in and neither the burgers were hot.. I don't get it why they are imposing more on footfall instead of quality ... If they will sacrifice their quality definitely they will also end up like Mcd and dominos ..Bk your quality is damn good don't make it bad ... Your quantity and prices are too good .. But if you guys will make the quality bad I M sure no one is gonna step in again... First visit to cp store was good enough but in second visit we expected much more than first and ended up having a disastrously bad burger ... Hope you guys work on next time .. :) Yashika,Rated 3.5,21,280,??
Pravesh Khanna,"Rated No lie. I love burgers. And until now, I have always thought that Mcdonalds ruled the burger scene. However,Burger King has made me a believer.Where do I begin? The bun was perfect, the onions and tomatoes were fresh, the cheese was cheesy, and the chicken was perfectly fatty. Together they combine into a magical entity that closely rivals the burgers at Mcdonalds. Oh yeah, and the fries were perfectly cooked between crispy and soft.",Rated 4.5,4,76,??
Raman Singh,Rated Went to Burger King on a sunday evening around 4:00 and It was all packed but the lined moved quickly and the service was seriously one of the best I have seen at this type of places. we ordered the double cheese burger combo pack and It was more than enough to satisfy one's hunger. million times better than what you get at Mcdonalds. The bun was soft and the ingredients wee very fresh. certainly visiting next time..,Rated 4.5,8,57,??
Kartik Chawla,"Rated Burger king, the long awaited american food chain is finally in the Indian capital and it's growing faster than i ever thought. It is like McDonald's but also very different at the same time. The burgers are tasty and certainly have a different taste than other burgers. Also, it brings in a new variety of fries, onion rings and other stuff. It's nice to have something new in the same price range. Thumbs up to burger king.",Rated 4.0,35,99,??
Shan,Rated order mutton whooper with double patty....what an awesome taste...tastes even better with cheesy chicken fries .. even chiken whooper is also damn awesome and way better then its rival burger brand .,Rated 4.5,5,0,??
Dhruv Gupta,"Rated I was very excited to see Burger King opening in my fav CP. My first visit to Burger King was good. I tried their crispy chicken burger with fries. But my subsequent visits made me realize that Burger King is an overhyped food chain. The ""chicken whopper burger"" is a major letdown. Also their dessert & side orders aren't that good. Shakes are quite good though. Burger King is average in terms of food taste. I would rather go to McDonalds or Dunkin Donuts for having a quick burger.",Rated 2.5,64,48,??
Shikha,"Rated Burger king has the most dull n dry burgers of all kinds in all denominations , their assortments of onion rings are too bad. Their whopper burger is bit pardonable due to its jalapeo filling n few sauces. Their 360 degree beverage / dessert sucks equally, mc Donalds is far far better then BK anyday.",Rated 3.0,0,0,Expert in Connaught Place
Abhilash Baishya,Rated This place is one of the most packed around the block. A friend and I were in Delhi for some work for a few days. This was our daily lunch place. Had The Crispy Chicken combo meal those days and I don't think you get a better deal under 100 anywhere near given how good the burgers and the fries were. Would visit every time I'm in the capital for a quick bite or even lunch. Or dinner. Heh. Service is super quick. 4/5,Rated 4.0,31,146,??
Sarvesh Agarwal,"Rated Indeed the KING among all the Burger and fries chains like Mac Donalds and many more... All i can say its - Juicy,stomach filling and the tastiest burger Delhi got for its dwellers..!!! :p",Rated 3.5,9,86,??
