Username,Review,Rating,Total_reviews,Followers,Expert_level
Kamlesh Rawat,Rated Ek baar to banta hai.... nice place to hangout... mumbaiyaah concept...love it. Nice...keep it up..cheers team cafe dalal street.... burraaah,Rated 4.0,10,27,??
Devansh Kamboj,"Rated How would you feel , when you go at a restaurant with your friends , see the menu , the prices are hiked up a lot and when you order they just give you 3-4 small pieces of each item ? Disgusting ! Thats my experiences of the stupid place , firstly they try to impress with an ambience of something like stock market area where you see prices of the drinks being increased or decreased constantly. The staff was not at all helping . We ordered pizza , spring rolls , panner tikka , hukka and some mock-tails . The spring rolls were Priced at 295/- i guess and what you get are just 4 small pieces of it . Panner tikka was just bot enough for 1 person , the hukka that was pathetic was prices at 999/- the only thing good was the pizza . Even The mock-tails were not satisfactory . I ordered a wolf punch cocktail first and they handed me a tea cup filled with vodka and some other liquids , i argued and got it changed with a mojito . And when my total bill was summed upto 3k , for some Food and ambience like this i wouldnt pay a dime . Worst experience ever . The name should be f***ed up street .",Rated 1.5,34,260,??
Kunal Mahajan,"Rated So the new concept cafe in cp was creating a great hype soon after it's opening... Cafe Dalal Street with the concept of Stock prices in terms of food prices is a very unique cafe in M block of CP... Was here for my Senior's Farewell party and they actually gave us a nice package which included alcohol/mocktails, food and private space.... +1 for the concept they are using....+1 for spacious sitting and different cool ambiance.... Food: Package Included 4 veg snacks, 4 non veg snacks, 3 main course veg and non veg alcohol, mocktails and dessert. Snacks: 1.Honey Chilli Potatoes---- Very crispy in taste...accurate flavours of both honey and spices..perfectly mixed with potatoes..really loved the spring onion garnishing..MUST TRY... 2.Paneer tikka---- Usual paneer tikka nothing new in flavours... paneer was properly grilled with all the required spices. 3.Veg Exotic Pizza----When served hot..the melting cheese looked delicious above crispy vegetables...I really liked the taste and crispness of the pizza. 4.Dahi ke Kabab---- The dish of the day...soft in taste..perfect texture, had all required flavours and a pinch of some dry spices made it perfect dish...MUST TRY.. 5.Chicken Tikka----Perfectly cooked chicken...masala was properly fusioned with chicken...a good dish to start your non veg hunger 6.Fish Tikka------the only dish which was not up to the mark...the flavours were not good...fish was not properly cooked... 7.Chilli Chicken-----The best starter in Non Veg...traditional dish with complete flavours...nicely garnished....MUST TRY... Main Course: 1.Dal Makhani----It was too good..you can actually feel the flavours after smelling the dish...good in taste...accurate flavours...MUST TRY 2.Paneer Lababdar----Normal taste..sweet gravy...can be tried if want to have paneer dish..otherwise not so worth.. 3.Kung Pao Chicken---The chinese flavoured chicken....properly garnished and had all authentic flavours.... 4.Butter Chicken----The gravy was thick and had all spices required...they really kept the reputation high of the butter chicken... 5.Pasta---Red sauce pasta...spicy and properly cooked...all the sauces were properly mixed....MUST TRY.. Drinks: 1.Virgin Sangaria---- I first time tasted this drink.. and i really liked its taste..full of fruits... and very well served 2.Blue Lagoon 'n' Virgin Mojito was usual in taste....if you are not going for alcohol you can definitely have these drinks :D Overall---- A nice cool place...with good food and courteous staff...want to visit this cafe again to try some more good dish... Genuine price of everything which gets fluctuate(not know the concept behind it ) PS: If you like to dance on Bollywood numbers..You really need to convince the DJ to play it.... A good spacious dance floor is always available for you :D",Rated 4.5,0,0,Expert in Connaught Place
Supreem Lathwal,"Rated Visited the place on a satrdy evening... Wasnt much crowded till 9 pm... The interiors are ok, nothing fancy here.. Though they hav pretty big space but they havnt managed it well and much of the space is wasted here n there... They hav a share market like system for drinks... So drinking here comes cheep.. We ordered arnd 15 20 pints of budweisr at jst 83 rs each and a few black n white shots(at arnd rs 110 each) Coming to the food.. We orderd mezze platter which was ok, veg enchiladas were pretty good, jalapeno poppers and penne pasta were ok... The portions of all the dishes were pretty filling and service was quick... Overall worth visiting one time... Really a value for money",Rated 3.5,12,27,??
Mr. Frolic,"Rated Place : Not much to say about it, located in one of the most popular place in the city to spend a memorable evening . Ambiance : Spacious & lively, Innovative interiors with a concept of Stock Market . Prizes of drinks fluctuates & you can order accordingly . Food & Drinks : Food is slightly overpriced comparatively but provide value for money as a whole . Drinks are special attraction with whose prices you can play with & is reasonable too. Staff : Staff is average and needs improvement in overall conversation & serving aspect . Synopsis : A stupendous place to organize business events, financial meets & couples having romantic dinner & a crazy place to be with friends. Just need to have a good pocket, that's it.",Rated 4.0,2,2,??
Gazala Khan,"Rated This restaurant is really recommend. Coming to food is quite OK , the servers are very quickly, The DJ is playing great tunes to set your mood. Staff is good.",Rated 4.0,11,87,??
Pragya Khanna Arora,"Rated The most pathetic food & service ever... Went there for valentine day after getting a confirmed reservation done by zomato but had to fight to get in since our booking was not mentioned in their record Decor - Very basic, I didn't find the stock exchange theme depicted very nicely, looking at the screen for the changing prices of the drinks is very tiring Food We ordered a beer & 'bankruptcy' drink The bankruptcy costs around 1k per glass but its the most awful tasting drink I have ever tried, morever it just had like 5 sips of drink in the glass rest it was filled with ice...most disappointing The food (jalapeo poppers & 3 cheese pizza) were OK...they were served cold hence no taste Service Another major disappointment, was served food without the cutlery, had to ask for a fork trice, The staff looked extremely overworked & confused. And as a cherry on the cake, our bill was overcharged by an extra beer, had to show the server the number of bottles on our table Overall, a very disastrous evening Tip - Try not to go there at all, give it a miss",Rated 1.0,16,73,??
Abhishek Marwah ,"Rated Place : Not much to say about it, located in one of the most popular place in the city to spend a memorable evening . Ambiance : Spacious & lively, Innovative interiors with a concept of Stock Market . Prizes of drinks fluctuates & you can order accordingly . Food & Drinks : Food is slightly overpriced comparatively but provide value for money as a whole . Drinks are special attraction with whose prices you can play with & is reasonable too. Staff : Staff is average and needs improvement in overall conversation & serving aspect . Synopsis : A stupendous place to organize business events, financial meets & couples having romantic dinner & a crazy place to be with friends. Just need to have a good pocket, thats it.",Rated 4.0,24,23,??
Devina Jain,"Rated This place has something to it! Saturday night and you are sure to have a great time. Music, food, ambience everything is great. The pricing of the menu works on the Sensex formula. There are TV screen everywhere for you to keep a tab on the prices. Great concept!",Rated 3.5,13,24,??
Karann Pradeep Kapil,"Rated As the name goes the ambiance is , been to this place a week ago and it's done in a way as if you are actually in BSE. The food is really awesome ; still relish the taste of Dal Makhni . 5/5 in terms of taste. Your service needs improvisation ; they lag a bit turning out to be slow but was adjustable. KK",Rated 3.5,3,120,??
