Username,Review,Rating,Total_reviews,Followers,Expert_level
KAILASH AGARWAL,Rated Excellent place to have a sip of coffee or tea ( choose from more than 100 varieties ) and to read a book. I just love this place the ambiance is very soothing,Rated 4.0,12,1,??
Bhavna Bhardwaj,"Rated Cha bar is one of the cutest and the ppcket friendly place. With the good collection of books right by your side it also gives you a huge variety of yommy food and more 50 types of tea. Now me bieng me (comfused) did not try any tea bieng at cha bar but had hot chocolate instead. Now i went with my sister, and we bieng foddies tried the barbacued chicken sausages, chicken with tanduri sauce sandwich and yes the jelepino poppers, drank coffee and hot chocolate. We loved the food so we also packed some sandwiches for our way home. Everything that we ate was yum & inexpensive and it was inded a good place to sit and relax.",Rated 4.0,1,19,??
Neil Suri,"Rated Decent little place to go out with your friends if you're hanging out in CP and dont wanna spend much Food was good but nothing special about it, ambience was also good and the concept of it being attached to the Oxford library might interest some pe",Rated 3.5,31,178,??
SHILPA,"Rated Love coffee with english tea cake with your favourite book. Oh yeyyy this will be your favourite hangout place. Located in the heart of city one of the best book cafe. Simple decor but tasty food and VFM. I visited this place so many times but always want to come again. My sweet memories are associated with this place. Totally a MAD place for our MAD group. Mysore Bonda, Truck Driver Chai, Aksha tea & Bun kebab, English Tea Cake, Bun Maska, Keema Samosa, Bun Tiikki, Bollywood Chai. All are simply yuumilicious. Picture credits.... My friends & Me",Rated 4.0,19,74,??
Shubhankar Gupta,"Rated The prices ! So low ! Being in cp you expect yourself to pay atleast 500-600 for a proper meal but not here. Settled in the corner of F-block on barakhamba road. This little tea shop is conjoined with Oxford bookstore and serves large portions of food and drinks (mostly tea) at obnoxiously low prices. Don't mistake the low prices for low quality. Trust me, you won't find find better fish and chips anywhere. Golden fried, popping hot, crisp on the outside, soft white flaky fish on the inside, top class tartare sauce - all for rs 120. Need I say more ? Strongly recommend - the fish and chips. Really go have it now. Please do yourself a favour.",Rated 4.5,11,47,??
Arushi Gupta,"Rated Nice happening place in the oxford bookstore. Simple and chirpy ambiance. Very decently priced. Good food, good books and good friends. Your day is declared good. Must visit for a nice, laid back afternoon. Achari chicken sandwich should be given a try.",Rated 4.0,30,120,??
Saumya Kaushik,"Rated I am hugely dissapointed by the service of this place. You just cannot hear your company talk because of the loud music, when a book launch or anything is happening at the place. You order an item on the menu and get ready to wait for the next half n hour. Guys! Just DO NOT waste your money at this place.",Rated 1.0,16,73,??
Monika,Rated Heaven for the book lovers. Best thing book and food. Bad thing; none. Awesome location. Go anytime even to enjoy a light coffee session or romantic date!! This place is just the best.,Rated 4.5,18,17,??
Anubhav Somani,Rated Just don't miss: truck driver chai. Really refreshing. Great place for snacks. Good variety but the simpler items like bread/bun butter etc are big draws!!,Rated 4.0,22,22,??
Riya Bahl,"Rated Cha Bar is my ideal cafe - it's edgy, creative and alive. The place switches from quaint to bustling throughout the day. Despite being a teeny tiny place as compared to its roomy counterparts all across CP, Cha Bar manages to stand out. The food is limited but whatever they offer, they make well. As the name suggests, the chais here are the real highlight with their endless list of options. It's a great place for loners, duos as well as small groups of people though I would advise against going in very large groups. The staff is helpful and polite despite being overworked due to the sheer number of customers that walk in. Their Tiramisu and Red Velvet Pastry are amazing. I'd recommend checking out their iced teas too.",Rated 5.0,5,3,??
Nitanshi Agarwal,"Rated Finally a bookstore cum cafe, where you can sip your tea and enjoy a good read! Well thats what Chabar used to be, now it has become more crowded and noisy. Nevertheless, their food is great and very affordable. It is a must try for people who love tea, and by tea I mean not just our chai. They have a great menu for teas, you will find it difficult to select one. I tried their peppermint tea and apricot fruit tea. Both were different in taste, and something that I have never had before. Their red velvet cake and apple pie is very humble, and gives a very home made feeling. They wont make you feel very full and you can easily two slices with a cup of tea and a good book. A must visit for every tea+ book+ cake lover.",Rated 4.0,22,19,??
Bhupesh Jatiani,"Rated Cha Bar, newest form of sipping your old favorite tea n coffee in an Ambience surrounded by books. So a perfect place for book and coffee lovers and too at lowest prices in Connaught Place. We ordered Masala Chai, Chocolate Cold Coffee, Jalapeo Poppers and Achari Paneer Tikka. Everything was made as authentic as possible and was delicious too. And this all under 500. It's a small place, so it gets crowded too often. The ambience is done tastefully. And I must say this place has become a recent favorite!",Rated 4.5,60,378,??
Foodielove,"Rated This cafe has two of my favourite things -books and tea. I had visited this place quite a few times and it was an absolute delight every time. The staff is attentive enough and the food is really delicious, their fish and chips was one of the tastiest I've ever had. They have a wide range of teas for you to choose from and each tea has its own unique taste. Overall a very nice and warm place to stop for some tea.",Rated 3.5,16,23,??
Mkmthefoodie,"Rated Good place to spend couple of hours. Had keema samosas, tea and truffle pastry. All were good and service was efficient. Nice place to hangout.",Rated 4.0,21,30,??
Faisal Saiyed,"Rated Visited this place in search of some good chai.but seeing the menu i got tempted to order some food swell :D The Ambience is very calm and quite and a good place to sit with friends and relax Coming to the chai,I never knew there so many varieties of tea existed in the world :D I order a truck wali chai and masala chai.Both were really good. 4 Star for the chai Coming to the food,I had ordered white sauce chicken Pasta and to my horror it was the worst Pasta i ever had in my life,It wasn't cooked well and the sauce was scarce.",Rated 3.0,27,151,??
Nitin Sharma,Rated ..It's a beautiful book place + cafe ... Nice ambience...vast varieties of tea and coffe...even never heard that much ..take a long time to choose which one be the best...,Rated 3.5,1,9,??
Pooja Bhatt,"Rated Cozy and fun. Lovely, delicious food at excellent prices. Their Hot chocolate is to die for. Same goes for pasta and kebab burgers. What not to like about this place!?",Rated 4.0,6,0,??
Ankit Tyagi,"Rated Pocket friendly. Good for hangout, want to sit for long for chat with friends than this is the place you visit. Bit noisy and clumsy but this what suits it. loved d place.",Rated 4.5,8,7,??
Amiy Srivastava,"Rated Awesome place to chill out...amazing range tea to select, pastries, food, perfect ambiance and creative interiors, read books, have coffee, a perfect #hangout place for me !! :)",Rated 4.5,3,30,??
Nikita Bansal,"Rated Though small menu, but good food. Cafe with a oxford book store where you can buy as well as read books.The only problem is slow service and less seating. Always have to wait minimum of 20-30 minutes!",Rated 3.5,4,16,??
S.Madan,"Rated Cha Bar is one beautifully organised place filled with the hustle bustle of waiters taking swift rounds, music and chatter. The installations are eye-catching and their special blend coffee is marvellous, just perfect if you are more of a latte lover. The food is oka-ish and it might take some time for your order to appear on your table because of the heavy footfall in the cafe. You can sit in the book store and read. There is a circular light blue sofa, sift through the shelves for your favourite book and read! PS- you can't bring your own books.",Rated 4.0,13,39,??
Siddhant Gupta,"Rated Cha bar never disappoints. In my opinion, its the best coffee place in Central Delhi ahead of UCH, Starbucks, etc. It has a lot of food variety to offer along with a 9-10 page menu of different hot Beverages, & 90% of the times they'll all taste great! I enjoyed their Chicken Caesar salad a lot, the cold coffee and iced walnut carrot cake were yum too! Lot of waiting here at times, anywhere between 5 and 30minutes! Cost for two would 150-250 for a drink each and at max 550 for a proper meal! Highly recommend Cha Bar to everyone. (0.5 less than 5 because of the commotion caused by the book launches etc that take place often around here)",Rated 4.5,17,8,??
Vibhor Mathur,"Rated The place is cosy and has a bookstore next to it..which makes it interesting..we had ordered a chilli cheese toast and vanilla milk shake, and that was good..however the staff was extremely rude and gave cold looks whenever we asked them to take our order...so good ambience not so good hospitality.",Rated 2.5,4,2,??
Richa Bagga,Rated Along side oxford book shop..it is perfectly placed! Crowded and noisy..but great to hangout with friends! Okish food! Nothing great but pocket friendly.,Rated 4.0,34,49,??
Manika Dhingra,"Rated Situated inside oxford bookstore in the N block C.P., Cha Bar is a place for all the chai lovers. The menu has zillion variety of teas. Though i am not a tea lover, I still love this place as it has something in it which makes me go all nostalgic about my college days. I can never get tired of visiting this place. It is a small book cafe situated inside a library with simple interior. While my friends try different teas, i get my hands on small nibbles- bun maska, cha samosas, fry fry away, cookies pastries, pasta, ceaser salad iced teas and what not. This place is my fav breakfast/ brunch destination in cp.",Rated 5.0,4,63,??
Priya Govind,"Rated Ordered achari piza , red velvet pastry, masala chai , black current smoothie, hot choclate, alfredo pasta... Costed around 700 we were 3 friends had an peaceful and awesome time.. Also apent some time reading books ambience is nice staff is polite... This was my second visit will surely visit again :)",Rated 4.5,30,18,??
Shikha,"Rated Located inside Oxford book store N block , pretty cute cosy place for high tea, n anytime snacks. Pre-occupied always, great varieties of tea n cookies.",Rated 3.5,0,0,Expert in Connaught Place
Meenakshi Srivastav,"Rated Chatting over tea is always a great idea. If you have an addiction of reading and love for tea, this is the very right place. It is located in N Block, Outer Circle in CP. It offers a delish range of pizzas, sandwiches, desserts and a variety of tea/chai. I ordered Iceberg Club Sandwich and Cha Bar Coffee Blend which were really rejuvenating. The food was okay in general and the pricing was moderate. Overall this is a cool place to chill out with your gang on cup of tea or for a quick bite while its quite easy on the pocket. A great place for book lovers, chit-chatters and college gang get-togethers.",Rated 3.5,0,0,Expert in Connaught Place
Hemant Pandey,"Rated The oxford library is not the only catchy point to visit Cha bar (but yeah an important one). The food here was no extra ordinary but the prices surely were very marginal and appropriate. You could have to wait for hours during the weekend. And yes, a heaven for the tea lovers. Staff was quite friendly too. Must visit.",Rated 4.5,21,121,??
Charu Goyal,Rated Pocket friendly. Falafal with humus pita and tiramisu were worth a try. Drinks were not really good but the place has nice ambience because of which would love to visit again.,Rated 4.0,2,15,??
Jasmeet Kaur Kang,Rated A great place for book + food lovers! you can browse through the awesome collection of literature and have a wonderful time alone or with friends! Loved the place and would be revisiting sooon!,Rated 4.5,7,4,??
Sasha Nijhara,Rated In total love with this place I can give a 1000 on 5. I can sit here for hours alone and still not feel bored..plus the services are good. Kind people. Food was great too with surprisingly reasonable prices. A book lover's must go to place. Highly recommended.,Rated 5.0,7,8,??
Paro Mita,"Rated Located in N Block Connaught Places outer circle nearby Barakhamba... Cha Bar....a place for chitto chatters to book lovers. This cute place is not so big but it always gives you the magnetic atmosphere to come back again with delightful interior... The added charisma to this Cha Bar is the Oxford book store...grab a book and a chai, what else do you required to pamper yourself :) They have an elaborate menu with pocket friendlyprice-list.The menu has beautiful culturalblend of Indian, Mexican, Mediterranean etc cuisines to tickle your taste buds . You will find diversified crowd hanging out here for peace of soul. You have to wait for 10 mins to get a place to sit (busy hours). But as per me the wait is worthwhile.",Rated 4.0,36,391,??
Su,"Rated Want to have a long chat with your friends over a cup of coffee, cha bar is the place for you. Want to read alone in a cafe, cha bar is the place for you. Want to have red velvet pastry, cha bar is the place for you. This cafe is one of the most busiest caf/bar. Situated beside the oxford book store, it is a good place for all the book lovers. They have an elaborate menu, where in you can choose from pizzas, sandwiches, desserts and variety of teas/Chai. The ambience is a cool and elegant and the food is awesome. Everything that we ordered was amazing. After all the yummy food and endless chit chat you will realize that your bill is just so nominal. I loved this place. It is the perfect place to sip and hangout. This place is a complete package of great ambience, great food, and lovely experience.",Rated 4.0,17,242,??
Aakanksha Pundir,"Rated It's always a treat whenever I visit this place. Everything served here is amazing and of top quality from the never ending varieties of tea to salads, sandwiches and pastas. The menu is huge and will put you in confusion as what to order and what to leave. Not to forget are the delicious and healthy fruit smoothies which should definitely be tried, my favorite is blueberry. All in all its a place to definitely checkout whether you're hanging out with friends, colleagues or family. Do give it a shot!!!",Rated 4.5,2,0,??
Manpreet Kaur,"Rated I was particularly unhappy with the service. The staff was just roaming around and chatting with each other (and were quite audible) while there were a huge number of customers waiting for their orders. Due to the open kitchen and my table being right in front of their counter, I could see that they weren't serving even when the order was ready (cause they couldn't notice it due to the importance of their chat). Then my order wasn't complete. I wasn't informed that one of the things weren't in the inventory and half of that dish was served to me while rest was compensated with an ugly grin. Then even the chutney wasn't served which was clearly written on the menu. I had to specifically ask for it. Oh! Did I mention that my tea cup (no matter how cute it looked) was leaking? Like how much it costs to have good crockery? Don't think I would go to this outlet ever again. Maybe some other cha bar outlet. Sometime. finixpost.com",Rated 2.5,15,270,??
Suhael Buttan,"Rated Cha bar is a decent place to chill and is generally packed during lunch timings and gives you a stuffy feeling. The music is a bit too loud though. Coming to the food , we ordered fish and chips, white sauce pasta, chicken shawarma, cold coffee and a red velvet cake. The white sauce pasta was pathetic. It was too dry and bland. Fish and chips was quite nice though a tad too oily and the chicken shawarma was decent too. The red velvet cake was too sweet and creamy for my liking. If you're in cp during lunch hours and looking for a really cheap and easy on the pocket place, you can give this place a try though there are many more better options nearby.",Rated 3.0,29,128,??
Megha Chowkiker,"Rated Citylight place to read, but all chai's taste the same !! Lol. Different only by name. Snacks are eatable. Rest good collection of books. A place actually to get educated !! I prefer these places rather than bars ! Cha bar hehe",Rated 3.5,35,48,??
Anu Jain,"Rated Going to this place was the worst possible experience. From food to service, everything turned out to be pathetic. We ordered ginger lemon honey tea, cappuccino, pasta. After a long time, we were served with ginger tea without honey and half cooked pasta. When we raised the complain to the staff, he was least interested; infact laughing n smiling. The staff seems to be untrained and irresponsible. This dirty, over crowded place is extremely hyped without any reason.",Rated 1.0,1,0,??
Sonia Batra,Rated Reasonable Nice ambience Too crowded Variety is an issue One can visit there for a cup of cha or coffee but not if hungry Service is not that great as well,Rated 4.0,19,14,??
Siddhartha Jaipuriyar,"Rated Placed right in the heart of the city is a unique cafe with in house library. The famous Cha Bar and Oxford bookstore are well known and need no introduction. The place is really attractive and has strong gravity towards itself. It is generally full house even in odd hours. Cha Bar which is mainly famous for its varieties of Chai has many other things to offer as well. The Burgers, Pastas and Shakes are what I liked the most. The shakes were excellent and quantity was more than satisfying for the price of mere Rs 70. Every item is very well priced and goes easy on the pocket. You can sit here for hours with a cup of tea and a gang friends. Must visit place! Ambiance - 5/5 Quality - 4/5 Quantity - 4.5/5 Value for money - 4.5/5",Rated 4.5,9,1,??
Komal Daal,Rated It was my favorite place to hang out alone. Visited more than 10 times. Awesome food and service and budget friendly. But waiters are rude as they ignore the customers table bookings when over crowded.,Rated 4.0,4,31,??
Vamsi Chaitanya,Rated Too loud and the service was very slow even when the crowd was less compared to weekends. The servers were clueless and rude about the order even after repeated reminders.,Rated 1.0,3,2,??
CurtistheWalrus,Rated I absolutely love the location. The Oxford Bookstore is a wonderful place to be at - and to read at. Cha Bar only makes going there seem even more appealing. They have a very indulgent tea menu and no matter what your tastes are - you're sure to find something. We had ice teas which were a little watery. The White sauce pasta was a complete disaster - nothing much to say for it. The shammi kebab sandwich was very good and the fish and chips were excellent (0.5 extra for that alone). They were too good to be true - a steal at the price. My friends and I have recommended it to countless people - all because of that brilliant fish dish.,Rated 4.0,20,7,??
