Username,Review,Rating,Total_reviews,Followers,Expert_level
Amita Chhabra,"Rated Finally I got a restaurant which can take me to the heritage, which can brush my memories when I visited chokhi dhani in Jaipur.... The food, hospitality and folk Rajasthani song was so relishing.... They welcome you with shikanji and some papards which is complimentary. We ordered mutton shorba and it was very tasty... We ordered bharma tangri and that was simply out of this world... As we were running short of time so didn't had much but surely be visiting it again very soon for main course....",Rated 5.0,22,52,??
Kapoorrohit040,Rated it was my first ever visit here. it a a very decent and calm place for family. very tasty food very good service and nice decoration .......,Rated 4.0,5,239,??
Preety Khanna,"Rated A great place in the middle of the town .Food was decent and service was very nice. Food was really good, tast is very delicious.Staff is very nice and service very quick.",Rated 4.0,8,42,??
Nidhi Agrawal,"Rated A big NO for visiting with friends. This is totally a family restaurant which serves amazing variety of North Indian Cuisine. The only problem with the restaurant is the dinning tables and the location of the restaurant. They share the floor with Junkyard Cafe & Barbecue Nation which is something be a treat for this restaurant for the 1st time but once they have the food of devi vibes, they won't get a better option in connaught Place. And the tables are very conjusted. They really need to change their furnitures. But overall the experience was very good. Must visit place with family!",Rated 4.0,23,73,??
Dee Paul,"Rated Desi Vibes has opened up a branch at cp after running one in noida. The interiors are really nice and interesting , giving the restaurant a nice desi feel and character. Its located on the first floor at the outer circle in cp. The service is a bit slow but the good interiors make up for somewhat slow service and little expensive prices. The food presentation is good and the food itself is reasonably good though not extraordinary. A place worth visiting for clicking some nice pics with good interiors while enjoying desi indian food.",Rated 4.0,0,0,Expert in Connaught Place
Rohit Jain,Rated It's a nice place. They have a very good service and a great quality of food. Ambience is also good. But they charge a high rate of service charge i.e. @10%,Rated 4.5,2,31,??
Akanksha Sharma,Rated So its a very nice calm place. I loved it when they started playing oldies and some good slow hindi songs.. A different experience from all the other caffes that sorrounds this place. Food was good. Very good service.. Thumbs up!! Nice place to be if you want little peace.. Or you can go with family.,Rated 4.0,5,7,??
Ankursandu0,"Rated esi Vibes is one of the better places at Cannaught Place to enjoy some Mughlai and authentic Desi cuisine. For the food, we were served with a welcome jaljeera drink which was nice...dahi kebabs were excellent, paneer tikka was OK, chicken tikka was good! They serve 8 varieties of pickles which are excellent. The breads and main course again was very satisfactory, followed by pan candies as mouth fresheners! Overall a very nice experience!",Rated 4.0,9,9,??
Ayushi Bisht,"Rated Visited this place on Sunday afternoon for lunch. Ambience - 3.5/5Complementary Items (Shikanji n papad) - 4/5Food - 3/5Had ordered paneer makhani masala, navratan korma, dahi k kabab, tawa roti, rumali roti, methi lachha paratha, chur chur paratha n chhaas.dahi k aloo - 4/5panner makhani masala - 3.5/5navratan korma - 2/5.. toooooooo sweet and full of gravy whereas its a dry currychhaas - 4/5rumali roti - 3/5 .. not so softchur chur paratha - 2/5 .. not at all like d name suggests !!!methi lacha paratha - 2/5 .. was like a plain paratha only and very thick to eatPaid Approx Rs 1800 for above mentioned items. not worth it :(",Rated 3.0,3,2,??
Suraksha Mattoo,"Rated Hidden jewel in CP. Dhaba style ambience takes you to Punjab. They welcome you with welcome drink and papad. Their welcome drink was so tasty that we asked for more. Food is very tasty,mouth watering and service is quick. They served all rotis at once which we sent back and asked to get one round at a time. Dal makhani, rara chicken and chicken malai tikka are finger licking good. Good restaurant for family outing. You get some nice clicks with decorations indoors and outdoors. I would suggest fellow zomatizens to go and stand for reservations rather than relying on bookings made on phone especially on weekends.",Rated 4.0,133,380,??
