Username,Review,Rating,Total_reviews,Followers,Expert_level
Kashish Bajaj,"Rated Over-Hyped Place! I went with my family as i heard its a restaurant with a desi pinch based on bollywood theme- dharmendra thats why its named Garam Dharam. Retro music, retro ambience was according to their theme but too much of the golden lights were not eye catching. Service was satisfactory. Food was not upto expectations. The quantity served was not enough and the taste dint tempt my taste buds. I tried their classic cocktail - shera (orange juice with vodka), nothing new! Their dahi ke kebab and daal makhani were average, paneer lababdar sucked big time. There is a lot of scope for improvement in the taste of food.",Rated 2.5,12,6,??
Foodie Singh (Pujneet),"Rated I went to this restro without any great expectations. I have seen 2.9 ranking on zomato and knows that my experience going to be average or below. - Went on Saturday night, got table for 2 in 10-15 minutes waiting time at around 9:30pm. - Restro is very beautiful, full of colors and energetic. - Restro was full with Dada dadi papa mummy and chunnu munnu means all age people was there. - Music was very very loud. Full of Bollywood tadka. Music was that much loud even service boys can't take food orders properly. Don't understand purpose of playing so loud music in family type restro. - Service was not up to the mark. I have found service boys not well trained. They were doing their best but something was missing. - My purpose of visiting different different restaurants to experience new things and food. - I love trying new things and that is the reason I have tried 3 different cocktail drinks - Basanti, Paan and Pyare which comes with 60ml of alcohol of yours choice. I liked all cocktails and these cocktails are the only reason I will go to this restro again. - With drinks I ordered Dahi ke kebab which was perfectly cooked. - MASALA PAPAD WAS THE WORST THING I EVER HAD IN MY LIFE IN ANY RESTRO. Papad was full of red chillies, taste less and waste of money. How can someone can put so much of red chillies on masala papad which no one can eat. I eat lots of spicy food but this papad was something to throw in dustbin. - I have noticed the quantity of main course is good and that was the reason I placed order for just Gobhi masala. - Gobhi masala was cooked very well and along with Gobhi I have ajwain and kasturi methi paranthas. I didn't tried their non veg food but for sure will have in next visit. Things that needs improvement are service & loud music. Food is just above average nothing great. They are opening a second branch in rajouri garden and hope they will come up with better plan in that location. Thanks,",Rated 3.0,89,272,??
Jitesh Foodaholic,Rated As the name suggest it's full of Dharam Paaji From name to decor Drinks to food everything is just Garam Dharam Must have Pineapple Chaat Dahi ke Kabab Nd desert Kesar Kheer,Rated 4.0,13,57,??
Smarth Kharbanda,"Rated Horrible experience at Garam Dharam. The management is irresponsible and clearly doesnt know how to run a restaurant. You cannot get customers with just making good interiors, one has to serve their customers equally. THE MANAGER (ABHISHEK) SEEMS ILLITERATE AND IS CERTAINLY NOT FROM THE INDUSTRY. Doesnt know even how to talk to their clients. Maybe the customers have given them too many visits than they deserve, clearly their minds are above in the clouds.I got humiliated on the night of 3rd feb when I went there with a family of 25 people for a party. WORST DECISION EVER!!! I literally served my guests myself and running here and there for catch holding the waiters. 3 of my guest and myself did not have our food as we were busy serving our guest. On this the Manager told me please come next time and they shall serve better!!! not even an apology!!!Great going guys!!! A STRONG ADVICE PLEASE DO NOT RUN ANY RESTAURANT JUST MAKE THEM AND SELL IT TO SOME ONE WHO COULD BECAUSE YOU PEOPLE DEFINITELY NOT CAPABLE OF RUNNING ONE!!!!",Rated 1.0,2,28,??
Epicurean,"Rated Desi at its best. Truly justifies theka te dhaba concept. New one in cp but overcrowded even on a Monday night. Loved the idea of serving cocktails and mocktails in glass bottles that resemble ""pauaa"". Music might make you secretly tap your feet. Good stuff!",Rated 3.5,0,0,Expert in Connaught Place
Rishi Bhasin,"Rated Only saving grace is dharmender's songs, food nothing exceptional Stewards had such high attitude like they were doing favor to us, a dirty glass given to them was wiped and given to me ,no new glass no apology, dinner plates were given without spoon and fork , manager will not have time to go to any table and ask for feedback. Blistering hot where people were eating food whilst sweating With current average rating of 2 garam Dharam and attitude of staff,restaurant is not going to survive for long and bubble of customers are going to disperse to other better restaurants. Sincere request to get ABC of hospitality right",Rated 1.0,92,71,??
Sadhna Verma,Rated wonder why ranking is 2.9 but great punjabi food with an aunthentic taste and Dharmender ambience. Perfect place to go with your family including elders too.,Rated 5.0,2,1,??
Jasmeet Kaur,"Rated good specially the quantity . the veg food is veryn delicious.. The taste is great, service is very quick. thankyou for staff member..",Rated 4.0,6,0,??
Grownfear,"Rated ""Garam Dharam"" a place which is solely based on a theme . Theme for a bollywood actor , ""dharmendra"". Hence , named garam dharam. The glossy sign board with the bulbs around snd flashing small led's. It starts with an a glass door entry with a heavy wood outings. The menu outside is placed on a old retro camera roll . As u go inside it gives u a glimpse of old superhits. So we went on a valentine evening , a fully jam packed nd we waited for about 5 mins (just because the owner is dad's freind). We were 4 people and were seated upstairs . The decor is nice , like the old dhabha look , and the walls painted sholey on it .the lamp shades are made from buckets and tea pots . This was the most exciting thing of all. Now we decided to order kadhai chicken and soya chhaap followed by a dal makhani . My fancy world did come to an end when i could see only 4 pieces of chicken out in a small kadai with loadszz of capsicum nd onions. The dal's quantity was not even spoon full for 2 people . This all could be seen on our table after an approximate time of 40 minutes. We could have said it a gala time but to my surprise it was just not the dharamrendra style or punjabi . Bieng a punjabi , taste and spices matters alot , but here in both were missing. The chicken seems to be boiled and then used . The curry was more of a chinese thing than to be added a flavoured touch for punjabi's . Daal definately needs a hand on and u could eat it better from a dhaba than from here. Soya chaap was the only thing for us which made us feel better and helped us enjoying our supper. Over all - a little over hyped place . In the rat race of the food chain it needs a definately touch up nd the staff needs to be more polished . Tip for the place- make sure if u are expecting it to be a place with a average ambience , seat urself down not below the speakers upstairs where in the base needs to controlled because of the extra treble that makes eardrums pain . Over all a 3 . Cheers..!!!",Rated 3.0,55,213,??
Akhilesh Ahirwal,"Rated The ambience was good. The hospitality and service were pathetic. The food was not worth for money. The waiters had casual attitude and delayed the order and the food served was not delicious. Music is too loud to sit and talk. Customers need to ask for basic things like chutney, bowls, water etc. No suggestion book for the customers. The restaurant is a hype on the name of bollywood star. Its better to go to a dhaba and enjoy food. ""Mere wastage of money"". Not at all recommended.",Rated 1.0,1,0,??
