Username,Review,Rating,Total_reviews,Followers,Expert_level
Kanikananda89,Rated I feel this place is a little overrated.. I mean its nice and food is average.. Nothing motivating enough to turn your taste buds again to the place..,Rated 3.5,16,11,??
Nimish Kapoor,Rated Worst experience I have ever had.....!! Bad Food.... sorry worst Chicken Tikka.....!! I was seated downstairs and all the seats were vacant on the roof when I asked them to please let me be seated on the roof top they refused and said the seats are reserved but it was not so the guy who was busy distributing the seats was so arrogant and was least bothered about my concern. I will never ever recommend anyone to be dere trust me guys its not worth spending your sat & sun night Worst service I could ever imagined,Rated 1.0,1,21,??
Saurabh Kochhar,Rated Been here many time. Foo here never disappoint us. Love the food here though Ambience is pretty ok. Must try tempura and butter chicken,Rated 4.5,5,0,??
Chandan Biswas,Rated The roof top service seems to be very slow. But the food presentation was indeed impressive. The music selection was very bad. Needs improvising on a lot of factors for good.,Rated 3.0,22,255,??
Sonali Ahluwalia,Rated One of the best experiences ever! The ambience is very comforting and warm with a friendly staff. The thing that first hit me about this place was that it has 6 cuisines in total which makes its menu very vast but in turn it gets damn hard to decide on the food. Anyways the interior is very vibrant and intense. I liked the upper floor better than the main floor. The food tasted good but the service could have been better. What i ordered: Nin-veg Lasagne Verdi Emiliane Smoked Mutton Galouti (Must Try) Chicken Roulade Veg Pizza Ortolana,Rated 4.5,10,3,??
Gaurav Banerjee,Rated Very bad food n very poor service Very bad food n very poor service Very bad food n very poor service Very bad food n very poor service Very bad food n very poor service,Rated 1.0,1,49,??
Vipulnigam9798,Rated i love this place so much i love the concept their service is also very good they serves very very tasty food and the crowd is lovely here,Rated 4.0,5,400,??
Shriti Dey,"Rated Last month i went kinbuck 2 for lunch i ordered ciorb de pui ( chicken soup) and pizza. the service I would say is very well managed and the servers are helpful with the menu and ordering, they provide good food at reasonable price and the service is good. The pizza is also great with its base not too thin and not to thick. Overall it decent place for a lunch date.",Rated 4.5,9,167,??
Prarthna,"Rated Not really impressed by the place. Although people have told me long tales of their visits here, my experience remains quite insignificant. AMBIANCE- It is the only good thing. Go here for the ambiance and nothing else. Still I would say there are a lot of other places in CP with better ambiance and breathtaking rooftops than their's. FOOD- Totally a no no to the food here. Soup was just okayish, Quesadillas were just not tolerable. Saviour of the day was pizza- only for the pizza, the rating. With limited options among desserts, we settled for waffles with vanilla ice cream. Soggy they were, literally soggy and lacking flavour. SERVICE- Tooooooooooooo slow. My advice is, order all your food in one go, because they take really too long to get you the order. Must mention, the time when I went only one table apart from ours was occupied, and such was the service even with just 2 tables occupied. VALUE FOR MONEY- It is not too costly but then why would one go here when the food and service both were a let down. Not coming again. Much much improvement needed.",Rated 2.5,0,0,Expert in Connaught Place
Amrita Kaur,"Rated Located on the outer circle just opposite Lord of the drinks , me & my girls had planned to go somewhere else but we accidentally ended up here & I would like to say it turned out to be good accident . This place doesn't seem to be so spacious and smartly organised from outside but when you enter there is a surprise for you . Beautiful & vibrant interiors and amazing ambience especially the terrace Area. Divided into two sections both very appealing . A separate area for for a party ( if you want a private area this is a good option for you ). The staff is friendly and helpful. Now coming to the food we went there while there was a Sangria festival going on so we took sangria , beer and a shake . We wanted bira White which was out of stock , so we took bira Blonde . We stayed safe & ordered garlic bread , chill potato wedges & white sauce pasta . All three very nicely presented and delicious . The garlic bread was accompanied by a self made salsa sauce that I loved. They first served garlic bread which they thought was less in quantity , so they themselves served us another round of garlic bread which t was better in quantity ( it indeed was ) . Overall i loved the place & I would definitely visit here again to try new dishes . Yeeah yeaah to this one",Rated 4.0,39,353,??
