Username,Review,Rating,Total_reviews,Followers,Expert_level
Shaifali Aggarwal,"Rated we visited lord of the drinks to celebrate valentines. Nice, subtle place to visit. Please carry a valid age proof as they insist on a 25 years legal drinking age. The dim lights, sofa seating ,nice music, the terrace viewmakes it a place worth visiting. We ordered couple of starters including dahi kekebab , cheese peri peri pizza and lasagneveg and non veg.Everything was worth tasting. In drinks we ordered LIIT pitcher and every drop of it was worth a drink. I will highly recommend this place.",Rated 4.0,11,34,??
Siddharth Mehta,Rated Excellent place and no prizes for guessing its straight out of The Lord of the Rings scene. Beautiful open terrace with balconies overlooking the bustling CP wherein you can enjoy Sheeshas and the best of drinks.,Rated 4.5,33,25,??
  ,"Rated Its an awesome place to be on weekends. Enjoyed the medieval ambience, service and drinks well. Just lacked the wooden beer mugs to nail it. Table reservation is a must if you are going there, else you have to wait atleast 15 mins to get one. But even though it will be worth it. And the terrace view is another treat, should definitely try before the winter is over..",Rated 5.0,2,6,??
Mr. Frolic,"Rated Place : Not much to say about it, located in one of the most popular place in the city to spend a memorable evening . Ambiance : Spacious & lively, Innovative interiors with a concept of lord of drinks, which precisely reflects it's vibes . Terrace serves as a special attraction on musical evenings with an amazing night view of Cp, cold breezy air with a hot food and your favorite drink makes your day . Food & Drinks : Food is reasonably prized & for drinks it's really the lord . Overall this segment provides total value for money . Staff : Staff is well trained & is very cooperative . Synopsis : An exquisite place to spend time with family & friends especially on musical nights . And rest is just a matter of taste . Highly Recommended .",Rated 4.5,2,2,??
Siddharth Kathuria,"Rated Nice, subtle place to visit. Food was good but they don't offer attractive schemes on drinks which doesn't justify the outlets name. Please carry a valid age proof as they insist on a 25 years legal drinking age. They are mentioning the PAN No. as their Service Tax No. on their bills and collecting service tax which should be corrected ASAP. Must visit place for couples.",Rated 3.0,19,107,??
Dolker Bhotia,"Rated Ambience is good with many different seating options and the rooftop seating is one of the best in CP. Also LOD's menu has a variety of cuisines to chose from. We had the peri peri veg pizza, cheese fries and fried chicken.The peri peri pizza was the best. The cheese French fries could be better. All in all the considering the ambience , the food and the price Lord of the drinks is a must visit in CP.",Rated 3.5,2,2,??
Nitish Kharbanda,"Rated Now I would like you mention why only 3. To be honest it was my first visit to lotd. Excuse me for the short form. And the first impression was good the ambiance and how they have kept the entire place is mesmerizing. But what spoiled my mood was the manager who was allotin the table. We had reserved a table in advance knowing its a sufi night and it's always a hassle during the performance as everyone wants to get the best table and we wanted the same too. So coming back to the problem, the manager had no idea about the reservation and when I told him its unfair to say no to us seeing 60% of the tables were empty which he claimed were reserved and though I too had a reservation I was asked not to sit in any of those tables. And finally I pursued him. And got a table. What came next was the speed of the staff. The food was served well ahead of the liquor which should be the other way around. The quantity of the pitchers order was lesser than what the drink menu claims. You can check it in the picture yourself. Over no complaints about the quality of food but lotd fails miserably in their hospitality. The only good part about the night was the guy performing @ rahul, his performance kept us stay there till closure.",Rated 3.0,2,34,??
Priyanka Garg,"Rated We visited there for a birthday party. The dim lights, sofa seating and nice music makes it a place worth visiting. We ordered couple of starters and main course. Everything was worth tasting especialy the biryani. I will highly recommend this place",Rated 4.0,42,15,??
Akanksha Bajpai Sehgal,"Rated The place is hugeee and very well managed, the terrace floor is just awesomee... Read the review on zomato before deciding to go there, we went on a tuesday night and had to wait for 15 mins to get a seat on the terrace... The terrace was thatttt busy for a tuesday night... The food was scrumptious. We ordered prawns which were very flavourfull and fresh, chicken straganoff, fish fingers, chicken biryani were all delicious... The best part was the dj.. The music was soooo amazing that people were flocking around the dj and enjoying to the coreee... Amongst a group of 3 people we finished 3 LIT pitchers, so u can imagine how fantastic the food, music and ambience was !! Absolute must visit",Rated 5.0,5,15,??
Aastha Singla,Rated Cool Place to hangout with friends... Relaxing and positive Makes you feel like a warrior tried hookah great taste and the service is also satisfactory,Rated 4.5,6,6,??
