Username,Review,Rating,Total_reviews,Followers,Expert_level
Just Delhiing,Rated As summer is knocking at our doorstep this is the place you should keep in mind when the humid Delhi summers finally arrives. And i can bet this place will not disappoint you. Located in the heart of Delhi this place offers a wide variety of ice creams. They have specialised in seasonal fruit flavours. The flavour of the ice cream is very natural with no extra preservatives added and it totally satisfies the taste that you have developed for one fruit over the years. The interiors of the place is equally stunning and the place is pretty spacious for an ice cream parlour. The price of the ice cream is not very expensive and we personally would not mind spending some extra bucks for the flavours they serve there. So guys if you are feeling the heat when summer arrives then do visit this place for some relief.,Rated 4.0,23,290,??
Vaibhav,"Rated Hi Just went to this place on 12th February 2016 and my take on this place in short are as follows LOCATION This place is located in L Block Connaught place outer circle nearby Minto road crossing. AMBIANCE Keeping in mind that Im here for ice cream. There ambiance truly justify the theme. Liked few seating space available for customers. Ambiance 4/5. FOOD On my previous visit, I had one scope of Roasted almond & kesar pista ice cream & Im glad that I have been to this place. Ice creams 5/5 HOSPITALITY Being a self service counters, your orders are wiped off within few minutes. CONCLUSION I have found a place for all my ice cream requirements. Travelling from Mayur vihar to CP for their ice cream is definitely worth it. Cheers :)",Rated 5.0,0,0,Expert in Connaught Place
Akshat Singhal,"Rated Amazing ice-creams, raspberry is too awsome....!!!! They have all natural flavours, tried papaya-pineapple, raspberry, tender coconut, strawberry etc....!!!!",Rated 5.0,18,38,??
Vaibhav Agarwal,"Rated Gazaab ki Ice cream they have .. had yumiiee .mango ice cream is just extra extra tasty ..sitaphal is just ok ok .chikoo is not good in taste ..ajeer ice cream has a very bad taste ..whenever u visit , do Take Mango ice cream ...",Rated 4.5,116,56,??
Bimal Agrawal,"Rated Wow - superb - Fantastc - Awesome -Fabulous or Simply Naturals. What to say its the best. The USP is their natural taste nd unique flavours. We tried choco chip, jack fruit, kesar pista, anjeer nd my fav chikoo. We missed sita phal which wasn't avlble. A real Gem from the land of Bollywood. From Now if its an ice cream it has to be Naturals !!",Rated 5.0,6,28,??
The Feast That's Life,"Rated After having dinner elsewhere, I stopped by the CP outlet to grab a cup of my favourite sitaphal ice-cream. But as it was not the season for the fruit, it was unavailable. So I tasted their winter-special berry flavours: raspberry, blueberry and mulberry and finally chose to have a cup of mulberry. It had just the right amount of sweetness, and was slightly tart as well, with bits of fruit inside the creamy ice-cream. A very nice and different flavour, and one which can definitely become my winter favourite here! thefeastthatslife.wordpress.com",Rated 4.0,0,0,Expert in Connaught Place
Aradhana Grover,Rated Loved their ice creams. Its a nice place and we ppl hopped in for ice creams of our choice this afternoon...after a hearty biryani at Biryani Blues. Kids loved the ice cream too much.,Rated 4.5,4,39,??
The Great Indian Foodie :P,"Rated Earlier that place was owned by Reliance Communication and One day I have found that place is replaced by Natural Ice-cream.I just checked their menu which has limited variation and have regular option. I just gave a try with almond and black grapes flavour. both were good. Outlet : Oultet is located in L block, Outer circle very next to Wagh Bakery Lounge. Big outlet with good ambience but low capacity of sitting arrangement. Cost is fixed per for either of flavour i.e. Rs 60 including Taxes. no Hidden price for waffles Rs 10 extra. cost is reasonable as per quality",Rated 3.5,0,0,Expert in Connaught Place
Dkhnt aj,Rated This place is best for icecreams. The prices according to taste are nice. Selecting flavours is very difficuilt as all are good. The shakes are also very good.,Rated 5.0,3,25,??
Rohan,"Rated Considering its rating its quite good, I was impressed by the ice cream and also the shakes, do try out different flavours of you want to appreciate the place",Rated 5.0,20,10,??
