Username,Review,Rating,Total_reviews,Followers,Expert_level
Sachin Bobal,"Rated Odeon social is the new addition to the social legacy. From ambience to food to service to the entrance as well ,everything was just mind blowing. The servers wearing school uniform and the mark sheet board definitely takes you back to ur school days. The service was fast and efficient. Ordered: a glass of Sula satori Merlot Malbec ,cheese Masala pao,chilly paneer black pepper box,shawarma wrap,yo mama. Chilly paneer black pepper box was excellent. The sauce was perfectly made. Shawarma wrap was delicious. Garlic mayo and fries were the stars. The masala used on the fries reminded me of fries from McDonald's. Cheese masala pao!!lip smacking is the correct word. Loved it to last bite. I was full but still couldn't resist myself from finishing he dish. Overall it's an amazing new place in cp and a must try.",Rated 4.5,78,494,??
Gaurav Verma,"Rated Odeon Social is the newest addition to already crowded market of cafe, bars and lounges in CP. The newly open joint lives up to the expectation of Social franchise. The ambience is different not only from other cafes and bars in CP but also from other Social outlets. With decor theme of back to school seating options are available either on table with big typewriters and bench style seating. In the outside area there are two swings which actually take you back to the school. Now coming to menu, they have good options out there in food and drinks. The special back to school menu is offers value for money. We ordered the Famous Social Margarita, which comes with an ice candy though flavours mentioned on menu were not available and Hajmola shots. The drinks were innovative and were made nicely. In food we ordered Mezze Platter which was good for three people, China box, which was decent take on noodle bowl and twist on a tikki from their back to school menu, which had right flavours with hash brown and wasabi raayta. Coming to service, well everyone around us was being served pretty quickly but guess there was something wrong with server at our table so will discount that part. Overall, a nice place to hangout.",Rated 4.0,14,185,??
Gaurav Prakash,"Rated After listening to great reviews about the newly opened Odeon Social, I decided to give this place a try. I went here yesterday with a friend of mine. It's easily accessible, located just above the Odeon BIG cinemas. Or just in front of the Famous Odeon Paan wala. Ambiance and Interiors: The place has an automatic door to start with. Classy! We went upstairs and it was a nicely lit, school themed restaurant and everything around you will remind you of school times. the walls, the antiques placed at different places give the place a really good feel about it. I didn't like the music much but it wasn't that bad, either! Even the tiles in the washroom are printed with charts we used back in the school days ( how to keep villages clean, etc). The outlet is huge. Like really huge! And they have a corner where you get Hanging charging ports. I found it really contemporary and next gen. Kudos! Check the pictures for more understanding. Crew and Menu : I found the crew really responsive and happy to help. It felt like they were trained to care for the patrons. A crew member escorted us to a 2 seater table and another one came by to check how we liked the food. The service is quick and it's a pretty nice effort, overall. Not to forget, the crew is dressed in a school uniform. And they are happy to get clicked with! The menu is pretty exhaustive , though the veg options are farely limited. Cannot comment on the alcohol part, since we din order any. Food : Let's come to the main part now. The service is reasonably quick. We ordered the Ferrero Rocher And Odeon Social Shake and i found the shakes really good. The quantity, not so much. I feel it's too less for 190 when compared to the shakes i have had in different places. Also, the shakes come paired with two wafers, which is a okay sort of combination. We ordered the Paneer makhani biryani and it was really delicious. It was a perfect quantity for 2 people and came with curd raita and Indian fries! I would rate the preparation and presentation a 5/5. We also ordered the Penne Pasta in Tomato Sauce, It came in a box and was good. I liked the biryani more, though. But my friend liked it since he's more of a pasta person. We clicked a few pictures of the property which you can check with the review . Overall, it is a reasonably price place(except for the shakes) and i feel that it doesn't really cost too much for such a good time! I had a great time and i look forward to coming back Overall 4/5 Cheers!",Rated 4.0,0,0,Expert in Connaught Place
Vikas Joon,Rated Finally went to odeon social and yes it was amazing experience. First of all thank you manager - don't remember his name but he was check blazer thank you for your sweet gesture and service not only him guys being bar and serving on table every single person was so sweet and caring listening to our order carefully getting things on time it was total 5 star treatment and this was on weekend when its completely crowded. Hats off Will not say anything about food and drinks as social has been my favorite place and whatever you serve has always been liked and loved Music was amazing too and classroom feeling was too good Will be back soon Also you guys please come to Dubai soon,Rated 4.5,24,151,??
Amar Sirohi,"Rated When i got to know that an outlet of social has opened in cp, i couldn't resist myself from going there. Situated in the Odeon building under the big cinemas it is a big big place which has both indoor and outdoor sitting. It has the high school theme, the school uniform like dress of waiters, wooden chairs and tables with typewriters and telephones, trophies cabinet, ruler printed holders..even the utensils..everything will remind yu of your school days. Be ready to experience nostalgia. Full marks to the creative mind behind it. I spent only 20-25 minutes here as i had my movie show so I ordered jalapeno mac n cheese with parmesan crust, which was unavailable. Then i asked for Bombay bachelor sandwich, which tasted like vada paav. It was good but had something lacking..and was a bit dry for my taste. It could have been better. This rating is mainly for their interiors and service..i'll come back here soon..will try few more dishes and will update this review.",Rated 4.0,0,0,Expert in Connaught Place
Akhil Chugh,"Rated Visited on Monday night with my colleagues and the place was reasonable packed considering the day. The place has perhaps the best and fastest service I have ever seen in Delhi. Hats off. They were sending out stuff from kitchen as speeds that could put fast food restaurants to shame. The food itself was decent but not great. Menu options still remain limited and the portion sizes were small, typically good for 1-2 people. The Goan prawn curry and Sharwaman platter are worth a try. Stay away from the Parsi options in the menu, they are pretty average.",Rated 4.0,43,121,??
Aarti Ahuja,"Rated Another social ticked marked but the small stomach and friends Tuesday sentiment kept me away from non veg delights. The wonderful staff helped my friend with the selection of vegetarian options, we went along with recommended chinese bhel and potato skins Chinese bhel crispy and crunchy but when street food goes upscale and hygiene flavour of the street dirt goes amiss. The manchurian balls were a bit small but as it was in the munchies section it could be a bit bigger. Potato skins with three different kinds of cheese, totally well cooked but lacked the chives flavour and could be more crispy on the outside. It cut through like ordinary boiled potato no sound of the crispy skin rustling along the knife. It can be served with salsa and sour cream adds depth to the cheesey flavours. Well I will have to be back for sure to this social as well, it seems social will make me social again Keep it up",Rated 4.0,40,461,??
Nitin Agarwal,"Rated Good place - nice ambience, drinks are good, and food is also very good.... Service is fine... Enjoyed time at social... Surely can be visited again!!",Rated 4.0,53,163,??
Sahil Arora,"Rated Social!! I love this place, everything about it is fun and different be it the food, drinks or the decor. Odeon social has gone with the 'back to school' theme and they have nailed it. The food and drinks are the same as at any other social but they do have a small new menu that include a few new cocktails as well. I must say that social is the only place that is capable of making and maintaining a good standard for their cocktails. I must recommend old monk kala khatta and old monk jal jeera (spoiler alert: they are served in banta bottles). For food we just ordered a shwarma platter which was good too. The service was quick and prompt so you wont have to worry abt sitting idle waiting to order. To sum up i would say definitely visit the place, its social after all....what cld go wrong!!",Rated 4.5,7,1,??
Aaron Bhajan,"Rated Lovely space and very innovative drinks ... Hajmola shots are a must try ... They also serve some mixology in traditional lemonade""banta"" bottles .. Which is a lovely innovation.. Food is good and quantity is decent as a pub should have. Classy ambience... Loved it ... Jam packed evenings n decent music to njoy",Rated 4.5,38,63,??
