Username,Review,Rating,Total_reviews,Followers,Expert_level
Vaibhav Agarwal,"Rated Went with Family ..took plain uttapam , rava masala dosa , idli vada .. food was very tasty especially Sambhar ...I love their Cold Coffee .. coffee lovers do try their coffee .It is located in a shop that is designed in a too old way , typically Britishers Style ...Do visit ..Space - 8/10 .service -7/10 .Food - 9/10 .cold coffee - 9/10 ...",Rated 4.5,118,56,??
Shikha,Rated This sagar ratna is very old restaurant serving delicious dahi vada & scrumptious south Indian food. This place is loosing its charm due to poor service & dull ambiance. Average place to visit.,Rated 2.5,0,0,Expert in Connaught Place
Ashish Sarma,"Rated The sofas are torn... Not well maintained. We took one couch that looked OK.. But then were asked to vacate it since it was reserved - even though there was no sign placed on the table that indicated reservation. The waiter's attitude was below the standards of a supposedly good restaurant chain. The food is overpriced for the quality and quantity... There is a minimum standard of presentation that is expected but was not there. Overall an avoidable experience, specially the CP outlet... I have heard the other outlets are good and hence was hugely disappointed coming to this one.",Rated 1.0,1,0,??
Toshi Vasistha,"Rated Visited this place recently, because many people referred. Biggest Disappointment. I just love South Indian Cuisines, but what they served was just pathetic. We ordered Mysore Masala Dosa, not at all crispy, served cold and the filling was bland. The Idlis were hard, served cold, the sambhar was more like rasam in terms of consistency , and coconut chutney was ridiculous. Only one item served was fine and that was Filter Coffee. Very bad place, bad food, slow service.",Rated 1.0,0,0,Expert in Connaught Place
Jasmeet Singh,"Rated This outlet famous for its versatile southy food has always been my favourite stop for appetite. This tym, ordered mini idlies dipped in sambhar , schezwan noodles and masala tea. There are flavoured idlies as well but we ordered the plain ones. Their taste has always been nice and the staff always welcome the advises.",Rated 3.5,38,75,??
Abilash Baskaran,"Rated One of those places that deserved to claim they serve multi cuisine. On my one day pit stop at NCR headed here for a quick dinner in CP. The company I had wanted some ""home food"" and this place sounded safe. The only similarity between Tamil and north Indian cuisine is that they both screw up the other cuisine big time. Don't trust me, try out some panneer tikki from a leading south Indian chain in south. The ambiance was good to seat a 70 people in the ground floor and another 50 in the first. Not great zeal over decors. They were simple and elegant, good lighting, efficient space management. This sure shows they are pro in what they deal with. Service was fast. Waiters know the food (obviously) and are good enough to suggest. Food- Masala dosa is good. You hear that from a Tamil guy, you go try that masala dosa. Sambar was a little off track, not sure where it exactly differed, edible. Chutnies were spot on. Rotis and subjis were decent. I had better ones in the dhabas of chandni chowk earlier that day, they stand no chance in comparing. Total damage for an averagely full meal for three persons was a 600 bucks change. For the south Indian food they serve, they can charge so much. PS- We did get some at home feel after that masala dosa anyways.",Rated 4.0,83,416,??
Neha Singh,"Rated South Indian cuisine is one of the lightest food to eat on any day and is also one of my favorites . Whenever one thinks of eating good south Indian food only sarvanna bhavan and sagar ratna (close competitors) come to anyone's mind ; with the former being slightly better of the two in terms of authenticity. Sagar ratna has bit north.Indianised itself in its offerings and the tastes has been twisted accordingly to suit to the localites here . This outlet is located in block K in outer circle and is easy to access from metro station gate number 2/3 as well . Spaced over two floors , interiors are done subtly to depict the simplicity of South India. Wooden furniture , ample lyting , few painting on walls .... And the interiors are done . They offer not just south Indian food , but also north Indian and Chinese . So its a complete restra and not an exclusive south Indian one like sarvanna , with their speciality being south Indian ofcourse . I have visited this outlet quite a number of times now and have tried almost everything that this place has to offer . My personal favorites here are rava Masala dosa , Mysore dosa , filter coffee and dahi vada . On my last visit I tried their vegetable cheeze dosa in which dosa was Stuffed with lots of cheeze and capsicum , carrot etc . The taste was bit bland and it wasn't even going well with the chutneys and sambhar served and hence was a disappointment. It's not just south Indian food , their north Indian offerings are also good to taste . What stands out here for this place is Chinese combo - reasonable , spicy , flavorful and ample quantity ; this one is definitely worth the price . What I personally love about sagar ratna is that they keep introducing new types of dosas on monthly basis and keep improvising on their menu regularly . Recently they are celebrating podi fest and the offerings are really great and I will be visiting them soon to try them. Service is quick , staff is courteous and pricing is decent too . Worth a try !!",Rated 3.5,0,0,Expert in Connaught Place
Kritika Sharma,"Rated Located in outer circle of connaught place in k block. when i was visit here its was not crowded and i get easily seat. Order my fav masala dosa which is not disappoint me. Service is slow, rest all things is good.",Rated 4.0,31,29,??
Willie Ahuja,Rated Reminded me of good old taste of bengaluru sambhar. Rest food was average. Long waiting queue. Think twice as may not worth waiting for so long. Will visit again if short of options.,Rated 3.0,8,3,??
Sanjeev Pandey,"Rated Worst sagar ratna ever visited, spoied my daughter bday party, strongly recommending do not go to this outlet. Dirty wash room brunt and insipid food ...bewareeee....",Rated 1.0,15,32,??
Punit	Dwivedi,Rated Sagar Ratna has some of the best and classic South Indian food in Delhi. It's always bustling and busy but the food is amazing. The ambiance is rather casual however and this takes some getting used to for first timers. ....,Rated 4.0,10,20,??
Deepak Hooda,"Rated Good food - ordered thali which included everything we wanted yummy paneer, rice, aalo beans, raita, daal makhni, salad, delivery was also pretty fast",Rated 5.0,1,5,??
Akash Shah,"Rated Worst dining experience. Have tried Sagar ratna at other outlets and never expected such food. There was a huge waiting outside, was excited for the food but all in vain. Mysore masala dosa was as soft as roti and served cold. Podi idli was a disaster. Sambhar was as thick as rasam (and rasam was out of stock and I wonder why). Tried pesarattu mla dosa for the first time, now this actually tastes this why or just prepared badly as other items. Only well served items were madras idli fry, hot n crisp and sweet lime soda. I hope I just ended up here on a bad bad n food is not bad on other days. Needs a lot of improvement.",Rated 2.0,43,126,??
Rakesh Shah,Rated It is obvious that these guys take their commitment to delivering a good experience to their customers seriously. I will be giving them return business.The ambiance of Clay Pit is very pleasing and would recommend trying them out!,Rated 4.0,3,57,??
Sachin Kumar,Rated Disappointment of epic proportions. I frequently go sarvan bhawan for south Indian food but unfortunately I thought of trying out this place last night. There was some podi feast going on so we ordered podi idlis because the photo in the menu looked so delicious. But when the real idlis came the excitement was gone. They tasted nothing like what I had expected. The fried idlis where good. We ordered Mysore masala dosa and pessarattu dosa. Both were below mark. The sambhar was more like rasam in terms of consistency. Will never go there again.,Rated 1.5,16,67,??
Judith J Scenario,Rated I go here about once every two months. Their food is of consistent quality and service is friendly and swift. I usually have the coconut dosa which is yummie.,Rated 3.5,46,29,??
Mukesh Chugh,"Rated Hopeless, pathetic, horrible... There was no taste in anything. Their quality has detoriated badly. Decided from now onwards big no to Sagar Ratna.",Rated 1.0,2,13,??
