Username,Review,Rating,Total_reviews,Followers,Expert_level
Ankit Malik,Rated Amazing ambience & great variety of food & drinks. The best part is the location I.e in the heart of Delhi. Amazing service with a vast open air dining area. The interior of the place is very impressive. A must visit place for everyone and yes not to forget the truck bar..,Rated 5.0,3,196,??
Somya Pandey,"Rated This place is the new in Connaught Place which opened recently. If I want to use the word Amazing, I would use it for this place. Now, coming on to the food I had here. We had few Tandoori Chicken Salad , Ricotta,Pine Nut,Raisin Ravioli ,Golden Prawns and Panko Fish Bites there. All the Dishes are tasted really good and they looked very presentable.",Rated 4.5,15,17,??
Ashish Gautam,"Rated The most awaited launch of the year in CP of such a fine establishment was indeed memorable. The place is huge, way huge considering its location. It has a vast open air dining area and equally big closed one. In both of them the ambiance is good with bright white and vibrant colors outside and elegant wood theme decor inside. There is also a dedicated smoking are in backyard which itself is impressively big. In all the decor is good but still has scope for further improvement. Now coming to service which was most questionable thing during the launch. They initially went into some trouble but managed it smartly and later, made up for it real well. That is why it is said, patience always breeds sweet result. As the place is new they should work well to build up a strong customer base and they are indeed doing it well. In drinks I tried sangrias which were well made and tamasha special which was a vodka based cocktail fused with cranberry juice and maple syrup. In food there are a variety of cuisines they serve but according to me the north indian here is indeed having a clear edge over others. They served me one of the most flavorous chicken biryani with heavy yet balanced and adequately harmonised spices which are sure to impress any fan of good blend of spices in his food. Dal was also impressive and so was butter chicken. Beyond this cuisine the thai red curry was also delectable and even better than many restaurants serving asian as their highlight. Pita and hummus is another thing recommended here. The starters though were not in same league as main course but were still good in their own preparations. Desserts were also acceptable. In all the food is excellent and deserves good appreciation. In all this place is highly recommended for its multi layered beautiful ambiance and good food. My Rating: 1. Food: 4.25/5 2. Ambiance: 4/5 3. Service: 3.75/5 4. Value of Money: 4/5 neverknowsbest.in",Rated 4.0,0,0,Expert in Connaught Place
Punit Kapoor,"Rated ""Just to say ""thank U "" Tamasha "" for our meal last Saturday. We all enjoyed your delicious food and the evening was everything we hoped it would be. Excellent environment, friendly service, gr8 menu choices & really decent food. Will be back soon with more frnds.",Rated 4.5,1,0,??
Nalin,"Rated After the much awaited Launch party of Tamasha, a never seen before stand alone restaurant property in the heart of Delhi, KG Marg, CP we were there for a sit down meal with friends next day. The launch party was truly commendable with the best crowds and service. We really enjoyed the meal service at the amazing Tamasha terrace and one could see and take pictures with the Tricolour, the Indian flag too! The music is not to be missed. The staff is friendly and attentive. We will be there soon again!",Rated 4.5,1,1,??
Ridhi Arora,"Rated Another new place to hang out in cp, however this one failed to impress me! Not only was it unorganised and waiters seemed confused about the menu items, but there were several items listed on the menu which weren't available- now that's not cool! Ambience no doubt is great and the terrace top is where I sat both the times I visited this place. I figured the place had a theme of all black - I might be wrong - but the plates were black, tissues were black, seating was in black and blue, waiters were dressed in all black. Seating confusion- We had a reservation and on arriving we were given an inside seating, we however insisted on an open seating - which we were refused to, although we saw that the terrace was not fully occupied and we could get a seating there! Total chaos in terms of that I would say - wasted atleast 30 mins in that. Food- menu looks different and interesting. Names of the dishes are well thought of. We ordered: 1. Tandoori quesada bites - which was a naan having a stuffing if chicken in it - served with three types of dips - tasted bland! Did not quite like it 2. Tikka tasters - 2 types of chicken tikka - tasted ok, chicken seemed a little hard though 3. Kadhai Paneer nachos - nothing more than normal nachos few of which were topped with some paneer makhani gravy 4. Paneer bao 65 - tasted horrible!!! Returned it, asked the chef if this is how it's supposed to be - reply YES - suggestion - please remove from the menu!! (It was basically balls of maida filled with paneer bhurji which tasted bland and maida was undercooked and stuck to the mouth) 5. Arabic chicken sandwich bites - chicken sub - tasted good 6. Red sauce pasta - probably the only thing which was delicious 7. Thai spring roll - dripping with oil - like literally Pizza and dimsums were not available. Cocktails were not available Waiters were shabbily dressed, often seeing pointing out at the guest too Sangria was bad! They didn't have Bira either Sorry but hugely disappointed with the kind of service provided, and the food options as well. The only thing good was the valet parking system and the terrace ambience.",Rated 2.0,0,0,Expert in Connaught Place
Nishant Mittal,"Rated Hey the place is super cool. Well done priyank as usual. You rock man !! But yes the services are very slow. The food was served cold and late. We complained the manager also about it and was shocked to hear his reply - "" sir do din pehle he khula he thoda time lagega routine aane me"". I was there on valentines day with my wife and the food and the services just turned us off. Even they added extra item in the bill. It was 7 the place was not much packed and still received this service. Highly disappointed!! Kindly improve the services as we have very high hopes from you as we have been to most of ur outlets and had a Gr8 time. Good luck",Rated 2.0,1,0,??
Hemakshi Gupta,Rated In love wid d location ambience terrace n open area n not to miss d truck bar u enter in another world were its larger den life experience . Loved d concept n tempting food n smoky sheesha .its a celebration time n u feel like a celebrity to b dere !!! 3 cheers to d team !!!,Rated 5.0,2,14,??
Dimple Kapoor,Rated An Excellent Place with Amazing Ambience & Awesome Music!!! Dine#Music#partyFun#PerfctCombo!!!!! Loved every single bit of it.... Keep it up Guyz..love#xoxo,Rated 5.0,1,0,??
Vishi Khandelwal - EnticingFoodCruise,"Rated Invited for the bloggers meetup, I became part of 50 odd bloggers launch that happened over the weekend. Located on the KG Marg (Outer periphery of the CP Outer Circle), this is a huge standalone property. The place has a huge Open Air seating all set up with white and grey couches with a long and masculine truck which was has been converted into a bar. Sounds interesting and looks fabulous too. The interiors of the one story building is impressive too. The ground floor of which has been left undone with raw bricks and unplastered walls. The natural daylight seeping in through the huge arched Windows was indeed amazing, which essentially gave the place a retro and rustic feel. Climb up the stairs will take you to the first floor with a similar but small seating area and further climb up would make you witness to amesome views of the fluttering Indian Flag and the Statesmen house on the other side. All this excitement could lead to huge disappointment, never thought so. The entire meetup went awry after I witnessed 20 odd people crashing on a single portion of the dish, as the food came after 45 minutes of waiting and moreover the service was super duper slow which resulted in huge disappointments all over. Thankfully got the opportunity to taste a couple of bad starters New Way Caprese and Beetroot Roulade with the former one tasting like a jelly tomato ketchup and the latter one being a Beetroot thing with cheese to go along. Could hardly gulp them in. Got to taste single bite of a Malabar parantha. The Mocktail weren't great either, firstly the choices were limited and over that average Mocktails killed the party completely. Easily gauging that I can't review basis the food snachted from the waiters hand or taking a bite from somebody's else table. However I could see better service and food being served at other tables which were apparently more esteemed guests for the restuarent. Could not have been worse than moving outside in the open air and not being cared to serve by any server despite asking a couple of times. Rude behaviour, bad service and disappointing hospitality from Tamasha clearly destroyed my precious Saturday.",Rated 1.0,0,0,Expert in Connaught Place
Meg,Rated Had a magical evening last nite wid family and friends at tamasha....the whole place is a beautiful looking courtyard wid a huge fancy truck bar....set wid tables all around...it just dint feel like delhi....it just felt larger than life....the food was yummmmy....the prawns were fresh... The coastal food was very authentic...and one has to try their sizziling brownie.....the most sizziling in town...i had guests over frm london...n they said theyv never seen delhi like this esp on a tues nite....they ofcourse wanted a touch of north indian flavour in their main course so v called daal makhani n butter chicken burger...ooh!! Deadly!! So i guess it was a safe bet taking my guests to tamasha....,Rated 4.5,1,0,??
Jasbeer Singh,"Rated This is how Cafes should be like! Spacious and roomy. It has an attractive bar counters at ground level as well as on the terrace. I would say Tamasha is a place for all age groups. Best place to meet up with friends, hang out and share some stories.",Rated 5.0,1,0,??
Mankaran Bakshi,"Rated Tamasha - is definitely the best and most happening cafe in town . centrally located , excellent ambience , a wonderful world cuisine , it boasts of it all . A blend of architectural elegance and natural beauty brought in by the lofty trees , it is a place to visit again and again . The innovative truck bar , a wide range of seating in the open , covered and terrace is available . The parking is no issue - the prompt valet service takes care of it all . A must visit for everyone . Priyank bhaiya's MAGIC WAND does it again . Ps - Difficult to select a favourite dish , so you need to try it all :) :)",Rated 5.0,24,241,??
Satish Raj Krishna,"Rated extremely well done up , great concept, loved the starters and the canapes . service was prompt, efficient and courteous, recommend tamasha to anyone wanting a great pub/cafe/dining experience in the connaught place area",Rated 5.0,1,1,??
Ravi Kejriwal,"Rated Tamasha as the name suggests is a real Showcase of Food & drinks in a great ambience. Wide spread in the heart of Delhi it's a place which appeared from no where. The American truck bar, outdoors, terrace, backyard anywhere is an art of perfection. Don't miss to experience the real Tamasha of amazing wining & dining.",Rated 4.5,3,172,??
Amit Jain,"Rated # DekhaTamasha ...Was dere last nyt ..really good place to relax nd hav couple of drinks.. It ws packed on a Tuesday night..didn't expct that..would recommend peeps to book a table in advance..really good food wid lovely presentation u can see the picture down..ordered Tandoori soyabean chaap..innovative stuff from Chef side..serving it with pita bread and hummus...Service was top notch and they do take your feedback about food and drinks..The only thing which was odd was wen I asked my server for the bill in reply he Askd me ""Do you want to pay for your beer widout Tax ?"" I mean why would you do that ? Why do you wanna cheat wid ur government?",Rated 4.5,2,54,??
Anjalika,"Rated Okay ! New caf in town . Very huge and vibrant place. Like the truck and cute bulb lights. Owners are same of warehouse, boombox, open house etc. These owners never dissapoint guys ! After long time i really like this open house caf. Waiters are kind to put up suggestions. Must visit if u like huge type places with different type menus. P.S- plz put more veg options on your menu. Thanks.",Rated 4.0,31,22,??
Tushar Vaidya,"Rated I was called for a foodie meet to tamasha last Saturday. I had been super excited for this place to open up and it didn't disappoint. The place is aptly conceived according to it's name. It has multiple outdoor seating areas, one at the front and a couple at the back as well. One of the only places to have a separate hookah counter. I really liked that idea. The indoor seating faces a huge bar and has been done tastefully. The food was delicious and the chef and management seems to have put in a lot of effort to put together an amazing quirky yet lip smacking, fusion oriented menu. We tried the braised butter chicken, baked butter chicken penne pasta, their dal makhni and chicken biryani. Everything was top notch and oozing flavor and aroma. We stuck to red and white sangria's and their tamasha special cocktails. The red sangria could have been much better. Had tiramisu for dessert, which again was spectacular. Service was welcoming but a little slow. Although, the place was over crowded. I'm sure on a normal day their service would be prompt. All in all, tamasha is one of the most happening places to have come up in Connaught place recently. So I suggest you let your hair down and dance the night away at tamasha the next chance you get. :)",Rated 4.5,22,181,??
Nikunj Arora,"Rated Too SPACIOUS!!! Yeah exactly, probably the best in the heart of delhi in context of space and the make. Visited this place on crowded Valentine's day. Giant American Truck Bar is the first thing you notice and its amazing ,specially in the evenings. Liquor is quit pocket friendly but they don't have most of them in their inventories. Food menu needs to be a bit more customized. Very Disappointed by the service. The staff was very puzzled up, firstly they forgot to get another rounds of drinks despite of order then it took more than 25 minutes to get the bill. Hope to visit this place again with better hospitality services.",Rated 3.0,3,28,??
