Username,Review,Rating,Total_reviews,Followers,Expert_level
Ayushie Mathur,"Rated What do I say about this place? First of all, it's huge. It has very creative interiors using all recycled material right from old glass bottles to tyres to metal bearings. What's better? They serve hookah with a massive variety of flavours. Their menu is divided into healthy food options and indulging food options both with lip smacking food. Yes though, this place is a bit expensive which it owes to it's location and wonderful interiors. We tried chicken steak, chilli chicken with fried rice and penne arabiatta at the cafe.",Rated 5.0,7,111,??
Dr Ashwani Mehta,Rated Situated in the outer circle of CP in N block on the second floor is junk yard cafe. Landed there at lunch time. Huge place nicely done up. Bright vibrant colours with patch work sofas. Nice huge bar. I loved the ambience and the work man suits the waiters wore in mustard colour the restaurent gave a feel that I was going to have a great time. Down hill it went like a plane without engines as soon I started ordering. Little informed service staff was a red flag. Indicated no training. Not all bar items were available. Ordered Falafel with pita Junk yard special veg burger Where falafel should have been light/herbaceous/ flavoured with spices it was dense tasteless and hard. Pita was like a thin chapati with flour literally falling from it when we picked it up. The burger had under-spiced pasty patty and mouth feel was gooey. Service staff inattentive. With such high rating on zomato some times one wonders where I go wrong in not finding the right food to order.,Rated 2.0,0,0,Expert in Connaught Place
Nirvan Rustagi,"Rated Very nicely done interiors coupled with good service, its a nice place to spend your weekend. Food is pretty nice, drinks are average Ordered LIIT bucket (literally bucket) Sangria (found it a bit sweet, was redone perfectly) Edison bulb cocktail (within bulb shell with some dry ice magic) Skeleton 3 (served in a plastic skull, flavoured as mentioned) For food, they have an extensive menu Mezze platter ( really nice , and the best part was cheese pita) Lamb dollops (amazing meat balls with cheese) Bieging chicken ( more like salt n pepper chicken) Food was really nice, but nothing spectacular",Rated 3.5,24,93,??
Saurabh Asthana,"Rated While I didn't absolutely love the food here, I had to bump this up to a 4 star from a 3 star review for the outstanding customer service! I ordered the chilli chicken here and I guess it took a little longer than usual to make but the gentleman working here apologized for the wait time.The food was pretty good but nothing too special in my opinion.",Rated 4.0,10,82,??
Saransh Singhal,"Rated After a detailed overview of 4-5 restaurants, we decided to visit this place as the place is really big and serves some delicious momos I have heard of. The management has actually used the word JUNKYARD with the ambience of the restaurant very accurately and beautifully. Big nice custom made sofas and furniture. We ordered a hukka, Honey chilly potatoes, smoked cheese balls, Chicken shish taouk (Recommended by server), chicken & chive dim sums, Junkyard special veg burger, cheese Garlic bread, a minto plus fresh fruit concoction and a mojito. Hukka: They have some really cool big giant hukka's. Can you imagine, it lasted for 3 lonnng hours and that too without any hassle. Thick smoke with smoothness at its best. Honey Chilly potato & Cheese balls: Honey chilly potatoes were crisp-skinned and hot. Light, yummy, sweet and crunchy with the right balance of spices and honey. Smoked cheese balls along with white cheese sauce were a delight to eat. It was delicious and quite filling. Dimsums: They came in a bamboo steam box covered with 5 different sauce. The first bite took me into my deep little corner of savouriness. It was piping hot, filled with juices and the homemade sweet chilli just added a cherry on it. They just made me go 'mmmm'. Chicken shish taouk & cheese garlic bread: I cannot remember the last time I had such dry brittle chewy chicken in a nice place like this. Maybe it was brushed with an egg as I could smell egg and it was like eating a unseasoned omelette. The cheese garlic bread was crisp and was brushed with butter but without cheese, it felt incomplete. junkyard special veg burger & mocktails: It came with a lip-smacking white sauce which enhanced the flavour of the burger. All together it was satisfying. Mojito was flavourless and flat, but the minto plus was the winner among two. Watermelon intensified its awesome sweetness and flavour. Lastly: You can count on them if you want to try something new and you don't have to listen to the phrase 'sorry sir, right now we don't have this'. If you love hukka and momos, then you can easily bet on this place. Price is normal if you compare with other restaurants around here. mytummygrows.com",Rated 4.0,0,0,Expert in Connaught Place
Rahul Sharma,Rated If you are going 2 people then don't go there. The seats that they provide for 2 people are very uncomfortable. Staff is not sensitive enough to understand problem. Food is OK. Rest all standard. Toilet should be more hygiene.,Rated 2.0,1,0,??
Alok Priya Saurabh,"Rated One of the amazing places I have ever visited. Whether it be ambiance or food or music, everything is just wow... A must visit, at least once. Then you will be use to it ;) And a special thanks to Mr. Amit Jha for their hospitality..His efforts really made our experience memorable!!",Rated 5.0,1,1,??
Aayush Somani,Rated Now this place is really getting gud one on my charts!! Nutella cheesecake.. Thts enuf said..Simply a treat to chill and have fun!! Classically made!! Service is always on toes!! Nd food is tasty too!!,Rated 4.5,38,77,??
Amit Bajaj,"Rated Went with the entire family for Post Valentine party....a great place to enjoy the food and music....as the name suggest everything is done out of junk material but is well crafted to suit the ambience.....food was amazing in taste and presentation.....hookah was fabulous....and the music played just grooved the ears....must try items are the chilli chicken, fish and chips, onion rings, jerk chicken, honey chilli potatoes and their pan kiwi hookah...enjoyed a lot. ....heads up",Rated 4.0,0,0,Expert in Connaught Place
Chris Perkins,"Rated This place is awesome. Great food, great service. The best food we've had in Delhi. The lal maass was brilliant. The entrance from the street is a little hard to locate but worth the effort. (Look for the small sign by the lift). Quirky well finished interior, super friendly, non-pushy staff and a manager, Mr Nitin Jayant who ensures you have a great experience. We had starters, mains, desserts and coffee, beer and cocktails (get the Edison bulb worth the presentation as well as taste). This place is a franchise waiting to happen and if it's kept in India, the rest of the world will sorley miss out. Couples, mates for beers and families, seen them all here...the decor and food here has enough for all..if there was a T-shirt, I'd buy it.",Rated 5.0,1,0,??
Priyanka Garg,Rated As the suggests so is the interior. They have outdoor and indoor seating.The staff is courteous and attentive. The food was average though. Its a bit overrated restaurant.,Rated 3.0,42,15,??
