Username,Review,Rating,Total_reviews,Followers,Expert_level
Achala Bhat,Rated Probably one of the best places to visit in NCR ! :) The moment you enter you feel so welcome and the music makes you move at all the times...love the tracks they play! This places wins it all for its perfect ambience and interior set up. Long hours with friends here are an absolute bliss. Service is fine and can improve. Delivery is quick. Must must must visit ! :),Rated 4.5,35,59,??
Nikita Arora,Rated Great ambience. Great food though a little highly priced. They have a huge variety of drinks menu both cocktails and mocktails which is great for both drinkers and non drinkers. All the chefs special especially the rogan josh are great.,Rated 4.0,7,85,??
FoodieDiaries,"Rated Got a chance to be here this Valentines day luckily, and what a treat it was. I had a reservation made as it was a special day and also a sunday :) The place is dimly but nicely lit and had a nice V day balloon decoration all around. They have 2 kinds of seating , with high chairs or with couches. I took a look around and we settled for the couch seating and waited for the menu. We ordered Liit to drink as smoothies were not in stock, along with chicken steak and basic chicken in the main course straight away because it was already 4pm and we were starving. The drink was really good and unlike usual liits had some good tang to it. Both the chicken dishes were yumm. Chicken steak comes with grilled veggies and mashed potato and is quite filling. 3 people can have a meal in these 2 dishes. Overall a great experience and a definite try even when u stay too far from CP :) Cheers!",Rated 4.0,90,363,??
Saurabh Kochhar,"Rated Went there last night, I did my booking 2 days before I went there.But the attitude of the staff regarding my booking was shocking.. After 15 mins standing in front of counter and showing my name for booking on there register. They gave me a high chair ( as I booked in for sofa seats). Staff was so arrogant in telling me that u should be happy that they are giving me seat. Food was good Most of drinks in the menu were not available. I guess staff should be more polite to there customers..",Rated 2.5,5,0,??
Nikita Aggarwal,"Rated Town house cafe , Situated in N block with other named restaurant. On 2nd floor , cafe has occupies a huge space with 2 sitting area to choose from , one is a long running bar area , with wooden high stools and comfortable sofa's with dingy light keeping privacy . Another adjacent place has tables with wooden stools and side bar with comfortable huge sofa for hosting large group. There is also a place for the small stage where live artists perform on Bollywood Wednesday nights and live band on Friday nights. What you notice about the place is running wooden interior all over , large arches cushioned with dark bottle green. Coming to food , I tried : Celery Infused Mozzarella Sticks : Scattered all over the plate , with no presentation to be seen , the mozzarella stick was cheezy but quite sweet for my taste buds. Next is Dahi ke kebab : Quite delectable , presented in done way. I really loved the way it melted and coriander mint chutney was a perfect compliment. Panner tikka , huge chunks of paneer perfectly flavored though. Tried House Fantasia Pizza (veg) : Pleasing it looked , so does it taste , only thing offbeat was sweet cheese taste. But ample amount of cheese and considered amount of veggies. Coming to main course , I tried biryani and dal makhani , palatble dishes , with not so high hope on north india , i was amazed the flavors intact in dishes. At end , it's a great place for catching up with few drinks or looking for a lavish food hunt. And defiantly visiting next time.",Rated 4.0,47,193,??
Kritika_kj,Rated A good weekend experience. The concept n presentation of food is unique. Snacks can get better. The platters are a must try. Mini burger platter comes with a cute presentation and nice cheezy experience with a drink.,Rated 3.5,27,132,??
Mamta Chandra,Rated Please true real estate agent responsible for delivering this message has been a while back and enjoy your favorite music and dance and called me back to the next couple weeks ago by the way to get the latest news,Rated 4.0,24,161,??
Chetna Kaushik,"Rated We went to the Townhouse Cafe for a special promotion of a cosmetic brand. The Townhouse Cafe is located right near the Janpath road. It is a 5 min walk from the Rajiv Chowk metro station towards the Cannaught Place market. The restaurant is on the first floor and when I entered I had not expected such a big and, at the same time, cozy place. A quick run around to survey the area suggested that the area is divided into 3 parts where one is the private area, the second is a more family area and finally the one where we sat meant for large gatherings. Considering the whole black and gold decor was in to attract a very suave crowd, it pretty much nailed the ambiance. I loved the interiors, but it was only later that I realised we needed a little more light if I wanted to take good photos. That problem was solved very easily by the waiters and they opened up the nearest windows to let in the sunlight when the food arrived. I must appreciate that the staff was very courteous and well behaved and helped us with all the ordering as well as drink suggestions according to palate and taste. We started off with the drinks and I tasted the Red Lemonade Mocktail. It was a very sweet watermelon based drink and nice to taste. Next I tried the Sinful Apple Town Sour. I cant decide what floored me more, the theatrics or the taste. The drink is something I would love to go back to again. Then I tried their Red Wine Sangria which was nice. I am more of a light wine drinker so I took the White Wine Sangria which I ordered again as it tasted amazing. Now, let us talk about the starters : 1. Celery Infused Mozarella Sticks : These were very simple. The mozzarella sticks tasted nice and were more on the sweeter side but for me the sauce balanced it well. 2. Dahi Ke Kebab : Not a fan of this dish. It had slightly more salt for my palate and did not taste the way I wanted it to be and I believe I have had better. 3. Multani Paneer Tikka : Very nice tasting and the accompanying chutney made the taste even better. Paneer was soft and nicely infused with the spice. 4. Corn Pepper and Salt : A very decent dish and I loved how crispy it was. Another dish I would definitely go back to. 5. House Fantasia Pizza Vegetarian : It was a very nicely done pizza with a thin crust and the amount of veggies was amazing. 6. Murg Malai Tikka : A very nice and creamy dish balanced beautifully with the spices. I think it was definitely one of the stars of the day for me. 7. Chili Chicken : The dish was nice and the vegetables were nicely done. 8. Mutton Seekh Kebab : this was arguably the best dish I had. The mutton was perfectly done and the spices were well enough to make it a delectable dish. Time for the main course : 1. Red Sauce Pasta : this dish was so much spice and amazing sauce that me and friend kept raving about it. In fact, we went back for more servings of this. 2. White Sauce Pasta :This is more of a cheesy dish and although it was good, it wasnt exactly a dish for me. 3. Butter Chicken : The chicken was nicely dine and the gravy was perfect. I tried it individually and with the rice and tasted amazing in both ways. 4. Mutton Rogan Josh : I think their mutton is a specialty. This is the second mutton dish and it was perfectly done. Definitely a must try for non-vegetarians. 5. Dal Makhani : Simple dish with no fuss, it was nice accompaniment to the biryani. 6. Chicken Biryani : This is another dish that I loved. The rice was fragrant and the chicken peices were very well cooked. 7. Brownie with Ice Cream : A very simple dish to the extent of non-impressive. The ice cream was not too good and the brownie was average. So, all over The Townhouse Cafe is certainly a must visit and their starters and cocktails are totally worth any ones time. Ambiance : 4.5 Service : 4.5 Food : 4 Drinks : 4.5",Rated 4.5,7,22,??
Adeetya Ingenious Uberoi,"Rated This a place to be on friday night aswell on saturday night, this is exclusive and great ambience and food us excelkent but not for everyone its bit high on price but worth it, its my friend place the interiors are great,The dj plays awesome songs. And events here are too good.",Rated 4.5,35,186,??
Ankita Banerjee,"Rated I was invited to this place for a food and beauty bloggers meet organised by Suchana Bera . The place is divided into various sections. The bar area is separate along with red coloured booths which have been designed keeping in mind the privacy quotient. Another section is designed with huge wooden frame which creates quite an impressive hallway. The seating area is huge and has extremely comfortable couches. They definitely need more light and if the gigantic wooden windows havent been opened it would have been quite difficult to click the pics. The service is really fast and the servers are really courteous and quite knowledgeable regarding the menu they were serving. In mocktails, I tried Red Lemonade which was a watermelon based drink, quite nice in taste. In cocktails, I tried Sinful Apple Town Sour, which was their in house variation of whisky sour and what a molecular delight it was, highly recommended. Long Island Iced Tea, classic cocktail well made. Also tried Red wine Classic Sangria which was beautifully made. The Lynchberg Town Lemonade, I was intrigued about this cocktail because it was whisky based, but man the hazelnut in it just killed it for me. Didnt like it at all. In shots I tried No 4 and 5, and No 4 became my absolute favourite, as pepper flavour was quite potent in it, absolutely my kind of drink, must try for spice lovers. Shot No 5 was subtle in flavour but nonetheless tasted good. Coming to the food, in veg starters I tried, Celery Infused Mozzarella Sticks, which tasted sweet but wasnt bad in general. Corn Salt and Pepper, the flavours were nice but it was a bit too crispy for my liking. In non veg starters I tried, Murg Malai Tikka which was very soft and yummy. Chilli Chicken, the chicken tasted really good, it was quite well prepared. Mutton Seekh Lahori, these kebabs were so flavourful, I liked this dish quite a lot, highly recommended. Herbed Fish Fingers, crispy from outside, soft and juicy from inside, absolutely perfect. Also tried House Fantasia Pizza both veg and non veg variants. Both of them looked pretty as a picture, the crust was well cooked, ample amount of cheese and toppings were there, very well made. Also tried the red and white sauce veg pasta. I preferred the red one over the white one, it was really well made. Coming to the main course, tried Dal Makhani, which was very creamy and delicious. Butter Chicken which was again really well made and the chicken was cooked perfectly. Mutton Rogan Josh, the gravy of which was quite flavourful but the mutton needed a bit more cooking. Ate all this along with Chicken Biryani which was truly delicious. Also tried Tandoori Roti which was quite good. Lastly In dessert there was Brownie with Ice Cream, it wasnt the best brownie I have ever had, but it wasnt bad either. So my verdict, Town House Caf definitely deserves a visit for their spectacular ambiance, amazing cocktails and some delectable dishes. spiceslicebite.wordpress.com",Rated 4.0,0,0,Expert in Connaught Place
