Username,Review,Rating,Total_reviews,Followers,Expert_level
Twinkle Gupta,"Rated Good place to chill. Nice food. Loved dahi kebab and the Oreo chocolate shake served over here. I have been here twice. Would love to visit again. Just one flaw, the staff isn't courteous enough.",Rated 3.0,2,15,??
Anuj Kumar,"Rated I have been to Vault a few times since it opened towards end of 2014. My most recent visit was on 1st Jan and I must say that the standards have gone down over the last few months. The staff, service, food, music etc. are all pretty worse off than earlier. Music was especially bad. Even the crowd which once used to be fashionable has moved on to newer places. I am surprised that even with such an excellent location and terrace seating, Vault has not been able to hold onto it's aura and hype.",Rated 3.0,5,1,??
Lakshay Dulani,Rated No use of reserving a table on zomato Ambience is ok ok Food is awful Drinks are good Staff is ok ok in courtesy The vault idea is kindaa ok ok too,Rated 2.5,26,35,??
Krit Singh Jamdagni,Rated Must visit if u are @cp one of d best dining available here awesome ambience and crowd. Staff management and managers are very helpful and was very dedicated to their work. value for money is worth it. If u are good foodie.. u must be here.. Had one plate hara paneer tikka.. dahi kabaab.. thai pad.. 3pints of beer one breezer.. One pan flavoured sheesha..one diet coke.. only worth rs 3200 So spending of money @ the vault is worth it. Love to visit it again.,Rated 4.5,6,1,??
Padmaza Talukdar,Rated One of the best lounges I've ever been to. Super awesome interiors! Food is good.. Drinks come in a variety.. The bar is the best place there. Most convenient location.. The only complaint I have is that the place is overpriced and overrated! Taxes are sky high. And this keeps the place comparatively unpopular with the younger generation..,Rated 2.0,2,32,??
Payal Soni,"Rated Went to the Vault Cafe in cannaught place delhi, with a couple of friends to hangout on last Saturday night. It was the perfect choice! The ambience is swanky and the music playing in the background is perfect, not too loud. We enjoyed some of the cocktails that tasted delicious and really well made. We didnt eat a full meal but snacked on their bar bites which were perfect with the drinks. Overall, a great time!",Rated 4.0,5,137,??
Amlan Biswas,"Rated Nice Ambience, Good Food. A nice place to hang out with friends. A good cafe to spend your time, affordable drinks. BUT THE VAULT CAFE SHOULD NOT ALLOW CHILDREN INSIDE. AREA IS NOT HEALTHY FOR CHILD'S. I saw some people's with the child's not even 1 year also.",Rated 3.0,0,1,??
Vijyantj,Rated Balcony seating in the middle of winter afternoon with a view like CP is something you just can't miss. Food was delicious. Dal makhni scored 7/10 Had a good time drinking with friends although I am a little disappointed with the variety of beers actually available vs what was offered on the menu. Veg wantons were nice Chicken tikka was appetising Very affordable. Didn't think 6 people could drink n eat in a place like this in the middle of CP with such a reasonable bill.,Rated 4.5,62,266,??
Ridima Agrawal,"Rated It's a good place to chill in cp and I have been here a few times now. The ambience is nice, staff is courteous and their cocktails are amazing ! The liit, mojito and sangria are good, also the theatrics of bringing cocktails in a vault is interesting. They also serve good hukkah and food. On my most recent visit I had veg salt and pepper, Mediterranean platter, mix sauce pasta and veg pizza, everything was fine except for the pizza which was a bit bland. Would definitely visit again for their liit !",Rated 3.5,45,172,??
Vipul Jai,Rated This has been a go-to place for every mood. Really upbeat feel to the ambience and the staff. The staff at this place is exceptionally courteous and go out of their way to make your visit a fun outing. Their Nachos and chicken wings are really good. And onion rings are to die for. Alcohol prices are on a reasonable side and therefore this place usually has high football on the weekends. Shout out to Mr. Yogesh for being courteous and making us feel welcome.,Rated 5.0,4,1,??
Roli Khandelwal,Rated The interior is just amazing. They have separate vaults if u want to have some private party. Food was also good (not the best). Ambience was refreshing.,Rated 4.0,2,22,??
Rajinder Ram Grover,"Rated Pub ambience, a bit dark, lots of tables and couches around them. Definitely a place to party. I visited at the wrong hour of the day, after noon. It was the couple crowd at a couple of tables. The place seemed shady for daytime and i felt i came to this place at the wrong time. I anyway ordered a sheesha for myself. Double apple sheesha is the standard by which i test every place. And as it turns out, they dont have any idea how to make a good sheesha. The 3.5 on my rating is just for good food and good ambience for the evenings. We ordered Bun Omelette and a Arrabiatta pasta which turned out to be good infact! Although the presentation could have been a bit better for the price. But the food passed for lunch and i got the hell out of there the moment i was done eating. PS. They have private vaults for big groups, you should really check it out! Their USP!",Rated 3.5,36,102,??
Kanikananda89,Rated I really love the vault room made for mini groups.. The food was average but the ambience was really good.. It would be fun to have a personal vault on some special occasion with a group of 5-6 ppl.,Rated 3.5,16,11,??
Feroz Ahmad,Rated Owsum place and a fine area to dine and have fun with people u comfortable!! The music add more cover to your dine!! Especially the veg food!! And at last why not try a hookah!!,Rated 4.0,1,12,??
Anaya Malik,"Rated Ok, so this place is already talked about alot ! And yes its all for the right reasons ... The signature, USP, their vaults are a fun and quirky way of spending porsh evenings in groups The food is good , nice fusion unique starters, I liked the prawns, and lamb dishes... Soups were great.. I also ordered the white wine sangria, yummy ! It was OK on the pocket considering the ambiance and what all the place was ordering ....",Rated 3.5,20,82,??
Piyush Nahata,Rated Have been to the vault quite a number of times and loved the service! They've got a great vibe and ambience! loved the overall placement!,Rated 3.5,42,516,??
Nishant Rastogi,Rated Beautiful place with nice ambience. The vault style theme is superb. Starters were ok and their thin crust pizza was good. Liquor rates are not too high. Overall this place is a must visit.,Rated 4.5,13,44,??
Karan Sethi,Rated Their Vault concept is very good.. You can Take your private Vault... Sheesha and drinks are at reasonable rate... And non veg platter is very good...,Rated 4.0,5,38,??
Akshi Sharma,"Rated I went to the Vault Cafe on a weekend with a friend for this first time. We booked a table online which helped us get in easily. As soon as we stepped in we realised this place is huge!! Music was loud but till the time you get to hear the right kind of music you don't mind it being loud. The food that we ordered was a Pizza and some snacks along with drinks. The food was decent and the ambience was a perfect setup to have a good time with a bunch of friends, especially if you get a Vault all by yourself. They also have terrace area which is also a good option depending on the weather. On the whole my experience here was very good and yes not to forget the staff here is good at hospitality.",Rated 4.0,17,40,??
Piyush Sengar,"Rated Visited Sunday evening, booked through Dineout and availed 15% discount on food and beverage, which is something amazing. The place was full and after waiting for almost half an hour got the outdoor table. We were party of 8 and outdoor seating was just a perfect place for us to enjoy our evening.. The interior justified the name of the cafe.. The music were amazing only international tracks were playing in the beginning but the dj played punjabi as well as Bollywood tracks later on.. Ordered Veg Tandoori plater having, tandoori paneer, fried chaap,button mushrooms, broccoli it was nice not great non-veg platter on the other hand were better, garlic chicken dimsums were mouthwatering, melted as soon as entered the mouth, consisting freshly minced chicken. However Bharwa or filled Tangri ( Chicken Leg Piece) were stale and tasteless. We have ordered for premium Hookah with Vanilla and some other mix flavours and trust me that it was the best hookah I have ever had.. It was a huge Egyptian hookah which made us high with the first Puff only... Drinks are on but expensive side in comparison to the same category of pubs/cafes, however the overall experience were just too good, we have enjoyed the evening to the core..",Rated 4.5,57,341,??
Eesh Mehra,Rated Last Sunday i went the vault cafe with my friends for breakfast.. they provided very good and healthy food. little overpriced but did not matter as I liked its food quality. we ordered cheese omeletee that was amazing in taste i recommended this cafe to all my friends.,Rated 4.5,1,226,??
Swati Bhadauria,"Rated Excellent service and tempting nachos,so till the time you haven't enjoyed your beer sitting close to the Angithi and really close to the railing.. You havent really had the feel of it ;)",Rated 4.5,3,3,??
Aishwarya Chawla,"Rated Not much variety on the mocktail section, amazing location and ambience. The wildmushroom bruschetta that I ordered was more like sauted mushroom on garlic bread.",Rated 3.0,46,108,??
Saurabh Mufc Sinha,Rated Another smashing cafe in centre of delhi. As the name suggest the big vault basesd seatings whete you can have private group parties. Must try shots - liquer and hookah. Hookah is pretty good here. Domt forget to take the couples as on weeeknds u will be disappointed. Music is pretty good. Decent place for party small dance floor and good crowd. A perfect place for saturday.,Rated 4.0,100,940,??
Satyam.vij,Rated Good place to hangout for good drinks . nice ambience with average food quality . we tried their only starters which just ok. nice outside open sitting area.,Rated 3.0,3,3,??
DEBALINA MALLICK,Rated Visited this place on weekday. Ambiance is good and it totally justifies its name. Food and cocktails were great. I found lemon chicken amazing (just can visit this place to have this dish only). Surely a must visit place.,Rated 4.0,4,2,??
Mani Kwatra,Rated A team of us dined here on Monday night - and as this was my first experience of a themed cafe bar- this was truly memorable. The cuisine is as the title suggests a fusion of street food with 5 star culinary skills. But they need to work in their hukkahs as they choked a lot.,Rated 4.5,12,62,??
Hemani Bhandari,Rated The interiors are good but north indian is really bad...the paneer served ws actually stale nd had a really bad taste.....it wsnt that good what we had heard abt vault,Rated 1.0,1,10,??
Prachi Khandelwal,Rated It has an amazing decor With a incredible interior & private cabin. I went with my friends to try new cafe The taste is great Bt price is high bt the quality & staff are admirable. Must visit place & would plaaning to visit again..,Rated 4.0,5,45,??
Yashaswi Hari,"Rated Going here was an awsome experience. I went here with one of my special freind. Ambience is so cool and admirable. We ordered dumpling(dimsums), white brocolli pasta, cheese balls, and a brain freezer hookah sheesha. All the food items were delicious and mouth watering. Best part was the hookah, the flavour and the whole of hookah was pretty good. Little bit costly but it was worth. I will rate this place 4.5 out of 5",Rated 4.5,4,54,??
Purva Takkar,"Rated The interiors reinforce the idea of the ""vault"". Love the little ""vaults""/rooms that they have made for groups. The ambience is dark, but what you must also experience is the terrace as well. Have the well prepared pizzas and the starters!",Rated 4.0,0,0,Expert in Connaught Place
Singhprerna435,"Rated well the vault is been always a place i would love to go i love the ambiance i love their interior, the food everything i always eat Pakistani nihari when here and the last time i tried chicken cordon bleu and that was also tasty",Rated 4.0,7,292,??
Barkha Chaudhary,Rated There Was good experience with special one and spend a good tym ...great food and service...so again we want to visit ther and make more spcl momentes....,Rated 4.0,10,11,??
Santosh Karuna,"Rated Sometimes I hate it when the food is really good, served some great ambience and good service with value for money it makes it difficult for me to try new places as this one is definitely gonna be on top of my places of revisit...kudos",Rated 4.5,27,60,??
Shikha,Rated 100 th :) Vault Cafe is located just above the Ajmal perfume store in CP. As the name says so does the cafe shows. You will see the vaults where one can relax and Unwind themselves. I unleashed my carnal desires when i saw the resplendent coming my way. I admire the creation & potential of the designers & thinkers to create this great place. The Terrace is a Spectacular way to enjoy your dining experience during Dusk. Must visit if you are wandering in & around. Surely Coming Again Soon.,Rated 4.0,0,0,Expert in Connaught Place
Beena Chopra,"Rated Went to the Vault Cafe with a couple of friends to catch up on a Saturday night. It was the perfect choice! The ambience is swanky and the music playing in the background is perfect, not too loud. We enjoyed some of the cocktails that tasted delicious and really well made...... Overall, a great time !!!!",Rated 4.0,10,6,??
Tanmay Guliani,"Rated Good food, great service( Harry - man you rock ), if you order sheesha he is the guy u should look for Overall great time I had and the place made my birthday even more special.",Rated 4.5,3,17,??
Vikram Sinha,Rated The ambience is really good.Rates a bit on the high side but classy crowd. Nice view of Connaught place from the Balcony. Would love to explore more.,Rated 4.0,2,17,??
Simon Rodrigues,Rated There are SO many restaurants and bars in Connaught place to choose from. We went in blind and just picked this one out of many. We were not disappointed! The Vaults as separate cubicles that gives you a kind of private space to sit and chit chat. The music and vibe is fantastic. We sat outside and had a nice view of the city. The staff was helpful. The drinks and food we ordered was pretty upto the mark. The bubble gum flavour HUKKA was just amazing...,Rated 4.0,0,0,Expert in Connaught Place
Aishwarya Kakkar,Rated Well I was there for my company get together with all my batch mates initially we really enjoyed we had a table at open terrace but then later their was a couple sitting opposite to us and companied about us being very loud we spoke to him and the matter was sorted but to our surprise the guy again complained called a friend who I was chatting with and accused him to touching the so called Miss Universe who was with him!!! Overall good place good music good food but some people really need public etiquettes.,Rated 3.5,7,32,??
