Username,Review,Rating,Total_reviews,Followers,Expert_level
Parul,Rated Went to this place with my friends it was on my list to explore i would like to tell everybody i know that they should once visit this place n i am sure you won't regret because from the staff to the food everything was just excellent.,Rated 5.0,4,3,??
Vaishali Babbar,Rated Last Sunday night it was the second time I had visited Unplugged Courtyard with two friends. This place has a very young and fresh feel. The menu was also quite good. The best thing that I had here was the kadai paneer with butter naan. The staff was quite polite. Thanks for making the evening so gud for us.,Rated 4.0,17,155,??
Anupriya Jolly Chugh,"Rated Please go there for the ambience but also for the delicious food. The sitting which is mostly outdoor is the prettiest you can come across in CP. The drinks are a must have. The Giardino served in a lamp is beautiful and refreshing. The Nutty Jack is a delightful drink Bailey's, Jack Daniels served with peanut butter. Aam Papad Caprioska a perfect summer drink with chunks of aam papad. Starters: I absolutely recommend the Ganna Chicken a kebab wrapped on small sticks of sugar cane. Aam Aadmi Chicken yummy and spicy, this us served in a steel tiffin like old times. Chilli Paneer Ghosla is a nest of fried noodles stuffed with chilli panner topped with cheese slices. Red Gull Croquettes are cheese and potato croquettes served with a special redbull sauce. Main Course: the main course is filling and desi at heart. The Traphalgar Chicken Curry is perfectly spiced chicken curry. The biryani is on my must eat list. Desserts : the desserts are molecular gastronomy style. So we had a special UC Cake which is a cake and icing dipped in liquid nitrogen and topped with sauce. Molecular Lollies too are made with liquid nitrogen.",Rated 4.5,73,358,??
Ajay Singh,"Rated As I was coming down the stairs of Odeon Cinema I saw this place right in front the theatre's exit. The music and the menu seemed just right. We wanted to go to Odeon Social but this place really lured us in. Its basically an outdoor seated restaurant with a small seating area indoors we well. The courtyard looks smashing with a couple of big trees in it. The terrace is more of a regular area similar to other restaurants in CP. The ever smiling attendant Himanshu was more than willing to show us around and let us decide the area we wanted to be seated in. We chose to sit in the courtyard. The music was really soothing and went rather with the sombre ambiance of the place. We ordered a few beers , a susst soya and a falafel dish. The food was good , I liked the soya dish better than the falafel one. The service was great and the staff really attentive and pretty accommodating to guest's requests. A big thumbs up. Keep it Up Guys!",Rated 4.0,0,0,Expert in Connaught Place
Pulkit Batheja,"Rated Great ambience. Fine food. A little expensive, but worth visiting. I went to UC with one of my friends and we ordered one Mumbai Dabba and one Unplugged Chicken Platter. For beverages we had Courtyard Special Cold Coffee and Kiwi Mojito. Everything was just awesome. I've never had a better Chicken Curry, not even at Nizamuddin or Chandni Chowk. Special Recommendation: would be the cold coffee. I can go this place just to sit at the terrace and enjoy the coffee. The Courtyard area is also very beautiful and it looks just amazing at night with the lights hanging from the tree. I would definitely recommend this place for a date. It is a calm and soothing place with great music. Enjoy. :)",Rated 4.0,5,0,??
Shovik Maji,"Rated Wow! I totally lived the place, it has a cool backyard kinda place with pretty decors, well floored, i can bet no such place could be found in CP... The food is so yummy... we were 2 ordered 2dishes and a cosmopolitan drink costing only 1300 i mean its written 1600 over here n we were full already... good thing is its very nearby to my place n i have found a pretty awesome place to hang around... P. S. Look out for the green box in your table its a pretty good concept for a wastebin",Rated 4.0,4,33,??
Shubham Goyal,"Rated Excellent ambience..I personally liked the top sitting outside and the concept of the resturant...Now about the food , you would have never heard of things like aam admi chicken , ghana chicken and many more but trust me you can order them blindly..The menu is super and you can try different things..I will give it a 4 star just because i think that the rates are bit high..",Rated 4.0,4,35,??
Tiara,Rated It was my first visit as per the reviews read on Zomato.. Its an amazing place n a romantic one too.. One must go n check out.. Food was amazing n service staffs were very friendly. We ordered Showrma roll n a courtyard platter along with strawberry n kiwi and my sweet babe mocktail.. Everything was yumm n tempting.. The best thing for final desert was the 3 diff flavoured live lollies that they make in front of u.. Too good.. Would love to visit again..,Rated 4.0,5,4,??
Life On A Rainbow,"Rated It's really pretty to start with. It's actually a fancy courtyard with dazzling lights and great music to lift up the ambience. Being the typical foodie I had done my zomato research before visiting the place. Contrary to what I read in other reviews I genuinely thought the service was really warm and quick. The quirky menu definitely stands out with the ""not so usual"" decor. UnfortunatelyI only had vegetarian , although that too was quite good. In the middle circle of a busy Connaught place this place is one wonder you should definitely visit :)",Rated 4.5,20,19,??
Tanveer Singh Sahni,"Rated We went on Valentine's with friends for dinner. Open area in the night looks great with live music, but that's not it. Food is not up to the mark. Very poor service. Navpreet Bakshi Sahni Aman Bindra",Rated 2.0,9,42,??
Rashmi Goel,"Rated We were here in the day time, chose this place because heard lots of good reviews. Finally after reaching there with high expectations,we found nothing of that kind. Pathetic good quality and service. We ordered chicken white sauce pasta,Oreo shakes and strawberry shake; when our order came that too after almost half an hour...pasta was not good at all in taste and that strawberry shake was yuck,sour like any medicine. So our overall experience was not good at all,so yeah no going back to this place again.",Rated 1.0,1,1,??
Drisshti Gambhir,"Rated Poor service and carelessness in serving food,served chicken in place of a completely veg food order also a lot of delay in taking order and serving.",Rated 1.5,2,55,??
Vaibhav Aggarwal,"Rated The open area of the restaurant has got quite a nice feel to it, even though the indoors is a little blah. Was perfect for a pleasantly sunny afternoon. But as regards my first impression, I was disappointed by the fact that nobody bothered to attend for quite long, after me being seated. Although the service did improve as the meal progressed, it still needs to improve. Coming to the food, I tried their Butter Chicken Tikka and Cajun Shawarma Gyro. To drink, I tried their Oriental Bloom and Virgin Mojito mocktails. The Chicken Tikka by itself wasn't very great, but coupled with the butter chicken gravy, it seemed nice. The Shawarma Gyro was nice, but I've had better ones elsewhere. The Virgin Mojito was quite nice, and the Oriental Bloom was really really good. As regards the food alone, I might have given the place a 3.5 (coupled with the service) but the ambience and the feel of the place added to it. There was also lovely live saxophone music also being played, which added to the experience. It's a good place to visit with family, as well as with friends. Besides all of this, there are also some ideas like the bill being served in a miniature post box, among other things, which are done well.",Rated 4.0,0,0,Expert in Connaught Place
Prerna Kapoor,"Rated An amazing piece of artwork in form of a cafe, blended beautifully with the nature in midst of historic roads of connaught place! Unplugged courtyard! A great place to dine in with friends and family. The three tier ambience (outdoor, indoor and terrace) is what makes this place all the more special. In love with the way the outdoor is setup around the stage background of a huge tree! The innovative way of presenting food and beverages is what drives you more inclined to the place! The courteous staff is a cherry on the cake!",Rated 3.5,19,114,??
Gitesh K,"Rated This one is not just a restaurant, it's an experience. An out of Delhi experience sitting in the heart of Delhi. Specially when the live music is playing and the crowd gets on it's feet to hum, sing and clap along. The variety of talent that plays at Unplugged.. itself is sufficient to encourage one to visit this place again and again. Great ambience... Good food.. Great music! A couple of minor disappointments. Service... Nothing major but certainly not up to the mark. The guys serving just aren't trained and ready for this level. This has to be THE focus area for restaurant management. Second... The portion sizes are a bit too small. Sure not everyone cares about this when quality of food is good and ambience/music is superb. But I always enjoy everything more when I have my tummy full. After all it's a restaurant and food has few other uses than to just look good on Instagram. Or may be whatever we tried was just too delish! Looking forward to my next visit..",Rated 4.5,14,8,??
Medha Sehtia,Rated Best barbecue in a long dine time. Beautiful as khoobsoorat. Not too steep on the pocket. Great servers. Exhaustive menu. Good vibes kind of place.,Rated 5.0,28,297,??
Arush Chikersal,Rated I first visited this place on bday of my friend and we were around 15 people and I simply loved the place. Beautifully done. Decent food. Thereafter a couple of weeks later I again went to this place for another friends b'day and their security men at the entry thought for a while that there are no girls this time and immediately after with a fake expression told us that they are booked for the day. This is ridiculous. At 7pm they are full? I would recommend this place strictly if you are with girls. Crazy and sick place with 10 bouncers at the entry.,Rated 1.0,23,211,??
Akashdeep Singh (Travellersfoodboxx),"Rated #UnlockUnplugged This place has so much beauty added to it, that one cant refrain himself from admiring it. Since it inception, it was the first time i visited the place and never really knew that it would turn out to be one of great experiences. The interiors are rustic, ambience is full of lights, and quirkiness. They have an indoor, outdoor and rooftop sitting. I choose their outdoor just because of the lighting done their. In terms of service and food quality unplug lived up to my expectations. We ordered Ganna chicken, Butter chicken tikka, spring rolls and chicken steam momos. The taste was exceptional, my personal favorite was ganna chicken. In cocktail i ordered a naughty jack and it was heaven. Base of jack daniel with an option to stir it with peanut butter, the combination was amazing. Do try this place just because it offers everything what you need.",Rated 5.0,0,0,Expert in Connaught Place
Gaurav Kapur,Rated The most amazing ambience and the spacious outlet in CP behind odeon . Never thot they could have such huge space there. Had only beer but was impressed with overall concept n small cabana. Service was prompt and the music was nice n peppy Terrace seating is the most recommended one,Rated 4.5,126,315,??
Meenakshi Srivastav,"Rated While roaming around in CP, we saw this place and popped into it for a quick bite. This newly opened place has a welcoming & eye catching ambience with commodious interiors (elegant & innovative) & exteriors (wooden dcor) seating area. Their kitchen is ready to serve the food loving customers with multi cuisines dishes. The menu is pretty rich having a wide range of sumptuous dishes. We ordered Corona (beer), Aam Papad drink, Ganna Chicken (yummy juicy chicken seekh on a sugarcane stick) & Ghosla Chilli Paneer everything was temptingly taste especially Ganna Chicken. Its a great value for money. An overall good experience. The management seems to be working on feedbacks and trying to enhance the services and overall experience. Give it a try guys.",Rated 4.0,0,0,Expert in Connaught Place
Sidhant Ahuja,"Rated Unplugged Courtyard is the latest buzz in town. Located at one of the best locations in the forever buzzing Connaught Place this place will certainly take your breath away. It is a massive place with plenty of seating arrangement.The large outdoor seating is perfect for evenings when the place is beautifully lit.The entire decor is chic and classic. The indoor section has a very rustic vibe while the outdoor part has a podium for live music performances which is perfect for winter evenings and the beautiful lights hanging from the tree will definitely set you in a mood.They also have a massive terrace which also has a bar for those who want to spend quiet time with family or friends. They have a variety of cocktails with amazing presentation some of them include Nutty Jack which was a Jack Daniels based cocktail having a strong coffee and vanilla flavour tastes best with peanut butter. Some other recommended drinks are UC special Margarita and Ginger Sour. Food Talk Ganna Chicken Skewers:- The most talked about dish of this place. Juicy Chicken wrapped in ganna sticks with flavors of ganna coming along with is to die for. Perfect starter to go with drinks. Dynamite Prawns :- This dish has certainly lived upto its name. The prawns were literally dynamite in nature and were delicious in taste. Served in a martini glass with lettuce as the base and topped with cumin seeds are highly recommended for sea food lovers. Chilli Paneer Khosla :- This was a very different and innovative item for me. Small pieces of paneer wrapped in a small edible khosla and topped with a cheese slice is heaven for all vegetarians. The presentation of this dish was class apart. Also this is one of the first place where I tried braai cuisine and feel in love with it. Tried the Zanzibar Masala Chicken Tangadi was Chicken Tangadi with different flavours altogether. Quite a good change from the normal chicken we eat. Aam Aadmi Chicken :- This was served in a tiffin box. This was boneless chicken having a strong achari flavor. Red Ghull Croquettes:- These were cheesy croquettes served with red bull sauce. The sauce had a tangy flavor. In main course Traphalgar Chicken Curry was the best. Also the biryani was amazing in taste. It was a perfect mix of Indian spices and really good. Moving on to the desserts the UC cake which comes in two flavours vanilla and chocolate were just splendid. Cake put in dry ice topped with whipped cream ,peanuts and chocolate syrup. The most innovative dessert I have seen. Even the UC lollipops were really addictive coming in different flavors of strawberry,kiwi and chocolate. A perfect example of molecular gastronomy. On the whole UC has changed the entire Connaught Place from introducing braai cuisine to molecular desserts they have it all.",Rated 5.0,0,0,Expert in Connaught Place
Akriti Jain,"Rated It might have taken some time but I found the best crispy prawns on the planet! I can easily say that an incredibly talented and experienced team of chefs and food consultants are the reason behind the huge success of Unplugged Courtyard in Connaught Place. The menu has been planned out very well with cuisines from all over the world keeping in mind peoples palate and taste preferences. Setting the talk about food aside for a while, the ambiance and service deserve a mention. The interiors of the restaurant are done up really well giving out a vintage feel and vibe. Weekends are designed around having live bands, dance sessions and the staff takes care in giving out the best experience and good service. I will start my review with the dish I liked the most (the one mentioned above), crispy dynamite prawns. They are served in a margarita glass with lettuce, mandolin baby radishes and thyme leaves making the entree look really fancy and colorful. Deep fried and rolled in hot sauce, these mini bite size prawns have just the right amount of crunch and spice, make sure to wash them down a glass of chilled beer! They are absolutely to die for. Red-bull croquettes- a thick dressing made with red bull comes in a syringe alongside vegetable croquettes. Crispy batter on the outside and wonderfully soft filling inside, my way of eating them is breaking them into two and pouring the sauce in the middle. A serving of this and youre good to go! Ganna chicken- The overall look of the dish is very appetizing; chicken mince is wrapped around tiny sugarcane sticks which imparts sweet flavor into the meat. The good thing about it is that the sweetness is not overpowering and is toned down with the addition of sweet chili sauce that comes along with it. From the other starters I tried, aam aadmi chicken had a combination of a lot of flavors (Paratha, Chicken, Dal Makhni and Mix Veg) which led to a slight confusion in terms of which one I liked the most. Sust soya kebab and chilly paneer cups are quite regular in taste. The soya kebabs were bland and under-seasoned. Chilly paneer was good in taste but did not require the cheese slice. Among the mocktails and cocktails, here are few I really liked: Aam papad caprioska- A concoction of crushed ice, aam papad and lemon is served in an old fashioned copper glass. It is deliciously refreshing and works really well as a palate cleanser between two courses. Watermelon-mint sangria in white wine and Aam panna Sangrias are my all time favorite; whether its a girls night out or a dinner, I usually end up ordering white wine sangrias. This one is made with mint, watermelon, white wine and tastes divine. Aam panna is a mocktail served with coriander and a hint of chili. If you love summer coolers, this is the drink you should go for. Nutty Jack- Take a bite of the peanut butter and then a sip of this cocktail made with coffee and Jack Daniels. Very unique and distinct in taste, it starts with a sweet flavor and goes on to taste a little bitter towards the end. Simply genius! Coming to the desserts, I liked the nitrogen lollipops that are prepared at your table. They come in three flavors, kiwi, raspberry and chocolate. Each lollipop has a different taste which resembles flavored candies and treats we used to eat when we were kids. I also tried another dessert from their menu, Brownie ke pakode- For me, there was too much whipped cream for the serving and the oil from the deep fried brownies ended up making the dish look really messy. Restaurants like Unplugged are working towards bringing international cuisines and techniques to the Indian market and are doing a fantastic job with it. I am really looking forward to experience the massive wave of the food world that is on its way to our country. Food and everything associated with it is going to be the next big thing our eyes are going to see. Hold tight! My rating for Unplugged Courtyard: Ambiance- 4.5/5 Service- 5/5 Presentation- 5/5 Quality and taste- 4/5 Cost for two is 1600. foodazzle.wordpress.com",Rated 4.5,0,0,Expert in Connaught Place
Tanush Singh Sangwan,"Rated I have been to hookah lounge's, been to cafe's of the alcoholic persuasion . But I have never been to one where they mix with such ease. It's open it's pleasant, they play beautiful music. And the food has been experimented with a delicious way , I will make sure to visit them again to try the other items on the menu. The only sore point was in service the man serving me and my friend when asked by me if he could serve us hoegaarden beer this guy kept trying to polish off a carona on to us, when I reaffirmed on my preference he again tries to polish if off on me. I am sorry but that experience just stopped me from giving them the full 5 score they deserved.",Rated 4.5,20,118,??
K.D.licious,"Rated Finally got an opportunity to visit this awesome place. Perfect ambiance, an open roof, open garden and a closed sitting with fully equipped bar. The butlers were very polite and welcoming and gave assistance at regular intervals i.e. were very responsive. The manager was very attentive and was on his toes and asked for feedback from every customer out there. We ordered their special red gull injection shots and malai chaanp. Red gull shots RATED 4.5 - Perfectly cooked with mashed potatoes were served with an injection containing mayo sauce and orange creamy sauce made with carrot, very juicy just melts in your mouth. Will only taste great when eaten hot. Soya Malai Chaanp -RATED - 4.5 - Super creamy ,super fresh, very soft & perfectly grilled, these pieces of soya were delicious to have. Served with mint sauce they just get your tongue craving for more. Overall a very good experience, though i tried very few dishes but will surely try many more in coming weekends. A must go for all who want a relaxing outing. Kudos @unpluggedcourtyardteam. Thank you for the redeemable voucher for my next visit.",Rated 4.5,2,33,??
Rishabh,Rated Wanted to go to unplugged courtyard for some time now. Finally went there. Ambience is very nice. All open. Service is a little disappointing. Had to call in manager twice to get things right. Food was OK. I specifically like the way aam aadmi chicken was brought by the waiter to our table. Desserts 'lollies' were the best. They make syrup quoted (different flavours) lollies on you table live with help of liquid nitrogen.. Amazing,Rated 3.5,2,0,??
Soney Kumari,Rated The food is at another level. I've had Biryani in Hyderabad but Unplugged's was delicious. this place will always feel amazing. Service -5 Food Quality & quantity -4.5,Rated 4.0,17,255,??
