Username,Review,Rating,Total_reviews,Followers,Expert_level
Somya Pandey,"Rated I visited this place for a dinner. There was a concert going on. The sound was too high. Thus I choose the rooftop seating. The seating was quite good and there was nothing special about it. I ordered a veg shawarma roll and a Bell peper Margarita ,Batch Type Vanilla Vodka which were quite good and filling though a little bit dry. Overall it was an very good experience!",Rated 4.5,15,17,??
Rajat Choudhary,Rated I simply love this place.i have never been disappointed Went for second time.Ordered Mustard Fish chilli with Beer and combo really worked well for me.Looking to visit again and try their complete seafood range for sure. I have a suggestion they should bring more variety in Draught beer.,Rated 4.0,18,4,??
Nitanshi Agarwal,"Rated A typical cafe in connaught place, it wont offer you anything different as such. The food is decent, slightly over priced and very standard. I had a margherita pizza and my friend ordered a chicken sandwich. Both were nicely prepared, then again, not very difficult dishes to prepare. I would only go to this place if I couldnt find a better restaurant in cp!",Rated 3.0,22,19,??
Smita Kainth,Rated I really like this place. Huge sitting area. The menu is quite interesting. And I really like the food and cocktails served here. It was quite busy when we went and even then our didn't take too long to come.,Rated 4.0,67,104,??
Latika Ogra,"Rated A name which all of us have heard in few major cities....! Plus:- location(which goes widout saying, Lovrd thr view of our FLAG), ambience (lovd d rooftop sofa area) and arrangements, staff, nice innovative menu card.. Ohh..nthg Plus in food kya.. Minus:- food quality; veg nad nonveg both,few options for Beer, last eveng had live solo performance too(which made lot of enthu in start) but the artist looked like,not able to connect wid public so that went little draggy at times ,no cards accepted(nt sure ,was that the 14Feb effect or what ) which made the payment process little time consuming (thnk God,one of us had dat much cash to payout bill & dat ws jst d luck time). our order was cheese french fries nd Chikn 65 & both were widout any sauce,very dry,no flavour and chikn was very hard. Chicken hot n sour soup{yeh achha tha.. :-)}. Hoping better quality nd taste in next visit.",Rated 3.0,25,24,??
Gaurav,Rated It was my birthday when i reached this place. And it was my 1st visit in warehouse cafe. Coming to the food we order cheese spinach corn role it was worth it. And pasta was very spicy wid bread toasted. Drinks was good I personally liked it But when it comes to service they took a lot of time. Which i don't like. Plus the servicemen or order taking people don't know how to tlk to there customer Food 4/5 Music 4/5 Service 3/5 Ambiance 3/5. Presentations 3/5,Rated 3.5,61,49,??
Sumit Chakraborty,"Rated My second visit here and it keeps getting better. The service is immaculate and the staff are really on top of things (Mukim deserves special mention for the excellent Hookah). Good food and great ambience. The rooftop is recommended for a great evening, especially for the fantastic view of Connaught Place. Keep up the good work chaps.",Rated 4.5,7,8,??
Ved Prakash Gupta,"Rated Really good food, specially pizzas and starters. Fast service. Great ambiance. Rooftop dining. The band was horrible but he left early that day.",Rated 4.5,5,122,??
Prithvi Godi,Rated Okay.. So i reserved.. And I got a confirmation.. But someone who answered the call had the audacity to tell me that the confirmation didn't matter and that they only serve customers on first come basis.. Thank you so much for wasting my time..@warehouse cafe,Rated 1.0,2,39,??
Prianca Khatri,"Rated Certainly ambiance was good but the food was tasteless we ordered pizza which cheesey topping was like rubber,pasta was uncooked, chocolate shake was like chocolate in water total waste of money..",Rated 1.5,2,9,??
Aastha Parmar,Rated The most talked about cafe in cannaught place. I visited here for the second time and we ordered for pasta and pizza. The white sauce pasta lacked spices and didn't tasted good. The warehouse special non veg pizza was no doubt really amazing in taste but it lacked chicken pieces. This experience of warehouse cafe was totally unsatisfactory. Only these 2 things costed us 1200 INR we could have gone for some buffet restro rather.,Rated 3.0,0,0,Expert in Connaught Place
Aditya Panwar,"Rated We went on a weekday, daytime. Ambience is nice, though they can work on their warehouse theme some more, service is a bit lazy-ed up too even during the daytime. May god help them on weekends'. They played good tracks. Food is worth every penny. Good food and a rooftop worth partying at is their USP.",Rated 3.5,3,27,??
Bharat Bansal,Rated Bad food bad service Dirty tables Stinking fresh lime soda Tasteless pizza which is know as warehouse signature Not a worth place to visit Bad experience,Rated 1.0,1,2,??
