Username,Review,Rating,Total_reviews,Followers,Expert_level
Dillichatori,"Rated If you are looking to try out Lebanese food, mezze platter is the right thing for you. Hummus, Fattoush, Labneh with Zaatar, Falafel, Mixed Pickles, Tahini Sauce & Pita Bread is what you will get. Everything tastes decent and you will love it if you are a Lebanese food fan. Also the ambiance is great specially on the second floor. A good Sunday dinner place.",Rated 4.0,13,23,??
Gopika Kaul,"Rated So before we went here, we read some reviews, and it seemed nice. It was, except for one thing - there is some belly dancing that happens on the first floor. Not being particularly interested in sitting among drunken men getting cheap thrills out of watching East European women (this is Delhi, you can imagine what Belly Dancing does to men in this city) we sat on the ground floor. We thought, to each his own and so long as we sit downstairs, it should be ok. Well, it was a bit of an issue - because the men upstairs kept swooning loudly and they kept upping the music, till I had to ask a waiter to turn it down. I mean one goes to a bar if one wants to shout over music (and in that case the music is to your liking, not typical belly dancing type that gets a bit much after a while). At a casual dining place such as this, one is looking for good food and some nice conversation - the latter is a bit tough, because the place is small and ""upstairs"" is like right above your head. They should say this upfront - tell us what's in store, so the ones who want an experience like this can go, the others can head somewhere else. I frankly felt like I was sitting under some some dance bar.. Now for some positives. The staff is courteous and the food is good - fresh and tasty, so they got that part right. We ordered the Hot Mezze Platter which has both veg and non veg snacks, and that was nice. For the main course we had rolls - I had the spicy falafal and my husband had the lamb one - yumm.. And yes, one more thing, the only wine they have is Fratelli - so if you love nice selection of wines, then this is not the place for you. We ordered it, was not bad. But I would have preferred to have been given a choice.",Rated 3.0,18,46,??
Preety Khanna,Rated the nice Lebanese places in Delhi NCR. Falafel wrap was heavy. It was also good. Lamb rolls & Chicken wings all were good in taste....,Rated 4.0,8,42,??
Rishabh Bahukhandi,"Rated In case you've never tried Lebanese and want to explore it, then this place is a must ! The staff is good and will help you with the order depending on your likings. The food is amazing and so is the interior, different and innovative ! You'll surely leave with a smile !",Rated 2.0,9,9,??
Pridhi Madan,Rated I love this place. Never disappointed me I have stayed in dubai for 14 years and love the food there. In Delhi i was missing that food and after visiting Zizo i don't miss dubai that much. Their zatar is amazing and chicken and cheese manoush is just too Good.,Rated 4.5,3,31,??
Aditya Sachdeva,"Rated I visited Zizo yesterday (14th February) for a lunch. The place is not unique in terms of its infrastructure or ambiance, however, that won't disappoint you. Zizo plays some music which most of us listen to, but have probably forgotten about, giving the touch of some nostalgia while they take about 20 minutes to prepare your order. We (Me and the accompanying friend) ordered a Veg. Cheese Falafel Burger and Penne Arrabiata with a Lebanese twist, with a Cosmopolitan & a Sangria. Firstly, their food is really heavy. We were absolutely full; there was no capacity for any desserts. However, whatever we had was absolutely delicious. The potato wedges served with the burger were probably the best potato wedges I have had. The Arrabiata wasn't as spicy as other review may tell you - but then it probably depends on one's appetite for spicy food. The cosmopolitan wasn't the best cosmopolitan we had, but nonetheless it was satisfactory. Caution for Wine drinkers: If you're too habitual of getting the perfect Wine glasses for your Red Wine, you might be disappointed with the quality of their Wine glasses. The Sangria, otherwise tasted fine. The prices were reasonable - and definitely worth the quality of the food. Two (alcoholic) drinks, two dishes costed about 1600 (with all the taxes).",Rated 4.0,4,38,??
Aikant Bhatti,"Rated Visited zizo, with colleagues for lunch. The ambience is Ok, the tables and chair need to be a bit more comfortable. The service has a lag factor and needs improvement. The pitta bread was soft and fluffy 5/5 and Hummus, was great, however the garnishing with the herbs was missing, i would rate it 4/5. The meeze platter we ordered was ok, there was nothing inspiring there for me to eat. I won't recommend but you can try at your own risk, they say its leabenesse food, but to me it appears a distant cousion...",Rated 3.0,33,26,??
Debroto Roy,"Rated Nice happy ambience, cheerful decor and an involved crew make this an amazing dine-out place right in the centre of the city. They serve authentic Lebanese / Mediterranean cuisine. We tried the mezze platter which was nice... the Fattoush salad was extremely good and crunchy.",Rated 3.5,97,49,??
Kriti Chopra,"Rated Not sure how my best-half came across this lil restaurant tucked in the corner of K block in CP. It's a Lebanese place, giving u a full Arabic feeling. Out of the world hookah!! Drinks are pretty standard. Interesting A la carte. Great for a quiet evening. Cheers!",Rated 4.5,24,55,??
Aviralkh,"Rated The place is easy to locate, opened in K block..they have a ground and a floor seating. First the serve u with some eatable stick and cucumber sauce which was ON THE HOUSE..! The seating was nice and ambience was very elegant.. The music was mostly arabian. To go with the rating Service : 3.5/5 Food : 2.5/5 Ambience: 4/5 Food: We ordered a veggy cheese pizza which ruined things for us. It was undercooked. It lacked veggies, spices and the most important the taste. Drinks: Virgin mojito and watermelon splash both the drinks were good and bang on taste. They served shesha in a very fancy way and it was ausum, though it was a quite over priced. 2000/- For one dish 2 drink and a sheesha.. ! Happy fooding..!!",Rated 3.0,30,59,??
Nitanshi Agarwal,"Rated It has a very nice lebanese menu. We ordered a falafel and some drinks. The falafel was okay and not worth the price. The passion fruit drink was very sweet and was quite disappointing. Overall, it was an okay experience.",Rated 3.5,22,19,??
Chaitanya Bansal,Rated Lebanese cuisine is an acquired taste so took me more than once to like this place. A well laid out menu supported by excellent food and ambience.,Rated 4.0,4,23,??
Riya Sharma,"Rated This is the Third time we tried Zizo after a year and we were glad that we went for a family dinner on Sunday evening . Tried the Hot Mezze Platter , Chicken Tagine and Spicy Chicken Wings Loved the taste of authentic Lebanese flavour. A must visit with your friends",Rated 4.5,13,62,??
