Username,Review,Rating,Total_reviews,Followers,Expert_level
Sundeep Gupta,Rated wonderful experience nice place great ambience the terrace and lounge is amazing .nice food great environment Amazing place to spend time with the family and friends,Rated 5.0,1,0,??
Naman Datta,Rated Great place for a hangout! Had a great time with friends.... Platters are a must have.... They stand out from all the other places in CP... Looking forward to coming back soon and trying out golgappa shots!,Rated 5.0,2,123,??
Naman Jain,Rated Ardor is one of the best restaurant which i have visited. It provides a very comfortable environment. Food is awesome and staff service quite good.,Rated 5.0,2,40,??
Abhinav Sharma,"Rated An anonymous person recommended me this restaurant and I'm really thankful to that person to recommend me such a great place. After being there, Ardor has become my first preference and trust me, it's the most lovely place I ever been. My girlfriend was too happy to be at the place with me that she gave me the first kiss of my life. It has an Amazing ambiance + Superb hospitality. For me this place is totally worth it......completely paisa wasool. I would recommend everyone to go. Thank You Ardor for making my day a special one.....",Rated 5.0,1,1,??
Sanchit Sood,Rated Great food!! Cheap price and an awesome place to hang out with friends. Hookah menu is amazing. Veg pasta and garlic bread is a must have. Overall an amazing experience,Rated 4.5,3,57,??
Rajasi Bhadang,"Rated Amazing food! Great ambiance! Really spacious! Need anyone ask for more in a place so demanding like CP, Delhi. A lounge that should definitely be on everyone's gotta eat Delhi.",Rated 5.0,2,0,??
Shahrukh Khan,"Rated Ardor is really beautiful place with giant terrace and lounge. A giant restaurant and lounge where you can party, dance and even spend a beautiful evening listening to some soul touching Sufi songs. Their fine dining restaurant is well decorated and is perfect for a dinner date and their lounge is ideal for parties,drinks and other stuffs.",Rated 4.5,2,0,??
Ashwarya Verma,Rated Had a great time with friends. I loved this place. The food was delicious. Their service was too good. It was worth visiting. I recommend this to everyone :),Rated 5.0,2,1,??
Rachita,Rated Such an amazing place. The beautiful interiors and delicious food just made my day. A nice place to spend some quality time with family and friends. The service was also good. Will visit again soon.,Rated 5.0,2,42,??
Balli Jatt Arya,Rated Nice food. Fdjjvxxeyuhhxdfgyuufghjgg.hgggffgjjgggf gcfghjjhggrrtyuiigfvufudjdddjxjxjchxhxgxgztzxcjcjjcc gfffffghhjjjjjjhgffdsdfhhhffffgjkhfdd,Rated 5.0,11,2,??
Pradeep Kumar,"Rated Offers a spacious roof top setting and indoor lounges , serves delicious food and commendable service . You just can't miss this brilliant place when you visit cp again :) will look forward to coming here again !!!",Rated 5.0,1,0,??
Shiv,Rated Its an amazing place to be!! Enjoy sufi ghazals and dance to the beats of Bollywood songs. One of my regular dining place. Keep up the excellent servive. Nice food. One can smoke hookah at this rooftop restaurant too ;),Rated 5.0,2,0,??
Varun Dhingra,Rated Very Good and Very Amazing place. The ambience was so good and the food quality was also very nice. Love the place a real life savior in CP.,Rated 5.0,1,1,??
Simmi Talwar,Rated What a wonderful place! Amazing place to spend the evening with great sufi music. Just loved the terrace! Lovely experience,Rated 5.0,1,0,??
Sumit Talwar,Rated Such a wonderful experience! What a place! A wonderful place to spend the evening with some great Sufi music. The terrace as well as the lounge is amazing. Would love to visit again!,Rated 5.0,2,46,??
Sunidhi Sharma,Rated Amazing place Awesome food.,Rated 5.0,2,0,??
Neetu Garg,Rated Went to cp and tried this place and found this place is best for hangout with family and friends Ambiance and Hospitality are superb Service is excellent And an amazing place to hangout with,Rated 5.0,2,2,??
Somya Pant,"Rated A woww place in the heart of Delhi. If you're looking for a place that soothes the senses with it's ambience and also finds a way to your heart through the food, then this is the ultimate destination. The staff too, contributes in making your mood go lalala. For youngsters, to be able to enjoy drinks and hookah with decent food and the attractive surrounding as cherry on top would be all they could ask for. Must visit! You'll enjoy the music too!",Rated 4.5,1,1,??
Shivam Chopra,Rated A good place to sit and listen to the sufi songs being played in the cafe along with mouth watering dishes. Ambience is amazing to hit the dance floor with an amazing DJ. I am glad to choose ARDOR for my birthday celebration! :D Must visit.,Rated 5.0,1,0,??
Rajeev Chopra,"Rated The place has a huge and beautiful terrace and lounge. Very good food. Also,the ambience and service is very goood. Perfect place for a family outing.",Rated 5.0,1,0,??
Vibhuti Srivastava,"Rated The experience at this restaurant was mind blowing. The food was awesome. Undoubtedly, the Chinese was the best. I'm in love with the outdoor dining <3",Rated 5.0,1,0,??
Param Garg,Rated Amazing place to hangout with friends and family Amazing Ambiance and superb hospitality For me this place is totally worth it completely paisa wasool Must go,Rated 5.0,2,43,??
Alka Srivastava,"Rated A meal at Ardor was an excellent experience. The ambience was tremendous, undoubtedly the best I've ever seen. I'm looking forward to visit again :)",Rated 5.0,1,0,??
Palash Srivastava,"Rated Ardor is an excellent restaurant. It is situated in the heart of Delhi. The ambience, food and service are top class. I'm in love with the Continental food and the open area is top class. Thumbs up :)",Rated 5.0,1,40,??
Sarthakwadhwa.22,"Rated New Hangout Point! Amazing ambience with appetizing food. The veg pizzas are the best to eat. Not to forget, the DJ. Ample space to dance and have an astonishing party. Highly recommended! :D",Rated 5.0,1,0,??
Shreya,Rated this place has an amazing ambience !a must visit place with friends where you can party and enjoy to the core...the food is yummy especially pizza and pasta,Rated 4.5,1,0,??
