Username,Review,Rating,Total_reviews,Followers,Expert_level
Preety Khanna,"Rated We ordered a freiend of items from this place. I had ordered veg manchurian from here for an office meeting recently. Delicious veg manchurian.The service is quick, good value for money stuff.",Rated 4.0,8,42,??
Kanikananda89,Rated This place has the best Chinese food especially their drumsticks are just so juicy and crunchy at the same time that I keep going to this place just to have a bite of them..,Rated 4.5,16,11,??
Balli Jatt Arya,Rated Nice food. Fffgghjhgfffdududuxjfjzyzjcjzgxjgifxtxjxjxgxjfusydux. Hfififfududuxjxhdudrahdjgydyfiguxigystsrayfugi xhhfufyxjfjzgzhxjggzhfygu fjxuffjdgzgzgzgxjcjvhzbvn,Rated 5.0,11,2,??
Bharat Bhushan,Rated Have heard about the food of this place alot of time from my friends but went myself first time some days ago Loved the food and decor was also very good Will go more often now,Rated 4.0,16,508,??
Ankur8571,Rated its in some block insight somewhere in the inner circle so may be people face some problem in finding it but its a very decent place with decent crowd.. a very well known place with very tasty chinese cuisine,Rated 5.0,10,418,??
Yash,Rated Had got a delivery order yesterday and grossly unsatisfied with the experience. The delivery was super late but I could have excused that had the food been good. Hot and sour soup was like the chef had been given a full cargo full of soy sauce and he has put half of it in the soup - so much of it. Chicken kunchao is my favourite and I order it every time but yesterday it was very average in taste and very bad in serving size as the size of the portion was half of what is usually there - didn't expect such a bad thing ever. Now coming to main dish Chicken Kung Pao --- could not understand what it was --absolutely way different from Kung Pao -- tasting more like Hunan Chicken. Being a regular customer of Bercos especially this one it was shocking for me to receive such a meal. Had never thought would have to write such a thing for my favourite Chinese food joint !!!!!! HIGHLY DISAPPOINTED !!!!!,Rated 2.0,3,1,??
Jasmeet Kaur,Rated The awesome place for chinese food. The food is really good...we had...crsipy veg...chili chicken...rice and noodles... is very delicious. Staff is very nice and service very quick.,Rated 4.0,6,0,??
Vipulnigam9798,Rated i am a die heart fan of berco's chowmein is super delicious chilly potatos are aslo a must try a bit costly place but with awesome ambiance a family restaurant,Rated 4.0,5,400,??
Divya Gopakumar,Rated Loved the Ginger Ale!! Veg Manchurian and Chicken Fried Rice was a good combo too. Liked the dimsums too. Deducting 2 point for the slow service. Buck up guys! People don't have 1.5hrs to spend on lunches!,Rated 4.0,45,88,??
Shilpa Vohra,"Rated The mixed meat noodles remains my hot favorite at Berco's (Connaught place). I have been to this place quite a few times in the past few years and its quality has remained absolutely top-class. The chicken drumstick appetizer we had last week was one of the best I have had in recent times. If you savour chinese food, give this place a try. I know I am going back again :)",Rated 4.0,2,0,??
Abhirup,"Rated There's only one word to describe the feeling at a place like Berco's - EXQUISITE This was the my 1st visit here in all these years (my bad) & as an chinese cuisine lover, it is the obvious choice (thanks to my wife). Let's get to the FOOD. Loving it :) The menu has a wide range of choices. They have the cantonese, thai & a little bit of the indo-asian palates. The chilly chicken (cantonese style) was inexplicable good complimenting the equally good haka- noodles. The pint of beer just added the extra zing to the evening. Thumbs up for the chef and this place. Not so loving it :( The ambience was quite dull. May be they can just light up with some light music. MUST TRY for all food lovers.",Rated 4.0,6,7,??
Gaurav,Rated Food was average and the restaurant declined to honour citibank offer of 15% off on the bill value with the reason that bill is generated. We unnecessary had to pay extra money just because of this reason and non cooperation of the staff.,Rated 1.0,1,1,??
Dheeraj Duhan,"Rated Berco's I have been to three outlets of Berco's Berco's,Cp Berco's, kamla nagar Berco's, Saket Trust me folks, they serve one of the best chinese in town. Food is delicious, interiors are appreciable, staff is courteous and service is quick. Went 2 weeks ago to saket outlet, last week to kamla nagar outlet and this week to cp one. They always stand by their commitment to serve quality and tasty food. i love to have chilly paneer , veg manchurian @berco's. Chinese Berco's All chinese lovers Must visit !! Chinese mania!!",Rated 4.5,67,530,??
Mona Jha,Rated There are better places for Indian food. The food is really good...we had dimsums...crsipy vegetarian mushrooms.Servic was also very quick nd staff was very polite.. Overal very nyc place,Rated 4.0,17,71,??
Neil Suri,"Rated Nice food, ambience is good, pricing is also average, but not the best food in this cuisine that I've ever had for sure, but if you like the cuisine and are in CP then not a bad place to visit",Rated 4.0,31,178,??
Mukuk,"Rated Today was my first visit to Thai Spice, but it definitely won't be my last. The food was flavorful, the service was very quick, and the prices were very reasonable. I overheard multiple people at other tables remark about how great many of their dishes are. I had the thai noodles, which was delicious. My only note is that it was pretty spicy, much more than I expected. My mouth was on fire - just from a noodle. I guess the name of the place should have been a clue, right? My friend had the Garlic Noodles, and she said it was excellent. That seemed to be a favourite amongst the other patrons, as well.",Rated 4.0,9,136,??
Sonali,Rated hav bn hre many tymes.. nice place.. nice ambience.. wid nice ppl :) and offcourse awesome chinese cuisine! wat else do u want!! love crispy tangy button mushrooms.. and lotus stem! :),Rated 4.5,0,0,Expert in Connaught Place
Kapil Goyala,"Rated A good pocket friendly chinese or thai restaurant in CP. We ordered crispy chili potato and a combo of thai redcurry with rice. Chili potato was good and curry rice were awesome. We ordered DARSAN as a dessert, which was more like Indian version of jalebi with vanilla ice cream but it was good. Mint Mojito were also good. It will be great if they can make the place a bit more with lights which can make the place more ambient. Thanks Kapil",Rated 3.5,6,1,??
Deepakshi Gupta,Rated Beat place to visit with friends and family. good service. authentic chinese and oriental cuisine. nice and warm ambiance................ Reasonably priced meals attract big groups so always crowded during lunch time.,Rated 4.0,6,6,??
Chaman Dang,Rated Restaurant is really good and have some awesome dishes with reasonable prices. Ambiance is also fantastic................ I always recommend this restaurant to my friends and colleagues..................,Rated 4.0,10,22,??
Karan Kaul,"Rated The tiger prawns here. It doesn't get better! One of the best places to have continental food. The ambience is luxurious! Loved the fried rice too, very generous portions. Noodles are a must try too. If you're in CP, do head here!",Rated 4.5,34,106,??
Arjun Shenoi,"Rated Good Chinese food, decently priced!! Good offers during happy hours. A casual meet and lunch place with plenty of covers. Ambience is a little too dimly lit!",Rated 4.5,4,70,??
Shagun Garg,"Rated It was a Saturday evening and CP was full like some carnival was on its streets. Not even a single pocket friendly restaurant was available with the seats and we finally had to choose this one for our dinner. I am not particularly a big fan of the Chinese cuisine and so I just found it okay and about consumable level. Since I was so much hungry I could have eaten anything that came my way, so my experience with it was fine and good.",Rated 3.5,20,80,??
Singhprerna435,Rated i am a bit disappointed with the service of berco's thought the food wasthe pricing is also not so much high but they need to improve their service,Rated 3.0,7,292,??
Ayushi Khullar | Food Is Life |,Rated A good place to have nice Chinese food..The flavours are perfect.. The Service is super prompt and staff is courteous...It is very moderately priced and is a complete family place,Rated 3.5,0,0,Expert in Connaught Place
Chaitna Das,Rated Serves good Chinese food especially the noodles and chilly chicken.Soup tastes good too.Ambiance is good and its a nice place for having family luch/dinner .Prices are decent............................:),Rated 4.0,10,17,??
Riya Kapoor,Rated Perfect place to eat healthy and tastier food.. chinese food are just awesome of this outlet ..although not much space for sitting but the taste of food is really worthy..services is so prompt. they also provide delivery at home..,Rated 4.0,9,197,??
Anil Thontepu,"Rated The perfect place for chinese and thai food. The chicken appetisers were quite tasty and in the vegetarian mushrooms looked over cooked but did satisfy the taste buds. Didnt try much in the main course but the spring noodles we did try was a good conclusion to the hearty meal. The prices were also quite reasonable, overall a good place to be for a Sunday lunch.",Rated 4.5,4,146,??
Arjun Mehra,"Rated Generous portions + affordable. My favorites are the chilli garlic noodles, kung pao chicken, hunan prawns, and of course, garlic steamed rice! It can get busy during lunch, but the people working here really are doing their best to get the orders out quickly. After all, lots of customers usually means the food is worth the wait....and the mouthwatering dishes at Bercos are no exception",Rated 4.0,10,94,??
Abc098,"Rated The original icon of chinese (Indian Chinese) food in Delhi! When there was no one else, there was Berco's. And so fantastic! Some of the best chilli chicken and chilli prawns. Brilliant hakka noodles. Shouldn't have changed addresses though, the middle circle one is a bit difficult to find. And going the chain wasn't the smartest I reckon. The other branches (visited Noida, GOlf Course rd, Sohna rd) are all crap!!",Rated 3.5,282,423,??
Mee@foodie,Rated Nice chinese great quality food you will find at bercos. Difficult to locate this outlet of bercos in CP. Otherwise food is good and service is prompt.,Rated 3.5,42,1305,??
Kanika Garg,Rated A good chinese restaurant. Place known for its Chinese and very rightly so. Ambience and service is good. We ordered fried rice were lite and delicious.Just loved their crispy potatoes & garlic noodles.Its a must try for everyone,Rated 4.0,5,154,??
Shubh,"Rated Went there on weekday, the ambience was really good you'll get a lot of variety here if you're a noodles lover, reasonable price, great and clean service..!!",Rated 4.0,1,2,??
Akanksha Bisen,"Rated Thank you Mr Rawat, I'll keep coming there as long as they have you around!!! The humble server there, he made my evening. I went there to try out the crispy mayo prawn which I had been craving ever since I had restarted eating non veg. Finally, we went there, but I guess people have n't tried it or have stopped eating it for some reason. We placed an order as soon as we sat there. When it arrived, it was cold and i doubt stale. Disappointed, we ordered other stuffs like crispy chilli garlic fish and chef's special chicken noodle. Mr. Rawat saved it into turning it into a sad tale. Crispy chilli garlic fish is a must try. The chef's special was great. I hope they start serving fresh mayo prawns soon. The fruit beer is one thing I have whenever I am there FYI Berco's is one of my fav place to have Chinese",Rated 4.0,40,480,??
MK Mishra,Rated Some people love the food in Bercos but somehow I have not liked it in this one and their Noida branch. It is too Indian than others. There are better places for Chino Indian food but this one is certainly reasonably priced.,Rated 3.0,222,175,??
Khuranakritika98,"Rated it is in somewhere inside any block in cp the restaurant is quite decent,the ambience is very nice the.nice food very warm. worth the prices.",Rated 3.5,11,421,??
Vivek Raveendran,Rated Decent Chinese food at this place.. The chicken dimsums were really juicy n succulent.. We followed it up with noodles and Mongolian chicken.. The curry was nice but the Mongolian chicken I had at Canton spice still stands out for me.. All in all a decent experience and that too at not that high a price..,Rated 3.5,46,191,??
Olive,Rated I heard a lot about this place untill I experienced myself. Had a pathetic experience. Ambience is very poor not at all hygienic plates tables everything was dirty. Staff is not at all courteous and attentive. They should convert it to self service. Ordered Chilly Garlic Noodles found nothing exceptional it was avg in taste. Ordered two more items but same opinion. Overall it was first and last visit to this outlet GK is far better than this.,Rated 1.0,4,9,??
Karthik Kizz,"Rated After hearing a lot about this place, decided to go for lunch with friend. As heard this place got a good ambiance. Ordered - manchow and thukpa soup (poorly manchow was salty to my taste ) - chilli potato (nice , spicy and good) - chicken dimsum (was very fresh and tasted good) - pan fried noodles (perfectly made noodles with panfried veggies) - brown zebra (also called 'brownie with ice cream' ) Service was bit slow but overall satisfied.",Rated 3.0,32,139,??
Varun Saluja,Rated Please carry id proof with you if you want to have cocktails . worst restaurant ever visit in cp and there service is very slow as compare to other restaurants.,Rated 1.0,2,5,??
Subir Dey,"Rated The khao suey, my fave thing on the menu and the only thing I've ever eaten here. Huge portion, I hope to be able to finish an entire bowl someday. Wish it could be delivered but its not in the delivery menu of the nearest outlet from me. Slightly slow service at times but that's hardly a bother. Must remember to make a reservation, next time I visit.",Rated 5.0,2,27,??
