Username,Review,Rating,Total_reviews,Followers,Expert_level
Bahaar Pandey,"Rated Amazing ambience, good food and fantastic waffles.. The service time is a little slow which can be looked into!! But otherwise the place is perfect for breakfast with friends or a brunch date..",Rated 4.0,14,49,??
Toshi Gupta,"Rated Cafe Tonino! I had been eying this cafe since a long time specially because of its fancy flowery entrance decor and its unique name. The cafe has a nice old school style seating area and specializes in Italian food. Ambience as well as the service is pretty good. The staff is welcoming and comforting. The food was okay, the portions were small. Not worth the amount of money you pay. I tried their pizza and lasagne. I liked the pizza, but the lasagne was loaded with excess amount of cheese which made it difficult to eat after a few bites. Though, there mock-tails a pretty refreshing I still did not find them much different from the other cafes that I have been to. Would I visit again? No",Rated 2.5,20,329,??
Karan!!!,"Rated This quaint cafe is situated in the first floor of the PVR building & a stairway leads right to its entrance. It is an Italian cafe & is inspired by Tonino Generale, felicitated pizza maker from Italy. The rustic Italian interiors, jazzy flooring & confirmation seating combine to make a memorable gastronomic experience. But enough about the boring part. Let's come to the fooood. They are among the few merchants who offer breakfast in the area & for that they are forever etched in my list. The Frittata Siciliana, my personal favorite, is an omelette haven containing bacon, cheddar cheese, sausages, mozzarella, is served with a grilled brown bread & 2 hash browns & after gulping it down, I have no qualms about the dish in its appearance or its taste. The 2 eggs of your choice is mediocre & worth the miss. After the Frittata, I moved to the sausages & bacon which did not impress me either, one can make -do with the sausages but the bacon was undercooked & unimpressive in texture. The menu boasts a variety of dishes but nothing compares to their pizzas so, don't leave this place without trying their pizzas, a decision I regret making hastily. To accompany the dishes, the beverages are equally impressive ranging from their fresh fruit juice to the cappuccino. They change their specials everyday & are a nice addition to their repertoire. They are in the inner circle which makes it a wonderful place away from the raucous crowd of the outer circle.",Rated 4.0,80,82,??
Smriti Singh,"Rated 1. Caffe` Tonino has a very good ambience. the food is really amazing... The best authentic Italian I have had till now. Ordered chese pizza, pasta and a chocolate shake. All were fantastic & Will definitely visit this place again.",Rated 4.0,3,128,??
Sunny Pahuja,Rated Good place for breakfast for a lazy Sunday morning...Veg Potato Rosetri and Waffles are amazing..loved the ambience and music.. Warm staff..,Rated 4.5,10,12,??
Nitanshi Agarwal,"Rated It seemed like a great Italian place, but it was quite disappointing. The servings were very small. The pizza was soggy and tasteless. It has a great ambiance overall, but the food may not live up to its standards",Rated 2.5,22,19,??
Neha Vats,Rated the Great great food! I went here with my friend after our exams ended for dinner. The food has a very good ambience.. Service is to the mark and the food is simply amazing.,Rated 4.0,20,203,??
Riya Kohli,"Rated once i went there with my friends, they have variety of Italian dishes....and i love the ambiance of the cafe. they served us on time. all in all it was nice cafe to spend time with friends.",Rated 4.0,4,239,??
S Alam,Rated Amazing Amazing Amazing.You HAVE to try the pizza!!!! Any of them...I had the chicken and it was excellent! Crust is the best I have had anywhere in town.The staff was extremely nice and attentive. Not a bad thing to say about it.,Rated 4.0,9,96,??
Deeksha Dutt,Rated It was a good experience. Food was fresh and nice. Clean environment. Rates are reasonable. ............... Worth a visit. .............................,Rated 4.0,6,9,??
Anwesha Guha,"Rated I have heard quite a lot about this place. Today I got a chance to taste their cuisine. I tried their Pasta senza glutine con salsa di pomodoro e pollo and Speziata con Pollo pizza. Both the preparations were average in taste, nothing special. But I loved their Virgin Sangria and Itallian Fantasy in their Mocktail range.",Rated 3.5,47,82,??
Simran Kaur,"Rated I went there for lunch on a weekday. It wasn't too crowded, but not empty either. It's a pleasant looking place. I liked the ambience. Based on the recommendation of the staff, we tried the tonino special mocktail which was pretty good. I ordered the Ravioli and the chicken breast, both of which were exquisite. Overall great experience. Slightly pricy but worth the money.",Rated 4.0,22,136,??
Akshi Sharma,Rated I was welcomed at Caffe Tonino with a live band playing Hotel California on the Christmas Day. Since then I totally fell in love with this place. It is one of the best places to try out for authentic Italian food. We tried pizza and pasta along with some drinks and everything that we ordered just fell way above our expectation level. The ambience is pretty much decent and the staff takes good care of their customers. On the whole is was a good first experience.,Rated 4.0,17,40,??
