Username,Review,Rating,Total_reviews,Followers,Expert_level
Anand S Mishra,Rated Went to the Place Early Afternoon .. donuts was not as good as MOD... Scope of Improvements.Service pple are Good Order Delivering is Ok. Overall a fun Place with Nice Music Will be Back soon.,Rated 3.5,1,5,??
Sonia Chhillar,"Rated Going to Dunkin' Donuts is always a happy experience. Pleasant music and to add to charm is the dining area. A very filling variety of burgers, Naughty Lucy veg. is a must try. Wicked wraps are something unavoidable if you go there. Coffee tastes very nice, even the simplest Classic has its own taste and so are the milkshakes especially Fruit berry. Love it. Simply Awesome!",Rated 4.5,6,2,??
Akshat Singhal,"Rated Nice place for people craving for donuts and have a sweet tooth, their stuck on you Is just fab....!!!! Crunchy joe is also nice...!!! The place is colourfull with nice staff",Rated 3.5,18,38,??
Kaustav Datta - Foodiepanda,"Rated Owned and operated by the Jubilant Foods group in India, Dunkin Donuts is one of the best global food chains to have come to India and establish their business. My experience at their Connaught Place outlet is a testimony to that excellence. ABSOLUTE LOVE!! That's what I feel for this place. I went there with a group of friends and tried out some of the best items I'd heard on their menu. Much to my delight, they were all amazing! AMBIANCE: The place is easy to locate and the decor is simply beautiful, comfy and warm. CCDs, I feel, are pass for dates these days. One needs to explore newer and better options for a simple lunch date or a place to hangout with friends and chill, and Dunkin Donuts is just the place you might want to be. They have the same kind of decor at most outlets: a blue wall with colourful face murals hanging, white brick walls with black boards and chalk drawings filling them up and probably, a soft corner area with some sofas and a lampshade. Perfectly comfortable and cozy. SERVICE: The place is a counter service outlet where you place your order and collect the same at the counter itself before you leave. The food is served quick and fast and the person handling the counter was agile and courteous. A polite staff is always a welcome sight at major food chain outlets. FOOD: We went in a group of 3 folks (all non-vegetarians) and one of us was giving a treat, so we spared no expense in trying what we really wanted to. We ordered - Double Mutton Burger - Spicy Grilled Chicken Burger - Jamaican Rum and Almonds - Mocha Chip - Virgin Mojito Coolatta - Death by Chocolate Donut - Nutty Strawberry Donut The BURGERS were good. I specially liked the Spicy Grilled Chicken Burger more than the Double Mutton Burger. The Chicken burger was really delicious; right amount of sauces and beautifully spiced patty with soft and fresh bread. Not much of a dressed up burger, but certainly tasty as such. The Mutton burger had a slight hint of mustard sauce and some onion rings stacked on a mutton patty. A little less meaty I guess, and also lacked some strength in taste. I've heard much about the Naughty Lucy burgers here and certainly intend to try them next time. Amongst the drinks, we really loved the Jamaican Rum and Almonds and the Mocha Chip very much. Certainly a delight to accompany any burger or croissant here. The Virgin Mojito Coolatta was good too! Strong and fresh minty in taste! I really loved them all. The DONUTS were perfect!! The Death by Chocolate is my personal favorite pick of the two. The chocolate layering was so warm and yummy! It kinda melts in your spoon itself even before it reaches your tongue. The smell and taste is so so enticing! I loved every bite of it with equal undivided love :P The Nutty Strawberry was tasty too. It was a ring type donut with a layering of strawberry cream and small chunks of nuts scattered over it. Certainly a good choice. I personally though want to try out more of their Chocolate donuts. Make sure to take an entire pack of all their different chocolate flavored donuts when you're there. You WON'T BE DISAPPOINTED!! VALUE FOR MONEY: The place is certainly a good and viable choice for its donuts and accompanying drinks. For the food, the place might be a bit over-valuing the items. Overall, I'd say a decently priced place that provides some really good options compared to other chains. Pocketpinch for three: Rs. 1100/- ----------------------------------------------------- Location : 4/5 (good) Interior : 3.5/5 (decent) Ambiance: 3.5/5 (decent) Food : 4/5 (good) Service : 4/5 (good) Cost : 3/5 (decent) Overall : 3.5/5 (Decent)",Rated 3.5,88,1067,??
Shikha,"Rated This outlet is lively colorful fancied with so many donuts , my personal favorite being death by chocolate, break up party eclair,dark choco therapy. Their Cupwiches & bagels with cheese are amazing options to try with tempting hot coffee . Dunkin is always on with some offers or discount coupons .",Rated 4.0,0,0,Expert in Connaught Place
Shagun Garg,Rated This one has a great variety of doughnuts available in different flavors. I just love the ugly Strawberry one and tried it twice. They introduce new fare after every few months. Their Naughty Lucy burger is a must try. It is filled up with a huge amount of cheese inside the patty. Everything here is high on calories so choose your option wisely!,Rated 4.0,20,80,??
Manavv Piplani (Bribing Stomach),"Rated A great place to visit if you have a sweet tooth but also if you are a burger lover, They have alot of variety in burgers & wraps and their drinks can't go unnoticed. My personal favorite is , Original tough guy chicken with iced green tea. And naughty lucy chicken is equally good.",Rated 3.5,0,0,Expert in Connaught Place
Vasudha Vaid,Rated Visited this outlet for the first time. Its quite amazing. Spacious and cool ambience. Service is quick and staff is welcoming! Taste is obviously their mark.,Rated 3.5,0,0,Expert in Connaught Place
Navan Khanna,"Rated Fantastic Donuts. They were just your average Donut, but that was what was so perfect. They were the average Donut done well. I am so happy to have this option.",Rated 3.5,9,101,??
Aditi Malhotra,"Rated Given Enough Coffee You Could Shake The World!!! This is what Dunkin Donut claims as they launch some very interesting new coffees. Its not a very regular thing when innovation with coffee happens. We may visit different cafes, and they might name their coffees differently, but they all end up tasting the same, with hardly a difference to make out. To bridge this gap, Dunkin has really gone overboard in their research and come up with not one but four new coffees, and these coffees are of the kinds that we normally don't get in coffee shops. The first coffee is named Bangalore Start-Up Coffee. As the name suggests, its for the night owls busy working on ideas that will one day(hopefully) change the world. A 100% Arabica roast coffee beans decoction, in piping hot milk, inspired by South-Indian filter coffee and the start-up culture. But you really don't need to be in a start-up to drink this one. This coffee reminded me of the coffee I drink at home every morning, which is basically coffee added to a warm glass of milk. To get this kind of homely taste in a coffee shop, is something we never expect. We go to coffee shops for fancy coffees, but sometimes what you really need is that feeling of home comfort, home like taste and Bingo, this coffee gives you exactly that. The next coffee, is meant strictly for bold and daring people, because this guy is tough and its actually named Tough Guy Cappuccino. This coffee is like the real friend who has no sympathy for you, he is like the friend who tells you, your face is dirty and you look like an idiot, when other friends like your pic on the social media, this coffee makes you wake up and smell the coffee. The triple shot of dark roasted espresso with a tint of brandy is so tough that you can't escape the reality. Do not drink this one if you are clear-headed! I personally liked this coffee the most, though the comfortable Bangalore Start-Up Coffee reminded me of home like taste, this one truly became my best friend. The aroma of coffee, the tint of brandy, made it a more than perfect combination when in need to think clear. I am gonna go back a lot to Dunkin for this tough guy, because you don't find guys like this easily these days ;) I even clicked a selfie with this one :) What do you do, when somedays you felt like being held, you hold a cup of fuzzy mix of chocolate and coffee, with whipped cream for some extra love and cinnamon for the feeling to linger. This is the coffee you hold when you need to be held. Its your partner in therapy, its called the Therapeutic Cappuccino. And just as the name says, it is that therapy you need when sometimes you are too low or even too happy, its a coffee, you at back and relax with. Its a coffee that makes you forget things happening around you, its a coffee, that even after its finished, makes it difficult to part with. So its really not a coffee, its a therapy, its a coffee spa, its a massage, that you want to go on and on with. The chocolate and coffee mix, the sweetness of whipped cream and that dash of cinnamon, all put together make it more than a perfect combination of tastes. And last but not the least, came the coffee which had no story, it was too direct and straightforward. Simply a no nonsense stuff, a straight up black coffee, minus the bitterness. This is one thing that we all drink black coffee for, for it being straight, strong and directly hard hitting, and at the same time, we still dislike the too much of bitterness it comes with. I am personally very fond of black coffee, but yes honestly speaking, the bitter taste it leaves me with, is not quite liked. Duncan has really found a solution to it, and come up with a coffee, which is black, but doesn't taste bitter. And to substantiate the difference, we were served a Dunkin Black along with a regular Americano Black Coffee. The difference was very very evident and Dunkin gives me another reason to go back to them. In fact Dunkin has really given me 4 new reasons to go back to them again and again and I definitely will. I am very sure that these four new coffees will give coffee lovers a lot of reason to visit Dunkin Donuts soon and I recommend tasting all of them, so at least 4 visits for that and then keep going back for one or the other :) facebook.com",Rated 4.0,10,66,??
Mansi,"Rated Love this place specially after the renovation...their service is amazing even if its crowded...and the burgers are neatly packed always...love their donuts alive by chocolate, death by chocolate, ugly strawberry, breakup party clair and the best part they are always tasty....",Rated 4.5,0,0,Expert in Connaught Place
Reetika Ralhan,Rated A nice place to hangout with friends. The burgers and donuts are amazing but the beverages are not upto the mark. I'm a regular here and I try new things. My latest find was Crunchy Joe. It was a nice burger and does justice to it's name as it was very crunchy.,Rated 3.5,25,27,??
Diya Negi,"Rated I ordered 3 Non-Veg and 1 veg burger. I received all 4 non-veg burgers. Just when the vegetarian lady was about to take a bite one of us thankfully noticed the mistake, I immediately called up Dunkin and they said they will send a veg one. First we wait for half an hour for the order to arrive (which is understandable) then again we wait for another 45 minutes for the other ""correct"" one to come. After allll the wait a very smiling delivery boy who does not even apologise in the first place asks us to give them back the previous wrongly delivered non veg burger and then in return he will take out the veg one from his bag. Not that I had any issue in paying for this one or returning the previous one but it was just surprising to see such a customer service. Found it a little cheap and not expected it from Dunkin. I did spare a few minutes to call up the manager and confirm wether he actually asked him to do so and to my surprise he did. Really shocking to see such a service. I would rate this Dunkin a 1. Food is amazing but service is poor.",Rated 1.0,1,0,??
Lokesh Dagar,Rated No doubt dunkin donuts is the best place to have yummy donuts .hot chocolate Is also yumm. Too much burger is not that good but donuts :* Love for donuts,Rated 4.0,6,0,??
The Great Indian Foodie :P,"Rated Prefect location, Nice ambience and sitting arrangement, easy to grab seats, no waiting time, quick and very attentive staff, divided into two halves, ground floor and upper ground floor. Grabbed couple of rings and shell donuts all of were delicious and value for money.",Rated 4.0,0,0,Expert in Connaught Place
Krishna Narayan,"Rated Visited for an evening coffee got a nightmare instead, the woman left to Shakti K, just didn't want to take my order and murmured something to herself, the guy left to her was staring at me blankly, when I asked whether placing an order is so complicated the woman became very vehement and vociferous, then Shakti K offered to take the order, but still it is not over,the short girl at the delivery won't touch the receipt and from a distance squinted saying coffee and without telling me kept a coffee at the side, then very badly told ,yeh coffee AAP hi ka hai, le lijiye, as a cleverly hidden smart insult. In what unnecessary matters people acquire smartness one wonders, why can't they simply serve and leave us alone instead of becoming extreme smart devils with satanic misbehaviour just to insult and disturb the evening of an unsuspecting visitor not suspecting that such networked conspiracy is lurking to get the better of your evening mood in addition to taking your money",Rated 1.0,4,0,??
Surabhi Seth,Rated Great location. Ample amount of tables. Always soo full. All time favorite burgers are Naughty Lucy and Tough Guy burger. Check out their schemes for donuts cause they keep having great offers on them.,Rated 3.5,51,122,??
Simon Rodrigues,"Rated This Donut shop , located in the N Block of Connaught Place bustling with people carrying big dozen boxes of donuts is way better than the outlet at GIP, Nehru place and other CP outlet. It now have lot of options in the burger section and is a perfect place who crave for spicy stuff!! The wicked wrap would make your mouth go watery.. no mater how much stuffed you are.. Well for their donuts, they are perfectly baked. BREAK UP PARTY ECLAIR. It surely suits all the sweet tooths... The ultimate DEATH BY CHOCOLATE ..with rich creamy chocolate on top and silky molten chocolate inside... It is a must visit place...",Rated 3.5,0,0,Expert in Connaught Place
Tarveen,"Rated Decent ambiance, courteous staff and delicious burgers. I prefer eating DD burgers over other fast food joints. They are far delicious in taste are cooked properly. Have gone there so many times and loved every burger that i had there. My favorite being Naughty Lucy (non-veg).",Rated 3.5,4,28,??
Shruti Bisht,Rated So I am a hard core non vegetarian and the biggest turn off for me was- DECEPTIVELY SMALL POTIONS OF BURGERS. I have tried the spicy chicken grilled..which was neither spicy enough nor very tasty. The sweet corn burger was still better. And the saving grace had to the POTATO WEDGES.,Rated 3.0,33,66,??
Deepika Bhagwani,"Rated Dunkin has always been a nice place to chill! This dunkin donut outlet is located very near to the rajiv chowk metro station, and is spacious and well constructed. Interiors are nicely done. Been here a couple of times, service and staff both are pretty good. I used to be a dunkin fan! But lately their quality has deteriorated. Donut range is limited, and the burgers not upto the mark. Gear up Dunkin!",Rated 3.0,0,0,Expert in Connaught Place
Weekender_Foodie,Rated One of the best burgers.. **personal Recommendation - Original Tough Guy burger / Cheese Veg Cupwich / Heaven can wait burger **Money Matters** Value for money(food) -4/5 Value for money(seating & environment) - 4/5 Nice seating with quick service.. You can fill up ur tummy with one burger and cold drink. Only disappointed thing is theie potato wedges...,Rated 4.0,67,104,??
@khy@,"Rated Visited this outlet 4-5 times. And after my last visit decided to review it. This outlet is next to dominos. Spacious, colourful, quick service, good music and finger licking food. We had #Chocolate Milkshake - Awesome taste! Shake was creamy, sweet, and soo chocolaty...every sip was worth it. #Classic glazed donut - Mine favourite... Simple & Best! #Double crunch sweetcorn- This is the new addition in the menu. It had crunchy patty of sweetcorn along with fried babycorns in it. It is messy but awesome taste of the burger will make u forget about surroundings. Loved it! Will have it again... #Hash brown burger- All time favourite in the menu...this burger have flavours of indian spices, crunchy hashbrowns, and finger licking sauces. Good experience, Value for money...will visit again & again! :-)",Rated 4.5,0,0,Expert in Connaught Place
Deepak Gupta,"Rated Their burger are really nice, one must try them too. Rest donuts are marvellous, but burger is just mouth watering. They are also having a quick table service and nice dining area.",Rated 4.5,32,411,??
Akanksha Gupta,Rated The favorite dunkin outlet due to the cool look this place posses with decorative walls and lights! Simply attractive. Located in the heart of Delhi this place is a decent good one. Famous for their donuts obvious. Although I like most of their donut categories but yes their 'Death by chocolate' needs a special mention here. For all the chocolate lovers out there it is a perfect thing to grab on a chillin winter evening! Ahh! Lovely it was. Coming to other things on menu. I wont say much but yeah their burgers are pretty good too. Well a pretty good place.,Rated 4.0,10,0,??
Manish Ray,"Rated Death by chocolate, fruit berry smoothie my favourites. Love the taste of their burger too.. that will not disappoint you. You visit them in CP. No regret place",Rated 3.5,26,83,??
Kumar Abhishek,Rated Remember ending up at this place as part of a late night stroll and most of the restraunte being closed early on . The Donuts are amazing as the expected . But i found the burgers to be just average . A must visit for the Choclate Donuts .,Rated 2.5,24,38,??
Vikram Garewal,"Rated Loved the donuts , specially with white chocolate and caramel filled ! Literally my most favourite place to be. Whenever i am in CP, i always end up going to dunkin once :P something about this place (actually everything) drags me towards it :P",Rated 4.0,5,53,??
Namrata Shankar,"Rated One of the favourite budget food hangouts at CP. And apart from Donuts, wide variety of Burgers, Sandwiches and Wraps to choose from. I always go for a coffee or Dunkachino here. Pretty good. I wish they would come out with more variety of donuts though, apart from the regular chocolate ones. The highly recommended burgers here would be The Naughty Lucy(N. Veg) and The Heaven Can Wait Burger. Not disappointed at all.",Rated 3.5,28,107,??
Aarushi Mittal,"Rated The donuts are to die for. The place has a great ambience. The coffee is inconsistent, sometimes great and other times it is okay. Some of the Burgers are really delicious. I love to go to DD whenever I am near by. No one can be better at donuts than DD!",Rated 5.0,5,6,??
Aditya Singh- The Wanderlust Foodies,"Rated I have been to this place only once and it was a good visit. The setup is nice and comfortable first of all. The staff is cooperative and friendly which made my visit even better. I had the Naughty Lucy Chicken burger and Butterscotch Dunkaccino. The burger in itself is pretty heavy and enough for one person with the Dunkaccino. The burger was amazing. It was neatly presented and wasn't falling apart and it was absolutely delicious. The chicken was cooked to perfection. The sauce was exquisite and did wonders to the burger with the lettuce and onions. This burger could not have been better. The Dunkaccino was great too. The smooth shake with amazing butterscotch taste. I would visit this place for this Dunkaccino alone. It was great. I also had the Cinnamon and the blueberry doughnuts. Both of them were soft and good. I liked the blueberry one better because it had more taste than the cinnamon one. Overall, a great place for burgers and shakes. Doughnuts are good as well.",Rated 4.0,45,243,??
Sangharsh Borse,Rated I am becoming fan of their burgers. They serve one of the best donuts in the town. Burgers are also giving though competition to other joints. Perfectly baked buns with tasty patty makes their burgers awesome. Chicken was perfectly cooked and tender. Next time It will not be surprising if I visit this place just to try their burgers.,Rated 4.0,50,301,??
Malika,"Rated I really didnt get the fact that why people praise Dunkin's burgers soo much. Tried Crunchy joe, Classic and Lucy Veg here, well everything was much below the average. The buns were too oily and too stiff to bite. Avoid the burgers range guys, they are not worth the shot. Not a good experience!",Rated 2.0,19,58,??
Havyas,Rated One would be surprised to hear that the burgers of Dunkin Donuts is something which is as fine and sumptuous as their famous Donuts. The donuts however are legendary especially Death by Chocolate or Alive by Chocolate or Cinnamon Rolls. You can live n die again and again for them. Nothing like a warm Donut on a chilly evening.,Rated 4.0,0,0,Expert in Connaught Place
Sagar,"Rated This was my second experience with Dunkin. And not a good one. Again. We ordered one wicked Paneer wrap, one cold coffee and one iced tea. We didn't even finish one thing. Not even half. Wrap was not warm. It was dry from inside. Very little sauce. Just fried or grilled chunks of Paneer. Cold coffee was too sweet. Iced tea had almost no flavour. Couldn't finish it. Probably they should sell their donuts only.",Rated 1.0,48,50,??
Vaibhav Jain,"Rated Taking my 2 ratings back. The staff at the order counter being ridiculously rude. I having no idea about what burger can be best to eat. As i always had donuts and dunkachino and coffee here. What i get as an answer with a rude tone is , i don't eat veg. So I can't tell you and started laughing. Should i make a complaint of this like do you see a counter guy telling his personal choice to a guest. To his ""non-sensible humour"" (offcourse for himself) told him - you can atleast suggest you work here and then he suggests me what i can have. I mean what the hell is this. Now, if i start writing something wrong here you people will make an issue of this as well. He was rude in so many other things. While i was clicking pictures for zomato. Was not asked to not click in a polite manner but told again in a very rude statement ""hey don't do that you can't take pictures of our interiors"" really? My friend told him why i am taking them and he says - giving the menu and saying ""iski lelo"". You are not allowed to take pictures of this. Seriously? Dunkin's I generally don't but if this repats i am complaining. Also, when we were given our order - no sauce no sugar nothing was served along. We had to ask again and again. What's wrong? Dunkin's was such a nice place in these things atleast. 3 is for the quality & taste of food you serve nothing else.",Rated 3.0,0,0,Expert in Connaught Place
Arun Vasudevan,"Rated This is the third dunkin I review and for some reason the ambience wasn't up to the mark. I had visited this outlet on Dec 11, as I entered I noticed that the ground floor is pretty chaotic, so I eventually went upstairs just to find that it's worse over there. They have filled all the space with chairs making it tough to commute within the outlet itself! Especially when it's crowded. So not dunkin. Coming to the food about which I can hardly complain, the newly chicken burger is great and the ugly strawberry donut has stuck the right chords for me. :) Not to forget, the voodoo wrap is still the king.",Rated 3.5,30,55,??
Pushkin Shukla,"Rated Dunkin' Donut burgers are always better to grabs a hot chocolate and donut at Dunkin' BUT, off late I became a big fan of Dunkin' burgers / wraps. They are nice and juicy the preparation and sauce is too much fun. The new Too Much burgers are such a mouthful and the restaurant's ambiance is hit ! Keep it up guys!!",Rated 5.0,0,0,Expert in Connaught Place
Sameer Malhotra,Rated The chef's special burger is my favourite. The staff is good . Overall it is a nice place if you are craving for some good food while in C.P.,Rated 4.5,17,25,??
Himani Giri,Rated nice place for hanging out wid friends...huge variety of doughnuts r here...almost all of dem r gud...doughnut lovers ll luv t.....worth visiting,Rated 3.0,8,22,??
Rishabha Garg,"Rated So you have this place in town which you will only like until you will more ""mad over dount's"" oulet in this city. Also they have discontinued some of there gems like chocolate cake.",Rated 3.5,30,52,??
Aanchal Mathur,"Rated The best place to eat and have a good time, chic ambience and a whole variety of menu to chose from. Apart from the new Interiors and seating arrangement, the menu has also been revised and for good, though they've reduced the sandwiches which were amazing but the new burgers are also a must try. The home delivery system can be a little improved as the call is unanswered a lot of times. Kindly check the phone number that you have mentioned here as I think it's not the right one. Nobody answers on that, instead the other one with a 6 in the end is answered.All in all it's a great place to have a great meal and relax !",Rated 4.0,3,69,??
Akshita Nanda,"Rated I think it'll be safe to say Dunkin' burgers are one of the best burgers in Delhi. Their CP outlet is one of the super amazing ones, colorful ambience and nice music. On my most recent visit here, I ordered a chicken Naughty Lucy Burger (isn't it just the best?), a Jamaican rum and almonds dunkaccino, a hot chocolate and well, a break up party clair. Words can't describe the cheesy heaven you are in while eating the Naughty Lucy. This perfectly prepared burger has a cheese center chicken patty, the cheese starts flowing after the first bite and goes on till the last. The Jamaican Rum n Almond dunkaccino is a strong coffee based drink, with a slight rum flavor and loads of crushed almonds. This is even better when taken with an extra shot of cream. Yum. Yum. Yum. Their chocolate is good, but I've had better. It's a refined version of chocolate milkshake. The breakup party clair, my personal favorite, was , as usual, amazing. Well heated and really nicely prepared. The caramel sauce on top lightens the flavors even more! Amazing food, and good preparations. Loved it!",Rated 4.5,45,302,??
