Username,Review,Rating,Total_reviews,Followers,Expert_level
Ishani Agarwal,"Rated I had heard a lot of good reviews about Farzi from my friends who went to the 'cyber hub' one. So when I was in CP I decided to try this new outlet. The entrance is good. Music, crowd, lighting all create a good atmosphere. We even had to wait for half hour because of the rush. Food- we we're ordering something else but our server suggested totally 2 different dishes instead. And I must say, both of them turned out to be delicious! It was 'Dal Chawal' something. And really tasty. It was not what you'd expect out of a dal chawal dish :D Drinks- 'Kolaveri Bunta' which was a Rum based drink. It was good but a lil strong. Overall, the staff was also totally good.",Rated 4.0,17,23,??
Ajit Ajmani,"Rated So farzi cafe is now in cp. Went there on friday night. Jaz Dhami was performing live. The place was decently packed. But the vibe was not that great. I guess something was wrong with their sound systems. Was spoiling the whole mood. Coming now their forte The food. Yes, undoubtedly the food is great. We had braised lamb chops and lamb with malabar parantha. Both tasted good though lamb curry ws on the sweeter side. Liquor variety ws less. We ordered for absolut, jim beam , glenfidditich . They all werent available. So we chose oder options Ambience is minimalistic with a bar in the entrance. The bar looks good. The stage set up is good for events. Sitting is comfortable. Hookah tables are at one corner. They only serve hookahs dere nt in the middle. Service is slow. Have to ask for a couple of times for drinks and food. But staff is courteous. Will go again jus for food nt for a nightlife experience.",Rated 3.5,5,114,??
Dolker Bhotia,Rated The good things about this place : 1. The food is extremely tasty and feels it is made with a lot of quality. We had the fried prawns and chicken both were good but the prawns was too good and worth every bite . 2. The freshness of trying out new dishes is good as the cafe is all about experiments with the standard food and drinks. 3. The staff was very customer friendly The only bad thing is that the quantity of the food it quite less .,Rated 4.0,2,2,??
Rosa Bella,"Rated We are on holiday for my birthday + work and came across farzi cafe before we flew in to Delhi. I'm speechless as It's amazing place, had my birthday dinner with my bf. It was lovely and the staffs are friendly and helpful.",Rated 5.0,4,0,??
Dinesh Seamen Bahrani,"Rated Cp Farzi a recently opened place, had the hype surrounded for all the right reasons. Been here god knows how many times and have had almost everything they have to offer Drinks are priced very competively and they have a decent 'Molecular' cocktail menu. Must have for food -- Dilli Pork Belly, All their Appam dishes and a special shoutout to their 5-7 slot of mini tapas menu. Cashew Idlis, Mutton Boti all are great to taste. Do try their Kahlua lollipops!!! Just a little concern most of the times ive been here the food was served luke warm. Even though the service is super fast, some reason the food wasnt very hot. otherwie good job guy, cant wait for Masala Bar!",Rated 4.0,35,150,??
Maninder,"Rated cosy place with nice interiors. limited food menu especially for vegetarians. more than the taste of the food which was good i was stunned by their service standards. super quick service, well trained, smart looking and well informed staff. did not like santa banta drink and especially its quantity. mojito was good and so was red wine sangria. kudos to the service staff. keep it up.",Rated 4.5,2,1,??
Amar Sirohi,"Rated So many good reviews, such a highly rated place, talk of the town since it opened..Farzi cafe..i have thought of a much better experience than what i had today on my first visit here. The ambience is a little rusty but classy. As i walked in alone, i was offered a table for two. A waiter came and took my order. I ordered farzi ok, cheese and mac pakora and milky way big bang desert. The waiter suggested me to try dal chawal arancini in place of cheese n mac pakora. He said..this will be good dude. I said okay..bring it on. I had to ask him for water too as it was not served. Well my meal started with Amuse Bouche which was mishti doi served on black stone platter. Then came my drink, Farzi OK..it was a refreshing cocktail with orange juice and kaffir lime leaves. It was good. I drank it all waiting for the starter to arrive as it took some like 15 minutes. Then came this dal chawal arancini. This is your regular dal chawal in the form of little balls coated with crushed papad and topped with achari papad and mint chatni. Presentation was impressive but it tasted just okay. After finishing it i waited for another 10 minutes for the desert to be served but it never came, so i asked the waiter for it. He came and brought me bill instead of dessert. I again told him in hindi bhai desert lana tha bill nahi. While all this was goin on, i was still waiting for water..irritated. well after another 10 minutes or so the dessert came. I have heard a lot of praise for this item..and really this thing deserve all the praise it is getting. It looked like milky way..with a number of small peices of desserts giving the impression of stars. Then the chef gives it finishing touch right on your table as he put a small strawberry flavoured something in the centre and pour on it some hot liquid which breaks it up (big bang) and in the end poured rabri all over it. Full marks for the presentation and also full marks for its taste. If not for this heavenly dessert i would have rated this place 2.5 . Yeah, finally i was served water, when i was about to finish off the desert. it was their service which really pissed me off..slow..lethargic..not fully attentive..not something one expects at Farzi. Well, overall experience, i am #NotSoFarzified",Rated 3.5,0,0,Expert in Connaught Place
Manas Nagpal,"Rated Excellent food, awesome presentation nice ambience, the only thing lacking in the place is an outdoor seating..... Other wise it's superb !!",Rated 4.5,1,45,??
Rahul Gupta,"Rated Ambience 4.5 Music 4 Food 3.5 Drinks good Service 4 Presentation of dishes 5 Sitting 4.5 TV Screen No (It's not a sports bar.. so y would there be!! :D) Okay, valentine's eve!! And this place has an aura which will enchant your soul. Ambience is supercool. The presentation of food dishes is remarkable. Didn't like Amritsari fish much but BBQ chicken was delicious. Loads of varieties of drinks. Cheers!! Staff is very courteous and you feel treated well. Being a valentine's eve, the music was soft and romantic. Subtle.",Rated 4.5,53,52,??
Anupriya Sharma,"Rated The first impression of the place was great. The staff at the entrance was of great help in getting us a table quickly. The bartenders were really swift and skilled. The presentation of the food was brilliant and extremely innovative specially the candy floss mouth freshner paan in the end. However there were a few things which were a little disappointing - the quantity of the food is extremely less. Each dish that we ordered, came with only three pieces which is really less even if two people are ordering 1 dish. Also, there are not many options to choose from for Vegetarians, I had to settle for the Gupta Burger which was not something that I would like to ask for the next time I visit the place. The service is extremely - extremely slow specially on weekends as the place is fully packed! All in all a good experience..",Rated 3.5,1,64,??
