Username,Review,Rating,Total_reviews,Followers,Expert_level
Riya Sahu,Rated I found the place good with the dcor and the ambience. There were two separate areas for eating and we chose the blue one which had all underwater things decorated on the walls. The starters came one by one and we had the freedom to have unlimited amounts of everything. All the food items like the kebabs and butter chicken were nice and the breads were fluffy and soft. The desserts also had 2-3 varieties of pastries and ice creams and were equally nice. Just found it good for having party here as the prices are a bit much for a regular affair.,Rated 4.0,3,28,??
Vipul Dhawan,"Rated From their facebook ad I come to know about their valentines offer which is 2600 for couple. I am a already visitor of their Gurgaon branch so I have booked the table here in advance. But for my gf its the first time to visit this place. She got amazed with the interiors and decoration they have done. Plus they offered us one valentine's special cake and gift for my gf which was like cherry on a cake for her and me as well as I was not carrying any gift for her. Just missing the open area, the Jungle Jamboree at CP is the same like the one in Gurgaon. I am delighted as I get to visit both the places, though at a long interval, loved it the same way I liked my dining at the Gurgaons JJ. The food was in fact delicious over here and the ambience was cozier and lighter. The food as usual, the bhindi, Dal, starters, desserts, all were the same and equally delectable and all in all both the Jungle Jamborees are good place to visit.",Rated 4.5,19,103,??
Ankit Kalra,"Rated You want to spoil your evening ? Are you really irritated of someone and wish he/she never ask for taking to restaurant again in life ? Do you love to waste your money ? Then this is the right place and you are having bunch of people (Staff), who'll really help you to make this possible. I opted to try this place on Valentine Day and trust me, this was the biggest mistake of my life. They are providing you the Online and Phone booking service, but somehow, they are not capturing names in their list(s). You will have to struggle and then they will say sorry now we will make your entry and you will get another appointment of 1 Hr later. There were several Guests complaining about the same story and for every thing, they were having only one excuse, ""Sir Its too crowdy today, so mistake can happen"". So somehow we managed to get our booking after 45 mins - 1 Hr ahead of schedule. So MIS-MANAGEMENT is noticed. The other shock was, they were charging for the Buffet while entering to the restaurant. So, somehow, the concept of a Club / Disco Theque was copied, which is (as per my personal opinion), NOT AN IMPRESSIVE APPROACH, in case of restaurant. Also it was a package of Rs 2599 and they are punching Rs 2600 even when charging from Card machine. Its not about a rupee but if you are charging from Card, then you can punch the exact amount. Morever, you are not getting any bill for this. Let's talk about AMBIANCE, which was the main reason, pulled me up to visit this place. It was so so kind of ambiance, with lack of cleaning. They tried making it a Jungle feel, but unfortunately not completely able to do it. TABLES were dirty and Grill Lid will remained open, till the time the guy grabbed a Grill for us, which took approx 15 mins. At the same time we were given Water Glasses (Unlike other Restaurant, they didn't even asked which Water I'll prefer). The shocking part was, i found that my Glass is but not cleaned. When I looked carefully, it was LIPSTICK ON THE WATER GLASS edge, that means it was not washed properly. When i complaint about it, then they came with aplogise face and changed our glasses and water. Moving into the Order, I was surprised, that they just need to ask that will I take Veg or Non Veg and One Drink name, so they came with a Notepad and started writing the details. Not sure if they can't even remember this. The Served STARTERS and SNACKS were fine in taste. Started with a Golgappe, Galoti Kabab, Sweet Corn, Paneer Tikka, Mushroom, Salsa Potato, Soya Chaap etc were good in taste. However, when we had this once, in spite of bringing and repeating, they came and ask ""Sir do you need anything more to be repeated"". As per me, the approach would be that they should come with couple of items at least twice and then ask this. The MAIN COURSE was so so in taste. Very Very limited options of SALADS in comparison to other BBQ places. They were having both Veg and Non Veg salads placed together, without any note mentioned. Overall, a Worse ever Valentine Dinner I had and special thanks to this place. I feel that my money is wasted. Readers, please go to any other BBQ Restaurant. If you'r not getting availablity, have a Dinner at any Dhaba but avoid this place.",Rated 1.0,144,161,??
Neelesh Verma,Rated The ambience was okay but the food was the worst thing in this restraunt. We ate half cooked chowmien plus the starters were cold as heck! Disappointed :(,Rated 1.0,1,22,??
Sawan Chalise,"Rated Jungle Jamboree - A delightful place..... This is my 100th review on Zomato and I wanted it to be very special. I chose the day of Valentines Day to mark my 100th restaurant and I am happy that all had gone as planned. Here, I will not be giving just an ordinary review but will elaborate my entire experience. After frantically going through all the possible places to celebrate our Valentines Day, I settled with Jungle Jamboore as they seemed to be the only restaurant that had Valentines celebrations going on through out the day. Most of the others had only Dinner options. The place was overbooked which was a sign that the place does have a special place in CP. After a bit of waiting, we were taken to the first floor and directed towards our seats. We would have never got such a seating arrangement anywhere else. Cozy corner seats at the jungle area that accommodates 4 tables in all. Special thanks for the seats. After settling, we were given the special heart shaped cake and this brought smiles on our faces. We were already expecting it as it was part of the deal but still the cake was lovely. Two glasses of drinks were served as per our preference. Within seconds, the starters began to pour but we got busy cutting our Valentines Day cake. After cake cutting it was time to concentrate on the food. Nachos, Fruit salad, mini kachodi, fish fry, Spicey corn and many other items later, the barbeque was set. Another set of Veg and Non-vegetarian starters were set on the coal and after minutes we had them on our plate. And we were already full. After relaxing for a moment, we went to the buffet area and had our meal. By the time we picked up our mains, the staff enquired about our choice of bread. We ordered for lacchha Paranthas. By the time we reached our table with the mains, the lacchhaa Paranthas were already on the table. Well done guys. After the heavy attack of food, we went for the desserts. And then we were famished. Before we could complete our food, they presented the girl with a special gift which was pretty beautiful. A glass rose. Thanks Again Guys. Jungle Jamboore has a wonderful ambience with a huge area dedicated to the jungle theme and another area for the aqua theme. I was happy that we had been at the Jungle Theme and I felt we had got the best seating. The place is completely green on one end and beautifully blue at the aqua area. The place is decorated with life sized structures of animals and mammals all over. The food is perfect and mind you, having a seven course meal is no child's play. Most of the items did meet our expectations and obviously some didn't but that's the joy of eating a seven course meal. You should not love everything. The buffet was laid in a tempting manner and the mutton rogen josh was an amazing delicacy. The Kurkure Bhindi however disappointed me a bit and turned out to be too oily. Overall food was great with very less to complain. The staff looked tired but did their best to keep us satisfied. They did succeed entirely in our case but I see that not all customers were happy with them. The staff needs to tighten their laces here. With 2600 as their fixed amount for a couple, with an elaborate seven course meal accompanied by cake and gift, I felt Jungle Jamboore was one of my best spent 2 hours. Minusing 0.5 for service and value for money for obvious reasons. Food - 4.5/5 Service - 4/5 Ambience - 4.5/5 Value for money - 4/5 Overall - 4.5/5 Cost for two - 1500 on normal days. Nearest Metro - Rajeev Chowk (Gate number 7-8) Note - Jungle Jamboore is an enjoyable experience and must visit under every circumstance. The ambience based on the jungle theme is not everyone's cup of tea. The place has repeat value as one cannot cover everything on a single visit. Will definitely visit soon again. Thank You Jungle Jamboore for such a memorable experience and for making our Valentines Day special. Thanks a ton.",Rated 4.5,0,0,Expert in Connaught Place
Akanksha Shri,"Rated For the ambience, I would want to give it full marks. They have tried their level best to entertain the customers in the best possible ways. If you get your kids along here, they have got a separate kids section to facilitate them as well. For the food, Id say some of the items really exceeded my expectations, like I never had such tasty grilled fish before and virgin mojito was also quite unique in here. There were also several items that surprised me, positively, like the Paan Ice Cream. I had it here for the first time and really loved it",Rated 4.5,4,42,??
Abhimanyu Bhasin,"Rated Hi I am a regular customer of Jungle Jamboree Gurgaon, I did a mistake on going on 14 feb 2016 yesterday for the first time to there new CP branch. The worst experience after booking a table hours back and having my name on the list for 9:00 pm I got the table at 10:10 pm where in people coming after me were allowed to go. after that for the first time I saw a restaurant charging your card first for the buffet. It was a valentine's Special Package with 7 course meal and a gift for the lady, cake and 2 glass of wine. 7 Course I will tell you what I got 1) fruits 2) filled golgappa 3) chicken tikka 4) chicken wings 5) 2 types of fish 6) lemon tikka 7) took food after that When asked the waiter what are there in veg as we took nonveg buffet for the first time I heard him saying you can not get a veg stater if you have taken a nonveg. Boss I must tell you Jungle Jamboree Gurgaon 7 course meal is what we call 7 course meal. The Service was so bad that they never came to table after serving above 6 items to repeat. We were asking like beggers to repeat. Cake was asked 5 times, finally I shouted badly on floor to get the glass of wine and what to tell you about the gift when was opened reaching home the crystal flower stick was broken already packed and rapped in a box. The manager on floor were donkeys wearing a blazer as whoever shout will get the service. After eating Food we got to know they have pizza and Nachos also in starters as our next table were served with the same. When we talk about the food in buffet it was like we have come to a marriage and the dinner is finished, ice cream was melted(Pan), Brownie was finished, Curd was finished and look at the staff they were not bothered to refill it cause they were busy chatting to each other and ignoring the customers. This was the worst experience and I spoiled my and my spouse day by visiting here. I promise this was my and my friend family last visit to Jungle Jamboree either Delhi or Gurgaon, I will make sure no one known to me visit you guys ever.",Rated 1.0,2,1,??
Amardeep Sethi,"Rated Went there on Valentine's Day It just an other restaurant with live grill The taste is just ordinary Waiters look lost and have to be called again n again for same thing Ambience is a mere disappointment, I thought it will have some exciting things for kids but as I said it was a disappointment",Rated 3.5,49,35,??
Amita Singh,"Rated I liked in here whatever I got to experience. Usually we go to a place, have food and comes back. But here it was different, the interiors made it different. I was with my cousins kids and they immediately went in the kids section and it gave us adults ample time to have a good talk over food. Otherwise it becomes too problematic to manage kids with food. There were no flaws in any of the dishes we had here and loved most of them. Only the mutter tikki and kebabs were a little average but the other items like dimsums, corn, nachos, noodles, curry, raj kachori and what not; all were amazing. A Big thumbs up to Jungle Jamboree..",Rated 4.5,18,86,??
Akshayd28,Rated Food ambience everything is nice but pathetic service I ended my main course but breads are still not served plates are still on the table but no one has came to pick it up no tidiness for table as well we all wasn't having table tissue,Rated 1.5,1,0,??
