Username,Review,Rating,Total_reviews,Followers,Expert_level
Ajay Singh,"Rated One of the better My Bars. This place is pretty chick and not at all looks like a modal shop like a few other my bars. The place is really big, the seating is great. The island bar in the middle adds to the ambiance. The band playing live music was really good, these guys went on for hours without ever taking a break. Four of us went on a wednesday night and it was really packed. Finding a seat was not a problem though, the usher at the gate himself found us a seat, but the waiter kept on saying that we had taken an area meant for 6. I literally had to shout and scold him that we dint take the seat it was offered by his own guy. Really annoying. But thankfully things only went uphill from there.The service was surprisingly a mile better than what we are used to at My Bars. The food is way better as well.We ordered White sauce pasta, chilly chicken and chicken lollypops. The portions are decent. The pasta was better than average but short on seasonings, the chilly chicken was the best of the lot, The chicken lollypops were bad . Crispy alll right, but too dry and devoid of any flavours. The coating of batter was really thick. The beers were chilled. The cocktails were bad and way overpriced. We ordered chak de phatty and it was really bad. The place isnt very expensive, if you stick to beers you should be good for you. All in all , if you like a vibrant young ambiance go for it. This place is loud!",Rated 3.5,0,0,Expert in Connaught Place
Soyab Malik,Rated It's very crowdy and pathetic place. I did visit there I took group on packages. I was with my friends firstly they gave us all the drink together I said I will take one by one they said directly you will have to take together. I did request for d j they charged me 2000bucks extra it's a very big amount. It's very pathetic place.,Rated 1.0,2,3,??
Aanchal Bhasin,Rated Awesome Island bar..the place is just massive..terrace sitting in winter with the view of cp is something you just can't miss..food is just great and finger licking..ordered mediterrian pizza and dahi kebab..both were fresh and appetising! Ordered their Signature drink-MyBar Fresher..thumbs up to dat! Very affordable with a reasonable bill. Talking about the music..went on tuesday..they had great band ft. Perculssionist Vikki Mitta performing on bollywood tracks..house was full wid decent crowd..good hospitality! Overall the place is a must visit with friends!,Rated 4.5,2,31,??
Shubham Arora,Rated With amazing ambience and delicious food. This place is a must visit. The ambience over there sets up the mood. It is a place worth trying .,Rated 4.5,2,39,??
Aadi,"Rated As compared to other my bar branches, i must say that this my bar is far more better. The songs played are awesome. The place was crowded may b because it was a Sunday. The only problem i faced ws the delay in food and drinks. The waiters were so occupied that they almost forgot the order. The ratings i gave are because of the ambience. I liked the bar area.",Rated 3.5,16,12,??
Sahil Bansal,Rated Had been here 3 to 4 Times and every time was a different experience. It was great overall. the food and sheesha was good and worth. Price are reasonable. Just one point to improve on is the service should be improved. You to wait for long then the waiter comes. Overall recommended.,Rated 3.5,3,7,??
Pulkit Manchanda,"Rated Date of visit : 30th Jan 2016 So we started with some bira and orders French fries....... We had to return the fries as they were not good.... After 20mins they replaces the fries. The food was fine, the drinks where good. The bar tender dint know how to make good cocktails though, and they end up charging us soo much for the cocktails we asked them to make. It's a huge place with different sittings and all. So when we went in the evening the lighting was different, as it became night, the lights were dimmed and the ambiance changed. The staff is not good, the service is very poor. It's not cheap, for 5 ppl our bill was 12,000, and 2 out 5 don't even drink. Over all its an okay place to go...better than the other my bars in the neighborhood.",Rated 3.5,42,212,??
Aditya Sachdeva,"Rated You may have heard all the stories about my bar being a clich and a shady place? Well, My bar Headquarters defies them all. If you're in a mood for some drinks but not in a mood to spend a lot, then My Bar is the place to be. The food is satisfactory too. The ambience is like that of any other cafe you would see in the area.",Rated 4.5,4,38,??
Saloni Gupta,"Rated This place is never disappointing! From the music to the food to the drinks, everything is really amazing according to the price! The Pizza with a thin crunchy base and the huge Ak47 hukkah were the highlights!",Rated 4.5,0,38,??
Madhur Khatore,"Rated My Bar Headquarters is a great place with amazing ambience, live band performance, noisy fun crowd, et al. The food is good and so is the music. But there is one thing which really murders the experience here and that is the rude and arrogant way in which the waiters treat the customers. They don't smile or say even a single polite word! I asked for a glass of water, it was a little sticky so we asked our waiter to change it. Two mins later he comes back to our table, puts down or rather bangs down a tray with a bottle of water, glasses and a tub of ice, leaves the stuff on our table and walks away. That is not the type of behavior expected from someone who gives a damn about their customers! thefoodiebattle.wordpress.com",Rated 2.5,61,55,??
