Username,Review,Rating,Total_reviews,Followers,Expert_level
Shady Rohit Jha,Rated wow this place is really awesome. i have tried big chill as well but im satisified with the quality and quantity of thr chicken served by nandos. thier service is also good we ordered two different meals under try something new. and it was really impressive..,Rated 4.0,11,30,??
Ginni Kaur,"Rated My 1st visit to their Connaught place. have tried the butterfly chicken and the chicken ceasar wrap.. The wrap was absolutely delicious!. The taste is great, service is good.",Rated 4.0,5,0,??
Samrat Chakravorty,"Rated Wonderful place with good ambience and great food. While waiting for friends to join i started with half flame grilled peri peri chicken and a glass of draught beer. Was delighted to see by half chicken they literally meant one half of a whole bird. It was quite a feast. The chicken extremely tender and well grilled. As friends began to join we soon moved from glasses to pitchers with sides of fries. I wanted to try the Portuguese style espetada carnival, tender chicken thighs grilled and served with capsicas and onions on a skewer hanging downwards. The preparation was amazing and portions again quite good. Only complaint we had was, that even though we tried the hot/extra hot preparation and sauce, it did not feel spicy at all. And its not just one man opinion, generally every one at the table felt so. So it would be really wonderful if you guys can actually turn the heat on a bit when someone especially asks for food to be extra hot. Particularly enjoyed the music too. Though i could not make out the tracks, but it was adding a wonderful african tribal beats to the ambience. Had a wonderful evening and would love to come back again.",Rated 4.0,0,0,Expert in Connaught Place
Foodie,Rated So it's Valentine day. My first love and last love is food been there again. Love this place nicest simplest non-veg cuisine. Peri peri sausage will really hit your taste bud. Value for money. Love wedges too. Don't have GF go to Nando's. You ll surely come out of gate with a smile on your face. My experience its free take it,Rated 4.0,0,0,Expert in Connaught Place
Jasmeet Kaur Kang,Rated My first experience with non vegetarian food that turned out to be pretty awesome! A perfect ambience with the blend of African music that gives you a really good vibe! Food tasted good! Quantity was perfect.. The addition of Peri peri sauce adds up to the taste! Definitely a good place to hang out with friends! Thumbs up!!!,Rated 3.5,7,4,??
Madhur Khatore,Rated A friend went on raving about this place and dragged us here one night. Amazing ambience. Spacious place. We went for take away. The quantity is great and the food is just yummy! thefoodiebattle.wordpress.com,Rated 3.5,61,55,??
Saurabh Gupta,"Rated It serves one of the best offbeat cusines... I love the classic peri peri chicken, and the different flavor of sauces will spoil you for choice... The place has only one issue, the taste is the same for most of the dishes, so if you might get bored of the place in just a few visits... But a must have for all the chicken lovers....",Rated 4.0,11,11,??
Praneet Singh,"Rated Well I had heard a lot about the Nando's peri peri grilled chicken but didn't get a chance to visit the outlet since very long, though I'm a big foodie and NV lover. The place is well made and you see the live big grill on which they make you the 'ever-so-famous' peri peri chicken. The peri peri chicken were huge(full leg I.e leg + thigh) pieces of perfectly grilled and tender till the bone. The chicken was well prepared and just the right amount of spices and juicy till the end. Well a hot n sweet dip/sauce would have up'd the experience. No complaints, a must try and visit place.",Rated 4.0,2,1,??
Meghna Jha,Rated Well .. If you are a non veg lover .. This is exactly the place where you should be and have loads of Peri peri chicken . All the dishes we ordered were too good . Felt all full just after half chicken . Planning to visit there soon .,Rated 3.5,34,116,??
Gurinder Pal Singh,Rated My 1st visit to their Connaught place outlet ambience is little dull as compared to vasnt kunj / Gurgaon food is as usual goodgood service our order was served hot and on time. It was delicious this is what made me dine at Nandos every time saadidilli.com,Rated 4.0,35,5335,??
Arnav Das,Rated So I went here a few days back - Sunday early evening at around 7:30PM. Ambience - keeping with regular Nandos interiors. Wooden feel. Though I think upstairs is a little cramped (not as spread out as their VK outlet) The food is pretty standardized - nothing out of the world but exactly what you expect from Nandos. What I love about Nandos as compared to similar eateries is that they let you try all the sauces regardless of what you order. I am not a spicy food lover and hence I ordered the lemon and herb spice level (which is basically no chilli at all!) and tried the other sauces seperately with my dish. The bottomless Coke is a good concept; wish it was there in more such places. And so are their corn-on-cob and coleslaw which help to moderate the spice and oil. Next up I want to try their skewers - observed nearby tables being served and it looked really good! Budget is reasonable; well within expectations.,Rated 4.0,9,3,??
Simran Kaur Arora,"Rated Nando's is sucha cool place to be! It's buzzing with people ( We had to wait for about 5 minutes for a table) ,with some energetic African music playing, and a lively ambience. Spread over the ground and first floor, it has got comfy seating options. We ordered a FULL PLATTER, that included one whole PERI PERI CHICKEN, with PERI CHIPS ( the usual fries), GARLIC BREAD and COLESLAW as sides. The chicken was tender and had the perfect blend of flavours. It was absolutely filling, and can be shared by around 3 persons. Also the BOTTOMLESS Soft Drinks! The staff and service were great as well. I am definitely going back for more!",Rated 5.0,10,32,??
Faisal Saiyed,"Rated Finally visited the place in India..had ordered peri peri chicken (Mild).the skin and the spice level of peri peri was perfect but it was a bit dry and chewy inside. The espetada was soft,juicy and yummilicious. The ambience is at par to all Nando's outlets in the middle east.The staff was decent. The best part of this place is the special unique sauce in the fancy bottle Overall a brilliant experience and would visit the place again really soon",Rated 4.0,27,151,??
Pritha Majumdar,Rated Have been to Nando's a couple of times now... Great place obviously if one loves chicken :) have tried the butterfly chicken and the chicken ceasar wrap.. The wrap was absolutely delicious!,Rated 3.5,159,260,??
Vaishali,"Rated Visited this outlet for the first time and their service is as good as always... We ordered Rosa fresca, refreshermint and citrus bliss..must say the designer drinks were amazing... We had the peri peri chicken which was quite good though I was highly disappointed with paneer wrap and veg espetada... And the worst part of the meal was garlic bread... As much as I enjoyed the chicken and drinks, the rest of the meal was a let down... Service: 3.5/5 Food: 3/5 Ambience: 2.5/5",Rated 3.0,24,26,??
Malapaka Srikanth Sharma,"Rated Wanted to try out this place for a long time now, finally landed there last weekend. Decor is simple and nice, seating is good. The view is great. They play this unique (probably African) music, which was kinda good. The paintings on the wall are pretty good. Ordered hummus with peri-peri sauce, roasted veggie wrap with three bean salad, a citrus blast and a carrot cake. hummus with peri-peri sauce is all the more good because of the peri-peri sauce. three bean salad is okayish. roasted veggie wrap was good. Their designer drink and dessert were absolutely out of the world. Top class stuff there. Waiters were fairly helpful, but could have been a wee-bit more attentive. They have this special signature dish on the menu called 'halla bowl', they keep shouting the name of the dish whenever someone orders it or something, that was good!! Must visit, definitely recommended!!",Rated 4.0,55,390,??
