Username,Review,Rating,Total_reviews,Followers,Expert_level
Suhail Arora,"A good pocket friendly chinese or thai restaurant in CP. We ordered crispy chili potato and a combo of thai redcurry with rice. Chili potato was good and curry rice were awesome. We ordered DARSAN as a dessert, which was more like Indian version of jalebi with vanilla ice cream but it was good. Mint Mojito were also good. It will be great if they can make the place a bit more with lights which can make the place more ambient.",3.5,44,56,??
Shikha, This sagar ratna is very old restaurant serving delicious dahi vada & scrumptious south Indian food. This place is loosing its charm due to poor service & dull ambiance. Average place to visit., 2.5,0,0,Expert in Connaught Place
Ashish Sarma," The sofas are torn... Not well maintained. We took one couch that looked OK.. But then were asked to vacate it since it was reserved - even though there was no sign placed on the table that indicated reservation. The waiter's attitude was below the standards of a supposedly good restaurant chain. The food is overpriced for the quality and quantity... There is a minimum standard of presentation that is expected but was not there. Overall an avoidable experience, specially the CP outlet... I have heard the other outlets are good and hence was hugely disappointed coming to this one.", 1.0,1,0,??
Jadav Singh,"The service was pathetic but the food was good.The Masala Dosa was awesome.The ambience was average."3.5,8,7,??
Willie Ahuja, Reminded me of good old taste of bengaluru sambhar. Rest food was average. Long waiting queue. Think twice as may not worth waiting for so long. Will visit again if short of options., 3.0,8,3,??
Deepak Hooda," Good food - ordered thali which included everything we wanted yummy paneer, rice, aalo beans, raita, daal makhni, salad, delivery was also pretty fast", 5.0,1,5,??
Rakesh Shah, It is obvious that these guys take their commitment to delivering a good experience to their customers seriously. I will be giving them return business.The ambiance of Clay Pit is very good and would recommend trying them out!, 4.0,3,57,??
Judith J Scenario, I go here about once every two months. Their food is of consistent quality and service is friendly and swift. I usually have the coconut dosa which is awesome., 3.5,46,29,??
Mukesh Chugh," Hopeless, pathetic, horrible... There was no taste in anything. Their quality has detoriated badly. Decided from now onwards big no to Sagar Ratna.", 1.0,2,13,??
Daksh Soni, Its USP is its ambience. The place is so much neat and clean. A total treat for the eyes and for the health as well. The Rawa Masala Dosa was sumptuous and the Rawa Idli was also tasty. The Coffee here was very different from other places. Everything from service to food to each and everything was just spectacular., 4.5,20,230,??
Ankush Virmani, Though not to say about southiieee its unmatchable but the thing disappointing me is the biryani ..... Not good in taste Coconut chatni is delicious, 4.0,24,13,??
Sumit Juneja Ghai," Yummy food ... Quick good service ... Masla Dosa , Vada dipped in sambar , Idli and ofcourse South Indian Thali a must try .... Ambience is good.", 4.0,12,22,??
