Username,Review,Rating,Total_reviews,Followers,Expert_level
Nishant Tyagi,"Rated So we went there, ordered few items which were very costly Then in the bill which i didnt see there they have charged 190 rupees for 2 bottles of WATER on 17 feb and where on earth do u find such costly water which was a normal bottle by the way",Rated 1.0,1,1,??
The Burping Soul,"Rated Punjabi by nature is in the F block of the circle beside several other popular eating joints yet it doesn't miss the mark. The interiors are cozy and beautiful with a wall fountain flowing giving the place a high end look. Full during the lunch hours it offers a wide variety of Indian-(Punjabi to be specific)food.You have an option for Thalis as well, which includes a snack, dal, sabzi, rice, salad, raita, gulab jamun and a piece of bread-enough for a single person.When not in a mood of thali one can choose from the exquisite variety of menu, from chole bhatures to Mughlai chicken all are delicious and upto the mark. Not overpriced in comparison to other restaurants in Connaught Place, The price is justified with the taste they offer. It is a good place to go when you don't feel like sitting in a cafe or searching for a place in CP.",Rated 3.5,3,0,??
Balli Jatt Arya,Rated Very nice food. Fghgfffddggyuikjjggfhudgyzgzhxjffixhxucjzgxjch xhxhxgzfsgfugigigjdgzgfhxgchxgshfudh gcjcjjxhdhzfshfjfgzhxjggfigfyxhcvl xhxxhzxhzfjxfufdufjfhzgzhxhxh,Rated 5.0,11,2,??
Amitesh Singh,"Rated Been here twice. The service is good, ambience even better. However, the vital element element, i.e. taste of food, is where it lags behind as compared to other restaurants in this price range.",Rated 3.5,6,81,??
Prateek Sharma,"Rated Punjabi By Nature began its culinary journey in Noida around 15 years back but for several years it's most famous outlet was the one in City Square Mall in Rajouri Garden. Later, outlets came up in Vasant Kunj, Vasant Vihar, Gurgaon and Connaught place. This one is not a full- fledged Express PBN restaurant. It's a smaller version which justifies the title Quickie. Ambience- 3.5/5 It's a well lit restaurant with very simple interiors and comfortable seating. As compared to it's other lavish counterparts, this one is smaller in size but can easily accomodate more than 10 groups at a time. I had a little chat with one of the staff members as i was curious to know the reason why PBN decided to come up with a smaller version of their legendary food chain in that part of the city where it would do brisk business and i got to know that this was established keeping in mind the corporate culture of CP. Since corporates have time limitations so everything has been toned down from prices to the time taken in delivery and service. Menu- 5/5 They have done total justice to the concept of this place. Without creating a mess, they have kept the menu short and crisp. Many Appetizers and Main Course dishes that are part of their menu in other outlets are not served here. PBN is known for their brutally expensive rates and large portions but this one is an exception The prices are almost half of every dish served here alongwith the portions. Food- 4/5 They serve lip smacking North Indian Appetizers and Main Course dishes, Chaat delicacies like Sevpuri, Paani puri etc which are every Delhiite's delight, Kebabs, breakfast snacks like Cholle bhature, Paav Bhaaji etc and even Burgers and Pizzas. We tried few items. will be given to DESI HABSHI'S most loved items. 1. Sev Puri- Little Gol Gappas stuffed with Curd, tangy chutneys, finely chopped veggies and topped with bhujia namkeen and pomegranate seeds. 2. Dhai bhalle Paapdi - Another Chaat item which was presented beautifully. It's hard to expect authentic taste of these items at a fine dining restaurant but PBN exceeded our expectations. 3. Veg Kabab Platter- I would highly recommend this as it can be a proper meal for one instead of going for the regular thaalis (deluxe etc). It comprised of two pieces each of Tandoori Paneer tikka, Stuffed Aalo, Dahi ke kababs and one bowl Dal makhani with a portion of Butter Naan. I have never had any main course item in a platter anywhere else. Tandoori Aaloo were delicious. Stuffed with Paneer, they were the highlights of this platter. Dahi kababs were stuffed with very sweet yogurt which didn't please our taste buds. Paneer Tikka was good but not exceptional. 4. Non-Veg Kebab platter- My fellow foodies had it and loved it to the core. Comprised of 3 Non-veg Appetizers alongwith Dal makhani and a piece of Butter Naan. 5. Murgh Makhani- My foodie friends loved this as well. No complaints. 6. Paneer Tikka Pizza- I am a pizza fanatic. As soon as i saw this on the menu, i couldn't control my urge to order one and it was fabulous. Crispy base topped with loads of Mozerella cheese and Veggies. It was awesome. 7. Paav Bhaaji- This was the only dissappointment that evening. The bhaaji lacked flavours and spices. 8. Sweet lassi Overall, the food was awesome and cooked perfectly in a limited time. Service- 5/5 The captions were very prompt. Just loved the way they were attending the customers. It is one area that really pushes me to give brownie points. It's a nice fine dining option for those running out of time. Try it at least once.",Rated 4.0,0,0,Expert in Connaught Place
Anchal Saxena,Rated Nice place to visit wid friends and family ....nice food ....best one to try and go for is express thali 1....peshawri kebabs were too good nd so mutton curry. They can improve their service delivery time as service is very slow. Nice ambiance..... Good place to go.,Rated 4.0,0,65,??
Shakti Nayan,"Rated I don't know if anyone has actively mentioned this as a 'budget restaurant"" but well I'm ready to throw in the exception. Bit of a relief for poverty stricken college guys who skip an outlet because of the location and ""cost for two"". I ordered some starter consisting of veg kebabs, dahi kebabs and galouti. Also, I ordered 2 express thali one for veg and non veg. for some reason the food is deliciously stomach filling and makes you feel full and it is a challenge to reach food in every corner of the plate. As for the taste, the food is fresh and richly flavored. Right balance of salt and sugar I would say. The staff is very responsive! kudos to the ambiance! The bill was just Rs.1078 for lots of stuff in a thali! They also offer street food which is a plus 1! Would love to visit this place soon :)",Rated 4.0,28,166,??
Sharad Mohindroo,"Rated Great food, good ambience and courteous staff. Nice place to have mouth watering Punjabi Dishes. Express thalis are quickly served with good portion size. Galouti kebab are soft and melts in mouth. Mutton is juicy and full of flavours. Don't forget to order Dahi Kebab as your meal would be incomplete without it..",Rated 4.0,16,4,??
Karan Joshi,"Rated Value for money! If you're planning to have a family food gathering, this is the place you should order from in the Connaught place area. 'Dahi kebab and dal makhani'- A must try with Lachedar Parantha. And don't forget to order Murgh Punjabi Masala.... Ooooo yumm yumm!!",Rated 4.5,2,12,??
Sambhav Jain,Rated Value for money place and a family place. Pros- chole bathure and dahi kabab were simply fantastic! Cons- Very less quantity of shake and platter to be precise.,Rated 4.0,14,162,??
Shivang Singh,"Rated We are so blessed to have an office at cp and be able to walk here darn near everyday. I have never tasted anything that is not absolutely full of flavor, delicious, and probably healthy. We have also catered parties from here and have been more than pleased. Highly, highly recommend. Yum.",Rated 4.0,11,109,??
Ankursandu0,Rated This place has taken my heart amazing service by providing right thing at right time. Food is excellent. Dahi ke Kabab and Dal Makhani is a must try. They are not expensive considering quality and quantity. One of the place where you can come and have good food with your family and friends.,Rated 4.0,9,9,??
AdiTya SiNgh,Rated Went there for the first time... experience was good-good...food was quite good...interiors are ok..average sized space wise...u can go there in small groups for relax dinning,Rated 3.5,1,3,??
Praveen Kamra,"Rated Justifies its name .nice staff , good service and a family atmosphere .dahi Ke kebab are the best I ate all over Delhi.. Size of chola bhature massive .:",Rated 4.5,11,11,??
Parthiban,Rated It was my first outing and had a quite good experience.. Even though it was crowdy..had a great food..! Preferred for north Indian food! ...,Rated 4.0,16,8,??
Sj,"Rated Nice experience. We went there for lunch. Ordered two Express thalis (number 5 and 7). The quantity was more than enough for each one of us. Dal makhani was good. As well as the raita. Paneer tikka was disappointing. Service - extremely fast Ambience - clean, comfortable Overall - good experience",Rated 3.5,2,1,??
Tanya Jassal,Rated Its a nice place for enjoying some good north indian food with a twist. The food was delicious and nicely presented. And the staff was nice and humble as well.,Rated 5.0,7,56,??
Abhishek Kumar,Rated Being around the corner every time in cp almost every weekend. Seems like how I missed this place. Explorer of all different bars and restaurants came in at this place with office buddies. If you looking for an authentic taste of food there is it . Must visit loved the gulab jamun starters and mutton are awesome.,Rated 4.0,26,60,??
Arushi Agarwal,Rated Awesome place for a family dinner !! Servings are hot and the service is actually quick without really compromising on the quality and quantity of food ordered. Keep the taste buds rolling,Rated 4.5,55,70,??
Sameer Poddar,"Rated The outlet is well located in CP. The decor is nice. To start with, we ordered Veg platter. It took them about 30 mins to bring that. Despite the wait, It was only average . Kababs were fine, dal and naan were good, but surprised that chutney given along was stale and smelling and had to ask them to change. For main course ordered dal makhani, Lahori Paneer and Chole bhature. Though the main dishes were fine, chole bhature were very disappointing. Overall average experience.",Rated 2.5,6,0,??
Yatharth Narang,Rated An appropriate place for family dining . Typical north Indian style food and prices are reasonable for the place it is located at and ambiance .,Rated 3.5,46,182,??
Kanchan Kapor,"Rated Nicely done place in cannaught place, offering good north indian food with reasonable prices. Nice ambience and worth going! One of the place where you can come and have good food with your family and friends.",Rated 4.0,11,18,??
Divya Chauhan,"Rated As the name suggest it is for punjabi food lovers Went wid my family on my parents anniversary for a dinner, it was quite full so v had to wait a lil.pretty decent staff Coming to d food ,i loved dahi k kebabpaneer butter masala nd the butter naan . Good value for money Cheers",Rated 4.0,8,9,??
Girija Suri,"Rated We ordered Dahi Ke Kabab, Non Veg Galauti Kabab and Tandoori Paneer Tikka for starters. For the main course, we tried Dal Makhani, Lahori Paneer Masala (basially Karahi Paneer as the staff explained us) and Pindi Cholle. With a place offering a very limited menu as this one, one usually expects each dish to be bang on. However, we were left wanting for that extra punch in each of the dishes and none of them could actually cut the mark. Lahori Paneer was tasty but more on the sweeter side and hence not that authentic for a karahi paneer dish. Pindi Cholle were the best of the lot and i do feel their Cholle Bhature are a must try (they serve a family size fluffy bhatura which looks extremely yummy). Dahi ke Kabab was dripping with dahi and i suppose one would not really want to be getting too literal with the names of the dishes. Paneer tikka was average. Non veg galauti kabab was quite satisfying. It has a nice ambiance for family dinners though!",Rated 3.5,25,56,??
Gurneet Kaur,"Rated I have been a regular customer at the Punjabi by Nature outlets for their delicious Punjabi food and vodka golgappe. When PBN opened its outlet vin F block CP, I wasn't sure of the word 'quickie' attached to its name and the changes it'll bring. Well. The food is priced cheaper and the menu has a variety of quick meals making your job easier. The menu includes ala carte but also these thalis covering a variety of dishes from the menu. We were here for a really quick dinner and enjoyed most of what was served to us. We ordered the veg kebab platter which was more than enough for one. So order accordingly. The dal Makhani was delicious along with the the naan. Also on the platter was paneer tikka which was seasoned well, the tandoori aloo were my favorite on the platter. The dahi k kebab were prepared very well but the dahi was too sour for my liking. This meal costed us 245 rupees only so yes value for money is 5/5. The service was super quick. I wish the staff was a little friendly. Being the peak Time, they were in a hurry to make us eat and leave. Twice they came to clear out plates while we were still eating. Not cool! You will see people of all age groups enjoying a meal here but be ready to wait for a table during dinner time.",Rated 4.0,0,0,Expert in Connaught Place
Lokesh Dagar,Rated Punjabi by nature is good place to have north Indian yummy food.. Service is also good. Food also worth it. Dining area is also good Will visit soon. :),Rated 4.0,6,0,??
Richa Maru,"Rated Was here for 31st dinner with a bunch of friends. Ambience is good. Food just average. The only positive is the quick service and reasonable prices. Oh, and also the presentation of food! Commendable.",Rated 3.5,67,79,??
Kanwar Anand,"Rated The seats are awkwardly close, the waiters touch your arm when serving cause its so compact, the cutlery is of poor quality and the tables are below ordinary. This is more of a dhaba than a full fledged establishment and the service is one reason I say so. To add to this, the place was ridiculously warm when I went 2 months back and despite me asking them to switch the AC on, nothing at all happened. You see, there are places where if you make a suggestion, it is perhaps heard and received and then there are places where the service staff makes you feel like, you're doomed buddy, we are not the kind of staff to listen, it is a bit too advanced for us. This belongs to the category of restaurants that will end up ruining your evening especially if you decide to come here in numbers. Do yourself a favour and go anywhere else. The food was hapless to add. I ordered butter chicken and some paneer, it was quite bad. Barely edible so I ate just one half of a naan, went to some other place and ordered a drink. I needed one after the poor quality and outdated treatment at this particular Punjabi By Nature. We all love Indian food but the service should also be excellent or at least bearable. Why go all the way to CP to visit this branch? I will give just 2 stars because it deserves nothing more. How many were we? About 18 including kids (on a separate table)",Rated 2.0,129,365,??
Barkha Handa,Rated Quickie doesnt mean its a kiosk. It is a full-fledged restaurant with good seating area available. It was quite late for our dinner and still this place was handsomely crowded. We ordered butter chicken which my husband loved badly but I found it just okay and the butter naans were good and soft. The Dal makhani was the center of attraction. It was properly spiced up and I ate it like completely. It also has a well-organized service which impressed me greatly. So I would definitely recommend this place to all my foodie friends.,Rated 4.0,19,52,??
