Username,Review,Rating,Total_reviews,Followers,Expert_level
DIVYAA UPADHYAY,"Rated I am a die hard fan of south indian food, and would recommend this place as must visit for every dosa lover. The crispy rawa masala dosa when served with mouthwatering nariyal chutney and delicious sambhar is the yummiest south indian cuisine i have ever tried at ny place. Would recommend this to every one who loves southindian cuisines. Ambience: 3/5, Servive:4/5 Food: 4.5/5, Price: 5/5.",Rated 4.5,3,2,??
Vivek Sharma,Rated Ambience- 3.5/5 Service-4/5 Food-5/5 If u r a fan of South Indian food then believe me dude this should be the very first place for u to dine in. Awesome food awesome service. Highly recommended.,Rated 4.5,3,1,??
Drishti Ohri,"Rated Gone are the days when this place was just for dosas... With changing time, it has emerged out as an equally amazing place for tamilian curries, desi drinks like the buttermilk and super yummy onion ravan masala dosa... For everyone out there, the showstopper is a plate of mini idly with ghee topped on it.",Rated 4.5,2,37,??
Gunjan Rathi,Rated This is my favourite south indian food restaurant. They have amazing dosas and their chutneys. I like the way they make their sambhar. It has the perfect tangy flavour.,Rated 4.5,22,10,??
Jaswal.chandni,"Rated Excellent South Indian food, best in it's class probably. Though it is always crowded, reserving a place in advance would be a better option if possible.",Rated 4.5,6,1,??
Nishant Chandra Lal,"Rated A great family place in CP. Once you visit this place it will become you favorite place for South indian food . Easy location . Although you can have to wait for sometime as they are completely occupied if you are visiting on night hours(7-9) on Weekend . But once you will enter you won't regret for waiting .We ordered Rava Masala dosa , Upma and Tamil Nadu Fixed thali . Dosa was very crisp and stuff was filled in good quantity . The chutneys that they were served with were very good in taste too. Every food in thali was very tasty",Rated 4.5,11,25,??
Vanisha Ahuja,Rated Authentic South Indian can definitely be found here. Must go for South Indian lover. The South Indian sweet dish are pretty good. Different from the regular ones,Rated 4.0,2,47,??
Akshat Nain,"Rated Went their with my family. The seating is average and approach a little congested (that is why I deducted .5 from the rating). We ordered the Masala dosa, rava dosa, onion dosa, rava khichdi, rava kesari (it is basically suji halwa with kesar in it) and an ice cream (We had kids with us). The dosas were crisp and had appropriate amount of filling; the onion dosa was specially good. Rava khichdi was the best thing. Suji halwa was not something out of the world, but a good thing to have as a dessert in a cold evening. It was dripping with ghee and had a good consistency (properly cooked). Excellent family place to hangout with. Reasonably priced. A little on the costlier side for this type of cuisine for bachelors and students.",Rated 4.5,21,152,??
Foodholic,Rated So visited this place with my mother because she wanted to visit this places since as long as I remember . we both are really fond of south Indian food and saravana bhavan is a place for people like us. Really nice food my mom loved the upma and the filter coffee. The service was really fast and we were lucky enough to get the seats without waiting :). So if you love South Indian food and even if you don't sarvana bhavan is a must try.,Rated 4.5,9,0,??
Divya Gopakumar,"Rated I want to know who are those people who brought down the rating of such a fine place to 4.4!! These guys deserve a 5 hands down!! I am crazy about their Sambhar Rice. And hey they serve it only till 3.30 pm so you better hurry! And then Ghee Roast Masala- yummmmm!! And wait- did I mention Dahi Vada- oh what taste! Don't keep reading- rush to Saravana. And even if you find a loooong waiting, please wait as it is totally worth it :)",Rated 5.0,45,88,??
Mallika Fatehpuria,Rated I've been wanting to go to this place for the longest time and hence went with a lot of expectations. My friend and I went at 4 pm and were asked to wait for 5 minutes. In those 5 minutes of waiting time no one left the restaurant and we were given the table. I think they like to create the whole waiting for a table aura. We ordered for the ghee paper sada dosa and ghee sada dosa. My friend had also ordered for a filter coffee. When our order came the server mixed it up and we had to figure it out on our own. The filter coffee came after telling the server at least 10 times about it. They were least interested and quite lackadaisical at their work. It was a good experience but wasn't too impressed overall.,Rated 4.0,75,293,??
Abhay Bhatia,Rated Service 5/5 Food quality 4/5 Taste 3.5 /5 Ambience 4/5 Overall experience was ok. Sambhar was delicious but the bad part about it is they serve very limited portion of it. Food taste is ok not very outstanding.,Rated 3.5,7,0,??
Sayantan Ghosh,Rated I Went To Saravana Bhawan...Such A Great Reception By South Indian People...Great Dishes...Very Reasonable Price...Great Ambience...You Get A Perfect Essence Of South India !!,Rated 4.5,5,1,??
Chamankumar29,"Rated Must visiting place in Delhi . I liked the south Indian alot and this place is my favorite place for eating South Indian. Service is great , food is great and specially there dahi vada is my favorite . Dosa are great and have perfect crispness . there coconut chutney is my favorite . over all 4.5/5",Rated 4.5,34,29,??
Harsh Choudhary,Rated I was expecting authentic South Indian food. The food was good but the ambiance was just like an ordinary restaurant and not like an authentic South Indian restaurant.,Rated 3.0,1,17,??
Kunal Maini,"Rated I've been to the place countless times and each and every time I have left the place happy and satisfied. One particular thing I have noticed is that unlike most of the places, every dish is meticulously prepared and equally tasty without any exceptions... surprisingly! The staff is warm, welcoming and knowledgeable. However, you might want to avoid the place on weekends due to the long waiting queue.",Rated 4.5,2,120,??
Ruhi Madan,Rated The best place to have South Indian food. This is on the top my list mostly when I want to eat delicious food for breakfast. Saturday and Sunday heavy waiting but still the wait is totally worth the food. Nice food staff and quick service.,Rated 5.0,6,0,??
Natasha Ahuja,Rated Saravana Bhavan is a perfect place to have south indian food. It is located at the outer circle and is quite easy to locate. Occupying two floor this restaurant is always crowded especially during night time. Dahi Wada is highly recommended at this place. Wada soaked in sweet and fresh dahi with topped with boondhi makes the perfect breakfast. Wada and Idli were good too. The chutneys that they were served with are really good too. Onion Rava Masala and Upma were the best. Upma was quite heavy and also had dry fruits in it. On the whole this is a perfect to have south indian food.,Rated 4.0,31,226,??
Mehak Sapra,"Rated Though i am not too much fond of south indian food, but once went there for breakfast and was mesmerised by their food..we ordered appam, mini idli's, variety of dosa's and everything was good and the filtered coffee they serve is also very refreshing..good place for all the vegan people.",Rated 3.0,38,116,??
Pooja Verma,"Rated One of the famous & best south indian restaurant in Delhi. Prices are reasonable & food is delicious no doubt. Their masala dosa & onion dosa's are best & for the first time I drank filter coffee here, it was perfect.",Rated 5.0,2,2,??
Gaurav Gupta,Rated Ideal for: South Indian authentic-original stuff and sweettooths. Food: 4/5 Ambience: 4/5 Service: 3/5 Cost: 3/5 Overall: 3.5/5 (Overall is the average of above four),Rated 3.5,72,97,??
Reetika Ralhan,"Rated This place tops my list when I wanna treat myself with typical South Indian flavours. The mini idlys are just amazing, topped with ghee. And the dosai are delicious. The service is pretty fast and it's very spacious.",Rated 3.5,25,27,??
Lokesh Lawania,"Rated Visited it long ago and found it really awesome, the delivery was quick,the food tastes better than other and above all they people were hygenic and the value for money was 5/5",Rated 4.5,30,16,??
Chanchal Desai,"Rated A nice experience. The food was really authentic South Indian food............Nice place..Nice Ambience, Great south indian food.Situated in the heart of Delhi i.e Cannaught place...Great place to Visit with your family and friends...........",Rated 4.0,10,13,??
Ankit Jain [~pO~],Rated This is one of the best places for south Indian breakfast. Coffee is a must have. This place is not for service or staff or ambiance. This place is for food. Must try for breakfast.,Rated 3.5,107,140,??
Somya Jain,"Rated The best restaurant for south indian food in North India. I have visited here twice and i loved all their preparations.. Whether it be dosa, uttapam or chutney.. Must visit if you are craving for south indian food.",Rated 4.0,40,30,??
Asit Saha,"Rated Of all the Saravana Bhavans in Delhi, this one is probably the best and the one at Karolbagh the worst. I love their Ghee Pongal which is no less delectable than a risotto. The fragrance of zeera and kali mirch with ghee makes it a mouth-watering delicacy. Ditto for the mini lunch spread which I am unable to finish off ever. Love the masala in the quintessential Masala Dosai ... nice ambience and nice food",Rated 3.5,39,46,??
Aakash Jain,Rated Well naam bade Aur darshan Chote... It was waiting on a weekday so excited to taste it Average taste typical south india food Waiters captains were mis behaving No manners at all ambience was like fish market Pathetic service found very expensive Miles far away from Sankalp's taste,Rated 3.0,9,11,??
Soumitra Satyam,Rated High tech restaurant High class ambiance @good place to Enjoy wtd your family... Mostly full pack u hv to wait for your number ppl,Rated 4.0,16,6,??
Purva Takkar,"Rated This is the must visit Delhi place! Delhi is a mix of all of India, and more. This is the perfect example- serving amazing South Indian food, so much so that you will lick your fingers! Do not miss out on the coffee! Authentic. Rich. Coffee.",Rated 4.5,0,0,Expert in Connaught Place
Vandita,Rated One of my favt place here I visit with my friends they way they serve wow... Banana leaf good way to serve a food Best southindian food is here,Rated 5.0,1,0,??
Neha Setia,Rated Nice food and great taste.. Coriander chutney was great... There is extra charge for extra sambar and the quantity they give is also less initially but overall it was great.,Rated 3.5,20,138,??
Shivani V Mehra,"Rated Well, I am not fond of South Indian food at all but for a change I loved South Indian food here ! Spacious it is. Very nice & quick hospitality. South Indian food lovers, this is the place is for you guys.",Rated 3.5,24,29,??
Anjali Mahajan,"Rated Well for all the South Indian cuisine lovers, I can proudly say that this place has killed it.. You won't get anywhere such a delightful meal for this cuisine in Delhi, for sure! The mini idlis are their speciality and hence a must try",Rated 4.0,63,85,??
ChefManish Behl,Rated Good food and was little disappointed with rawa coconut dosa was soggy. Over all tomato chuttney and coconut was good specially Mini 14 idly were like little lilliput dipped in sambhar presentation and taste were gr8. Over all enjoyed the evening with my family and My neighbours Mr. Mansingh (Anil kapoor II). Would come again.,Rated 4.5,2,72,??
Dvyang Jan,"Rated Good south indian food actually to be found,if one's in delhi.....the sapad of tamil nadu is so fulfilling and satiable....but its bit over priced..but its hotel saravana bhavan afterall..",Rated 3.5,5,26,??
Vidhi Malik,"Rated Was looking for a budgety dinner place in cp and figured out this one through zomato only. It's a simple decent place with carnatic music playing. Well, the home made savories mentioned in the menu were new to me, did not found them in other south Indian restaurants, however, I did not try them yet. We ordered butter masala dosa n rice idli and found both dishes good (just good), the Chatnnis were really really less in quantity and you will surely have to order an extra serving (which is chargeable). Overall just found the place okayish but pocket friendly for sure. And yes, do have a look at paper they give you to keep under your plate and I was amazed to see the number of branches they have all over the world.",Rated 3.5,46,74,??
Asim Behera,"Rated I may not be the best person to review this as I don't care too much for this genre of food, however this is based on my wife's input; she loves this genre. As per her this chain in Chennai is to die for but the one in CP is just average both in taste and service.",Rated 3.0,50,327,??
Tanvi,"Rated Saravana bhavan has a long waiting whenever you go but the food is worth the wait. I dont really like south indian, but if i ever go there, i definitely feel the urge to order something after the seeing the yummy food. I always end up having the best sweet dish there, sooji halwa.",Rated 4.0,8,23,??
Alok Aggarwal,Rated Regular eater here. Never got disappointed. Always had great south indian food. My fav includes masala dosa and rava masala dosa. In end do try their tea,Rated 5.0,27,8,??
N,Rated Food is just OK. Economical. Pretty oily and spicy. There's a cockroach on the sofa. Such a turn off. Will stick to Sagar Ratna only from now on.,Rated 1.0,9,51,??
Rahul Rajeshwar Gupta,"Rated I've been to the place countless times and each and every time I leave the place highly satisfied. The food on offer is completely south Indian and pure veg. There is a huge variety on offer along with some freshly squeezed juices. It is very difficult to pin point any one dish but do not miss the amazing badam halva. One thing that you might notice about the place after you have tried a few dishes is that unlike most of the places, every fish that this place offers is meticulously prepared and equally tasty, and surprisingly no exceptions. The staff too is warm and knowledgeable. However you might want to avoid the place on weekends due to the huge que. Overall : A MUST TRY PLACE FOR EVERY VEGETARIAN!!",Rated 4.5,46,136,??
Rajat Dua,Rated Went with family couple of times and it is great in terms of taste And menu. Service at CP one needs to be looked at as you need to search and call the order taker. Janpath one is good in all the aspects,Rated 4.0,27,59,??
Phalodi,Rated If you find good south India food this is good destination....food is good but service is little slow but overall good.....ambience is good but too crowded n long waiting soo plan according to that..,Rated 4.0,9,4,??
Hitesh Sharma,"Rated A big surprise was awaiting on my first visit to this place.Recommended by a mallu friend who told me about it and said you must try this place they got best south indian food , its branches are located in India, Malaysia, Oman, Canada, France, Germany, Singapore, U.A.E, U.K, U.S.A, Kuwait, Qatar, Hong Kong. I thought of it as a joke and just made fun of him by saying haldiram also got outlets abroad. After a year or so,i saw this outlet in cp i found something familiar about it.so me n my friend went in we ordered rawa dosa and idly. Man!! That was the best south indian food i have ever eaten. I remebered about that freind the fact that he mentioned about this place and i ignored it for so lonng. Thanks mallu friend.",Rated 4.0,16,22,??
Bhawna Satija,"Rated Saravana Bhavan is all about mouth watering South Indian food which offers an elaborate menu across sections! They serve really impressive food. Colorful idlis with chutney and sambhar, SB gets it just right everytime you pay a visit to CP. Moreover, it breaks all stereotypes with its north-indian styles dosas - vegetable dosa being my favourite - and delicious sundaes. Choco Cherry Jubilee is highly recommended for all ice-cream fans! The large number of people waiting to get a table on all days of the week testifies its popularity, when multiple outlets are opening day in and out in the heart of the city. Pocket friendly with a wonderful service and simple yet elegant ambiance, here's where you should head when you're craving some southern spice!",Rated 4.0,21,333,??
Sachin Gupta,Rated Went there with my friend...had to wait a little...the waiter served some water...in steel pyaalis...a thin layer of oil was floating on top of water...we ordered a butter masala dosa and sambhar vada...the vada was stuffed with kaali mirch...it was tough to decide that vada had kaali mirch or kaali mirch had some vada!!! Very bad experience...very bad...won't go there again.,Rated 1.5,6,4,??
Shadab Akhtar Rabbani,"Rated First visit to the famous Saravana Bhawan. It goes to the top of my South Indian cuisine restaurants. I had my friends for company including the who suggested this place. When we entered the restaurant we got our table easily even though the place almost filled. It gets crowded later in the evening as there was a queue when we were getting out of the restaurant. So to grab a peaceful meal go and grab your seat a bit a early in the evening. The ambience is that of any decent Indian restaurant giving you the essence of South India. We all ordered the Ghee paper roast masala dosa as my friend it's filling as the crispy dosa tastes good. I really liked the dosa especially it's smooth outer finishing with pure ghee. It was served with four variety of dips: sambhar, tomato chutney, green chutney and the classic coconut chutney. My favorite anywhere would be the coconut chutney but the tomato one was the best here. Masala in the dosa was hot and fresh and it was served in a very neat manner. My experience was a good one especially for the taste and service. It's well priced as well. And the rate list/menu on Zomato needs to me updated. Ordered the thali today. Going to write to review soon.",Rated 4.0,0,0,Expert in Connaught Place
Qarina Zamir,"Rated Heard alot about Saravan Bhavan and when visited recently found that all those praises are indeed true. The food is really delicious and you cannot find such a taste in any other restaurant. We ordered the usual south indian items Idlis, Vada Sambar & Dosa. Their Ghee Roast Paper Dosa is really crisp, light & delicious. Overall experience is very good.",Rated 5.0,5,8,??
Aastha Singla,Rated I can't define in words.. Just wow I mean... What a food and its service You will fall in love with South Indian Consists lots of variety can taste South Indian food in north India,Rated 5.0,6,6,??
Amit Bajaj,"Rated Craving for south Indian arouse on Friday night.....tried the legendary south indian restaurant.....nice ambience and nice food except Onion rava Masala dosa which we first ordered was soggy and later they served partially burnt.....exceptions are always there....besides this the rasam with papad, Masala dosa and Onion Tomato uttapam was fabulous in taste.....overall a pleasant evening with wifey and son",Rated 3.5,0,0,Expert in Connaught Place
Sasha Chhetri,Rated Their Thali is really good and it's a go to to take any tourists. I kill CP + southindian in one go. Nothing beats this cuisine because of the flavours and price!! Don't expect anything fancy it's an Udipi restaurant that's cleans and has good food. A little more clinical than Sagar and the Dahi in their Dahi vada is not as sweet as well. Nothing to rave about as the ratings would suggest but good nonetheless and very very consistent.,Rated 4.0,57,132,??
Nitin Gupta,"Rated This place will always top the chart when it comes into your mind to have south indian food. Amazing taste and tbe taste has been maitained from more than 10 years. You can't beat the service here. Apart from the south indian food, one should try the sweets as well, varieties of ladoo and its packing is really a nice thing there. Rava khichdi (upma) is one of the thing that everyone should have.",Rated 4.5,64,57,??
Mina,"Rated This is probably one of the most successful Indian fast food chains spread thoroughly across the globe. I wondered what made this place such a success? If you go during lunch time youll see a huge line of people waiting for their table. I ordered the mini tiffin, it wasnt so mini it really filled me up good. The big secret to their success was in their chutney. They were the best Ive had, especially the coconut chutney was far superior than any other ones. Its cheap, quick and tasty those three component will get you very far. Highly recommended.",Rated 4.5,87,430,??
Shubham Sachdeva,"Rated Tamil nadu thali is ok ok. Service is good but I didt liked the sabzi's of thali. We all friend were dissapointed. Wasted money ! Very less quantity also, better go any local south indian restaurant.",Rated 2.5,3,13,??
Amit Yadav,Rated best south indian cuisine i had in my life staff is very responsive ambience is lively Coming to food part i was full that day so didnt order much but dosa with fresh lime is something you dont want to miss out on Reserve a table before going coz there are lot of people waiting to get in,Rated 4.5,4,46,??
Kumud Naugai,Rated Clearly one of the legendary south indian places available on this planet. You can see that by the people waiting to get in almost every weekend at any time. Went there after an IPL match. We were around 10 people and so we had to wait for almost half an hour to get a table. We were so famished that we ordered almost every type of dosa on the menu with idlis and wadas and everything was served pretty quick. The taste is authentic! You cannot ask for a better soul filling experience. We also tried the Badam Halwa and it was like Christmas! Such places soothe you to the core. Must visit! Sevice is awesome. Ambience is awesome and staff is courteous and pleasing.,Rated 4.5,58,177,??
Pragya Khanna Arora,"Rated Not as good as Janpath outlet Food - Chutney was a little too salty, Vada had too much oil Service - Very timely & fast service, but the staff was not very courteous & caring, their emphasis was more on delivering food on tables rather than making sure that people are enjoying their meal ( comparing the service to Janpath outlet) The staff caries the filled food plates by stacking them up above each other, (the rice in the bowl was touching the bottom of the plate kept above it while the staff was carrying it to the table) Also, while taking the order they didn't inform us that they are finished with the whipped cream which is to be served with the icecream, after we showed them that it is mentioned in the menu then only they apologized for not having the cream Overall, not a very good experience Tip - try their other outlet at janpath, give this a miss...",Rated 3.5,16,73,??
Abhishek Taneja,"Rated Awesome south Indian food!! Visiting this place since about a decade and the food is always amazing..their sambhar tastes the best, along with the superb dosas n idli they prepare..another must try is their rawa ladoo which is packed in small transparent balls...there is a scope however in improving customer service as the staff gets a little arrogant at times...all in all a must-visit if u want quality south Indian food",Rated 5.0,3,51,??
Subhayan Chakraborty,"Rated This place is probably the Tamilian equivalent of a McDonald. For more info, check out the piece of paper they provide for you to keep your plates on the table and you will see the scores of outlets they have across the world and India. The CP outlet, one of three in Delhi akin to a computer game. spread across five floors like a game and having equally varying AMBIANCE. Although not focusing on any one theme, the vibe is homely and the clientele is mainly family. The ground floor is done up a bit lavishly and should be your choice in case you're here with family. However, if you have your significant other accompanying you, head to the top floor where the crowd is thinner and the rooms are simpler and smaller for a more intimate affair. Also, this is one of the few places in CP where you are guaranteed a hearty meal without a hole in your pocket. The only drag is the location, which I find just a tad bit too far from any of the metro station gates. Sigh. However, that has not deterred the huge throngs who visit the place. I've come here twice and have ended up ordering the same FOOD twice : Tamil Thali, on both occasions in spite of my zeal for crossing off newer items on the menu. Its a complete package, not referring to the sheer number of items included in it or the size of the meal; but the fact that it is an exotic delight taste, feel and look wise. The thali is brilliant, won't describe it, just try it. :D I've also had some of the Dosas which were equally delicious. Otherwise you're options might be just a little bit restricted since the Dosa prices are a bit elevated. However, it's still nothing as compared to having a meal in any establishment in the surrounding neighborhoods. SERVICE is professional. The waiters are quick, patient and courteous. However, language proficiency might crop up as an issue for some servers who are from down south. Chakraborty Tip : Remember to go up and down the entire place if you have time and find your own little corner. :P",Rated 5.0,148,826,??
Shilpa Chauhan,Rated Being a north Indian I was never a fan of south Indian food... But but then I came to saravana bhavan and they proved me wrong... Yes south Indian food is tasty and one can have it quite often... It's my breakfast staple food... Their samber is so overloaded with flavours.. Best samber ever. Highly recommend and if you think south Indian food is not tasty.. Do visit!!,Rated 4.5,29,57,??
