Username,Review,Rating,Total_reviews,Followers,Expert_level
Dhruv Gupta,"Rated As you enter the place you can smell the pizzas from their beautiful live kitchen. The whole setup of the live kitchen is amazing & according to me the best part of Sbarro. They have a good variety of flavours to offer in both veg & non-veg. I tried their ""veggie delite"" & ""chicken makhni"" pizza. The slices were huge with generous amount of toppings but they tasted a bit bland. I liked the chicken makhni pizza more out of the two. I would like to try their other flavours too in the future. The lively environment of the place surely impressed me. Sbarro deserves a visit by all the pizza lovers.",Rated 3.0,64,48,??
Ipsita Pallavi,"Rated This place serves the best pizzas I have had since a long time. The food is great and light on the pocket as well, hands down! The seating arrangement can be improved, but otherwise a must visit place!",Rated 4.5,21,29,??
Gazala Khan,Rated good and the service is great other than their pizzas they serve other great options as well. Good experience. Both the slices were decent very sarp.,Rated 4.0,11,87,??
Preety Khanna,Rated Looks like a good pizza place. great and the service is nice other than their pizzas they serve other great options as well. Good experience. Both the slices were decen.,Rated 4.0,8,42,??
Gaurav,"Rated It was 10:30pm when i reached this place in 14th feb, quite late. And it was my 1st visit in sbarro. Coming to the food pizza was soo tasty too big worth it. And pasta was a perfectly made wid bread toasted. But when it comes to service they took a lot of time. Which i don't like. Food 4/5 Music 4/5 Service 3/5 Ambiance 3/5.",Rated 3.5,61,49,??
DJ Harsh Bond,"Rated Amazing Place For All Pizza Lovers.....!!! This place is for all Pizza Freak People, Because here you will get what excetally the American Style Pizza With American Style Flavours, # You will go Crazy when you will see the size of the pizza, its so big what you all use to see in the TV, Its all about Big Fat Pizza... The Best Part of SBARRO they deliver you a magical Range and Wide Variety of Pizza, One more plus thing is, if you dont need a whole pizza you can go for a SLICE only thatz really Rocking... And most of all its Really Pocket Friendly. Must Try.. Cheers",Rated 3.5,83,64,??
Shruti Goel,Rated Sbarro- NYC pizza chain.. seriously??? Offering some horrible pizza slices. Such expensive items listed on menu without any authentic taste of NewYork state. Moreover the pizza we wanted was not available. Bad service. Unsatisfied,Rated 2.5,30,51,??
Saumya Kaushik,Rated Sbarro has got a serene aura and what astounds me is - The self service counter is never hustle-bustled. They have huge pizza machines and Bingo! Food is prepared right before your eyes. You can actually take a look of how your pizza is baked. Their combos are affordable and the sauce is too home-made. No added flavours. 4.5 on 5.,Rated 4.5,16,73,??
Ankit Bhatnagar,Rated Very authentic ambience but pizzas are not really authentic. The crust isn't thin although the toppings are great. Garlic bread is just average.,Rated 3.0,5,56,??
Tapesh Khanna,"Rated It looked an okay place and we were just coming back from a hectic meeting and this place was spotted by my colleague. Intrigued by the name, we entered it. It was comparatively smaller sized than other pizza outlets and served pizzas in individual slices. We were damn hungry that time so ordered the entire chicken Makhani pizza. It was sufficient for the two of us. We suited it up with the soft drinks. I felt that they still need to improve upon the taste.",Rated 3.5,0,0,Expert in Connaught Place
