Username,Review,Rating,Total_reviews,Followers,Expert_level
Foodster,"Rated Well the place is highly ""OVERRATED"". From the interiors to food. Everything ""OVERRATED"". Maybe it's goes sometimes that u hear so much about the place and ur expectations go up so high. I found the place and the food average for a fine or you can put it high-end casual dining.",Rated 3.0,8,16,??
Akshat Mittal 91,Rated I If I you are have a to do point of in the a and team building and maintaining the intended same time as well I am have a to do point of contact with you the other hand if I could not find the a team and I the only thing one of is a,Rated 5.0,11,162,??
Rosa Bella,Rated My boyfriend surprise me with Valentine's dinner at Veda. It's beautiful and grand concept of deco. Food was amazing and its come with 4-5 course meals and its a lot for main course. Love the place and food.,Rated 5.0,4,0,??
Vikram Jeet Singh,"Rated I went there with my wife for dinner. Right from the entry you can feel the ambience is very good. The service from serving boys were excellent. The food was a mixed experience. The chef's kabab that we ordered as appetiser wad awesome, however the prawns masala as main meal was very much under cooked. The drinks and breads were just nice.. Overall a good experience, however the food not up to the standard of the prices charged.",Rated 3.5,1,0,??
Anjali Agrawal,"Rated Went there last weekend for lunch after seeing the Zomato rating. I got impressed by the ambience in first look of the restaurant. Great interior, very well designed. The food was good. Tried dahi ke kabab for starters which were very soft and had a creamy feeling. For main course, we had dal makhni and biryani and both were very well prepared. It was a good choice and is on my ""to go places"" list now.",Rated 4.0,1,34,??
Aakanksha Modi,Rated It's been sometime that I have visited this place but Veda remains one of my most recommended restaurant in CP yet. I m a huge makhani dal fan and this place serves it to perfection.. I love the service food and the ambience. Though it's a tad on d expensive side but I love the food. Do give this place a try if you haven't already..,Rated 4.5,18,73,??
Riya Sharma,"Rated you Aim is good, i find it very good service from veda. Food is good, Chiken Hara pyaz Masala ,Achari Fish Tikkaand Roomali Rotiare all good in taste. Quantity is perfect. Rates was also very good Found service little decent Overall you should must try the VedaRestaurant!",Rated 4.5,13,62,??
Divya,Rated I went to this place for dinner with my family. Its a good restaurant. The ambience is good and there were candles with a nice fragrance lit on all the tables. The food is good but expensive. I tried butter chicken & dal makhni - differently cooked. The only thing which makes me rate it low is that its breads are full of desi ghee and I am personally not too fond of it. Rest good :),Rated 3.0,10,87,??
Akash Asthana,Rated Food: 4.0/5.0 Service: 3.5/5.0 Decor: 4/5.0 Overall: 4/5.0 Service was pretty good. Waters came by quick and so did our drinks. We got a recommendation for the Daal veda and I can see why. We were checked on a couple times during the meal.,Rated 4.0,7,123,??
Snigdha Jain,Rated Not really happy visiting this plAce ..!! Not too big .!! Just a small restaurant with ordinary yet expensive food ..!! The pics on zomato are a total misguide ..!! It looks that the place is amazing nd big but actually it was almost empty even in dinner hrs ..!! Wont recommend it!!,Rated 3.0,43,133,??
