sno,username,food,service,ambience,cost,rating,dishes
2,Kamlesh Rawat,3.0000000000000004,-10000,2.4444444444444446,-10000, 4.0,[]
3,Devansh Kamboj,-0.3235294117647059,-1.0,0.8333333333333333,-10000, 1.5,[]
4,Kunal Mahajan,2.6599999999999997,2.357142857142857,2.03448275862069,-2.0, 4.5,"[[u'paneer tikka  nothing', 1], [u'vegetables', 1], [u'gravy', 1]]"
5,Supreem Lathwal,1.9166666666666665,2.0,1.0,0.20000000000000004, 3.5,"[[u'veg enchiladas', 1]]"
6,Mr. Frolic,3.0,1.923076923076923,2.794117647058824,3.0, 4.0,"[[u'dinner', 1]]"
7,Gazala Khan,-10000,3.0,4.0,-10000, 4.0,[]
9,Abhishek Marwah ,3.0,1.923076923076923,2.794117647058824,3.0, 4.0,"[[u'dinner', 1]]"
10,Devina Jain,4.0,4.0,2.5,-10000, 3.5,[]
11,Karann Pradeep Kapil,3.1041666666666665,1.25,2.0,-10000, 3.5,[]
12,Pranshita Kohli,-10000,3.0,1.0,3.0, 5.0,[]
13,Srishti D,1.6666666666666667,1.7,2.0,-10000, 3.0,"[[u'Pizza', 1]]"
15,Preeti Cyrusz,2.5,1.0,3.0,-10000, 4.0,"[[u'#tandoori platter', 1]]"
16,Shayak Victor Munshi,0.6756756756756757,0.8928571428571429,1.575,-10000, 4.0,"[[u'chicken tikka', 1]]"
17,Harsh Chandarana,2.308333333333333,-0.8166666666666667,2.5,-10000, 3.5,[]
18,Deeksha Sabharwal,0.3357142857142857,-10000,1.5,0.625, 3.5,[]
19,Gaurav Prakash,-0.5138888888888888,0.3518518518518519,2.5,0.0, 3.5,[]
20,Sunileo,3.035714285714286,-10000,1.6666666666666667,-10000, 3.5,[]
21,Vickrham (Vicky),0.8677884615384616,2.526315789473684,1.5,-10000, 4.0,"[[u'fruit salad', 1], [u'minestrone soup', 1]]"
22,Foodie Traveller,5.0,3.0,2.5,-10000, 4.5,[]
23,Simran Ahuja,0.0,2.0,2.0,-10000, 3.5,"[[u'pizza', 1]]"
24,Divya Gopakumar,1.1428571428571428,-10000,-1.0,-2.0, 2.0,[]
25,Disha,-1.0,-0.6666666666666667,-10000,-10000, 1.0,[]
27,Sunil Arora,1.593181818181818,0.0,0.0,-10000, 4.5,[]
28,Richa Sharma,-10000,2.0,4.0,-10000, 4.0,[]
29,Chandrika Nagesh,2.730263157894737,-1.0,3.0,1.0, 3.5,[]
30,Pastachio,1.0,-10000,1.0,-10000, 3.0,[]
31,Parth Jagirdar,0.7333333333333334,-10000,2.545454545454545,-10000, 4.0,[]
32,Sahil Arora,-0.7670454545454545,0.044642857142857144,2.5,-10000, 4.0,[]
33,Sonali Ahluwalia,4.333333333333333,2.0454545454545454,3.0,-10000, 4.0,"[[u'mongolian fried  chiken  burger  bse  chicken  platter  red  sangria  the', 5]]"
34,Hiten Sehgal,1.0,-1.0,-10000,2.5, 3.5,[]
35,Akshaytawar22,0.625,2.0,0.625,3.0, 5.0,[]
36,Just Delhiing,1.3988095238095237,0.625,2.6428571428571432,-10000, 4.0,"[[u'combination', 1]]"
37,Star,-10000,-2.0,4.0,-2.0, 4.0,[]
38,Purnima Singh,3.0000000000000004,-2.0,-10000,-10000, 4.0,[]
39,Mansi Gupta,0.23076923076923078,-10000,-0.6666666666666666,4.0, 3.0,[]
40,Shagun Garg,0.5,-10000,-1.923076923076923,-10000, 3.5,[]
41,Meenakshi Srivastav,2.666666666666667,3.611111111111111,1.5916666666666668,0.625, 3.5,"[[u'butter chicken  golgappe', 3]]"
42,Richa Sharma,3.0,3.0,1.0,-10000, 3.5,[]
43,Prakash Jain,-1.3166666666666667,1.0,0.7307692307692308,-10000, 3.0,[]
44,Mohitsonania,3.3333333333333335,1.3888888888888888,1.9642857142857144,-10000, 4.5,[]
45,Abhishek Wadhwa,0.625,1.25,1.0,-10000, 2.5,[]
46,Gaurav Kapur,1.4545454545454546,0.33333333333333337,-10000,-10000, 3.0,[]
47,Amarjeet Verma,2.4545454545454546,-10000,2.375,-10000, 3.5,[]
48,Nikhil Kukreja,-4.0,-1.0,-10000,-10000, 2.0,[]
49,Prakul Bakshi,3.0,-10000,2.5,4.0, 4.5,[]
50,Abhilasha Singh,1.0,1.0,3.0,1.0, 3.5,[]
51,Namita Mittal,-0.8166666666666667,-10000,-10000,2.0, 4.0,[]
52,ABHAY SANGAL,-0.6363636363636362,1.3888888888888888,1.5625,-10000, 2.0,[]
53,Suhael Buttan,-0.2571428571428572,-1.2142857142857144,1.0,2.0, 3.5,[]
54,Siddharth Jain,1.1614035087719299,-0.2727272727272727,0.462962962962963,-0.7272727272727273, 3.5,"[[u'paneer tikka', 1]]"
55,FOODSTER,1.853658536585366,2.0,1.8888888888888888,-10000, 4.0,"[[u'peanut sauce', 2]]"
56,Kavita Roy,2.745454545454545,3.0,4.5,-10000, 4.0,[]
57,Sonia Batra,0.6666666666666666,-10000,5.0,-10000, 3.0,[]
58,Deeksha Goel,3.0000000000000004,3.0,4.0,-10000, 4.0,[]
59,Vaibhav Aggarwal,0.2894736842105263,1.0,1.0,-2.0, 3.0,[]
60,Shikha,1.036764705882353,2.0,4.0,-10000, 3.5,[]
61,Eat Style Shop,0.6339285714285714,-1.6875,-0.20192307692307696,-10000, 3.0,"[[u'cocktail', 1], [u'nachos', 1]]"
62,Rohan Vivian,1.4,2.6176470588235294,0.830357142857143,-10000, 4.0,[]
63,Shivam Nagpal,1.3125,-10000,4.0,-10000, 4.0,[]
64,Diksha Garg,3.3636363636363633,4.5,2.6666666666666665,-10000, 4.5,[]
65,Anshit Arora,4.0,2.0,1.0,-10000, 3.5,[]
66,Sameer Chaudhary,1.1875000000000002,4.0,2.0,1.875, 3.0,[]
67,Divyank Deep,1.2916666666666667,-3.0,2.2916666666666665,-10000, 3.5,[]
68,Rahul Jain Choraria,3.0,-10000,-3.0,-10000, 3.0,[]
69,Sahilnanda16,-10000,2.0,2.0,-10000, 5.0,[]
70,Shikhar Tanwar,3.0,-10000,1.875,-10000, 3.0,[]
71,Abhinav Mohla,3.0,-10000,1.0,3.0, 3.0,[]
72,Aakanksha Bisht,-0.6153846153846154,2.0,-2.0,-10000, 3.0,[]
73,Sushant Jain,1.2222222222222223,-10000,-10000,0.625, 4.0,[]
74,Nitish Bhardwaj,4.0,4.0,3.0,1.0, 3.5,[]
75,Shivani Gilhotra,-0.9583333333333334,-10000,2.9166666666666665,-10000, 4.0,[]
76,Shreashth Singla,1.9464285714285714,-10000,-2.0,-10000, 3.0,[]
77,Ashwani Gupta,2.2222222222222223,-10000,2.75,1.0, 3.5,[]
78,Sanjana,1.5333333333333334,0.20833333333333334,2.3333333333333335,-10000, 3.5,[]
79,Sukriti Somvanshi,-2.0,-10000,2.5,-10000, 4.0,[]
80,Priya Saxena,1.1484375,-10000,1.0,-10000, 3.5,"[[u'stock exchange  concept', 1]]"
81,Rohini Gauba,0.9327272727272728,-0.5,1.95,0.20000000000000004, 3.5,[]
82,Samrat Chakravorty,2.236538461538462,2.3958333333333335,0.6000000000000001,3.125, 4.0,"[[u'chicken fingers', 1], [u'pepperoni pizza', 1]]"
83,Deep,2.087962962962963,-0.125,2.717391304347826,-10000, 4.0,"[[u'butter garlic  prawns', 3], [u'biryani', 1], [u'butter chicken  gol  gappas', 2], [u'cocktail', 1]]"
84,Chandni Kumar,1.7079439252336448,0.625,2.0,-1.0, 4.0,"[[u'churros', 1]]"
85,Akshay Dhoot,0.7916666666666665,-10000,3.6666666666666665,-10000, 5.0,[]
86,Palak Basra,2.5,-10000,-10000,-10000, 4.5,[]
87,Shreya Shroff,1.0000000000000002,1.2285714285714286,0.0,0.625, 3.0,[]
88,Amit Bajaj,4.0,-10000,3.0,-10000, 4.0,"[[u'stock exchange  bar  concept', 1]]"
89,Geetika Srivastava,3.1702127659574466,3.5,2.5,-3.0, 4.5,"[[u'garlic sauce', 1], [u'combination', 1], [u'the potatoes', 1], [u'chicken wings', 1]]"
90,Vrinda Vig,0.26666666666666666,3.0,1.6666666666666665,-10000, 4.0,"[[u'mint mayo', 1]]"
91,Rohit Bolia,3.4444444444444446,3.0,2.5,-10000, 4.5,[]
92,Annie Kaur Sobti,4.052631578947369,-10000,2.0,-10000, 4.0,[]
93,Vaibhav Suri,1.5555555555555558,-5.0,-0.5,3.0, 1.0,"[[u'neighbourhood momos', 1]]"
94,Trishla Nagar,3.3928571428571432,-10000,4.0,-10000, 4.0,[]
95,Rishabh Bahl,-0.3977272727272727,-10000,0.20833333333333334,-10000, 1.5,[]
96,Pranaay Gupta,0.7692307692307692,-4.0,1.0,-10000, 1.0,[]
97,Apeksha Aggarwal,2.0,-1.5,1.0,-10000, 3.0,"[[u'chilli garlic  noodles', 3], [u'pizza', 1]]"
98,Varun Gupta,-0.27272727272727276,1.2307692307692308,3.0758928571428577,-10000, 3.0,[]
99,Ayushi Khullar | Food Is Life |,3.7,-10000,5.0,1.0, 4.5,[]
100,Abhinav Jain,2.0,-10000,3.0416666666666665,-10000, 4.0,[]
101,Simran Dhaliwal,0.2857142857142857,1.0,2.0,4.5, 3.0,[]
102,Kumud Naugai,-2.0,3.0,-1.7000000000000002,-10000, 2.5,[]
103,Garima Neb,1.8,1.0555555555555556,3.0,-10000, 3.5,[]
104,Ayushi Anand,1.5546875000000002,-10000,1.0,-10000, 4.0,"[[u'veggie pizza', 1], [u'butter chicken  gol-gappe', 2]]"
105,Piya Malhotra,-10000,-10000,1.9473684210526319,-10000, 4.5,[]
106,Vritti Malhotra,3.0,-10000,2.5625,3.0, 5.0,[]
107,Shreya Aggarwal,1.2740384615384617,-0.27586206896551724,1.8125000000000002,0.625, 2.5,"[[u'veg pizza', 1], [u'veggies', 1], [u'nveg pasta', 1]]"
108,Abhay Goel,3.5,2.0,1.0,-10000, 4.5,[]
109,Rchhabra22,2.5,-2.0,-3.1111111111111107,-10000, 3.0,[]
110,Himanshu Broota,0.8,-0.2,2.0416666666666665,-10000, 3.0,"[[u'veg pizza', 1], [u'salsa', 1]]"
111,Satbir Singh,1.8154761904761905,-10000,3.0000000000000004,-10000, 4.5,"[[u'Butter', 1]]"
112,Divyanshu Sethi,2.3,1.4444444444444444,4.0,4.0, 4.0,[]
113,Priya Maity,1.9869565217391298,2.166666666666667,3.3333333333333335,-10000, 4.5,[]
114,Parth Anand,3.0625,-10000,5.0,-10000, 4.5,[]
115,Shraddha Singh,-0.5982142857142857,0.5,-0.1842105263157894,-10000, 3.0,[]
116,Akshat Goel,-10000,2.0,1.2142857142857144,-10000, 3.0,[]
118,Shreya Verma,1.9545454545454548,3.0,3.0,-10000, 4.5,"[[u'mushroom fusilli  pasta', 3], [u'chicken fingers', 1]]"
119,Mitali,1.8083333333333336,2.5,1.5661764705882353,-10000, 4.5,[]
120,Apaar Sharma,1.5,2.0,2.0,-10000, 2.5,[]
121,Kannika Rathore,3.1428571428571432,-10000,2.1923076923076925,-10000, 5.0,[]
122,Shikha Rana,1.6321428571428573,-2.0,1.5384615384615383,-10000, 3.5,[]
123,Rahul Garg,-0.6875,0.0,3.0,-10000, 3.5,[]
125,Arpitha Desai,-2.2636363636363637,4.0,-0.5,-10000, 3.5,[]
127,Akram Khan,2.65625,5.0,3.035714285714286,-10000, 4.5,"[[u'butter chicken  golgappa', 3]]"
128,Chahat,2.8713235294117645,-10000,3.0,1.0, 4.5,"[[u'veg lasagna', 1]]"
129,Gunjan Caur,3.0,-10000,2.3333333333333335,-10000, 3.5,[]
130,Pulkit Garg,-1.847826086956522,1.0,-1.0,-10000, 2.5,[]
131,Siddharth Parashar,2.1635714285714287,-10000,2.0,-10000, 5.0,[]
132,Nakul Jain,1.0416666666666667,-10000,-10000,-10000, 2.5,[]
133,Radhika Verma,5.0,-10000,2.0,-10000, 5.0,[]
134,Suchit Bansal,-10000,-2.0,2.5,-10000, 3.0,[]
135,Lakshman Dev,2.0,-10000,2.8275862068965516,-10000, 4.5,[]
136,Romil Jaitly,2.1927083333333335,4.0,0.8333333333333333,-10000, 4.0,[]
137,Hemant Verma,1.6666666666666667,3.0,2.0,-1.5, 3.5,[]
138,Pamy Arora,3.1666666666666665,3.0,-10000,-10000, 4.5,[]
139,Sania,3.4375,3.0208333333333335,3.0,-10000, 4.0,"[[u'veggie pizza', 1]]"
140,Manish Mohan,2.134375,-1.0,-0.5902777777777778,-10000, 3.0,"[[u'tiramisu', 1]]"
141,Rahul Taluja,2.494444444444445,1.535714285714286,2.3333333333333335,-1.0, 5.0,"[[u'Fish', 1]]"
142,Akhil Chugh,1.775,1.9666666666666668,0.625,-10000, 4.0,[]
143,Rajat Kharbanda,0.3157894736842105,2.0,2.5,3.0, 1.5,[]
144,Travelerwithfeetandstories,2.2481343283582085,-10000,5.0,0.625, 4.5,"[[u'sauce', 1], [u'cocktail', 1], [u'veg dumplings', 1]]"
145,Shagun Raizada (Myfoodproject.org),2.26461038961039,1.8402777777777775,1.4506578947368423,1.0, 5.0,"[[u'jalapeno poppers', 1], [u'sushi platter', 1], [u'teriyaki lamb  burger', 2]]"
146,Epicurean,2.2222222222222223,3.0,5.0,1.0, 4.0,[]
147,Yamini Bhargava,-0.035377358490565954,0.2,-0.46153846153846156,3.0, 1.5,[]
148,Nikita Tandon,1.9519230769230769,5.0,2.0,-10000, 4.5,"[[u'combination', 1]]"
149,Priyanka Sheh,-10000,1.0,1.0,-10000, 4.5,[]
150,Sanghmitra Bhushan,4.0,3.0000000000000004,2.0,-10000, 4.5,[]
152,Pulkit Gupta,1.6136363636363638,2.8333333333333335,3.0,-10000, 4.0,"[[u'veggies', 1]]"
153,EMPTY STOMACH,0.9970930232558142,-1.125,1.2589285714285716,-10000, 2.0,[]
154,Shubham Jain,1.5340909090909094,0.5185185185185185,0.35714285714285715,-10000, 4.0,[]
155,Srishti Gupta,0.3181818181818181,1.0,3.5000000000000004,-10000, 4.5,[]
156,Gaurav,0.26785714285714285,2.0,2.0,-10000, 4.5,[]
157,Sadish Garg,1.7381818181818185,1.0,0.7272727272727273,5.0, 4.0,"[[u'rice', 1], [u'meal', 1]]"
158,Suraj Agarwalla,3.0,-10000,-3.0,-10000, 2.0,[]
159,Arjun Chaudhry,1.625,2.0,3.0,-10000, 3.0,"[[u'fish', 1]]"
160,Nitika Bhatia,3.078804347826086,-0.8,3.5263157894736845,-10000, 4.5,"[[u'veg dishes', 1], [u'chicken fingers', 1]]"
161,Shahrukh Habib,1.7750000000000001,-10000,2.0,-10000, 4.0,[]
162,Ankush Vardia,2.0526315789473686,5.0,1.4166666666666667,-1.0, 4.0,"[[u'burger', 1]]"
163,Enosh Paul,-1.0,3.5,2.3750000000000004,2.0, 5.0,[]
164,Gautam Gupta,-0.2631578947368421,2.0,1.0,-10000, 3.5,"[[u'chicken wings', 1]]"
165,Nyakhe Sunya,1.75,3.5,4.0,0.625, 4.5,"[[u'bar stock', 1]]"
166,Shivendra Goel,0.9353448275862069,1.1000000000000003,1.2672413793103448,-0.6875, 4.0,"[[u'bar stock  exchange', 1]]"
167,Apoorva Uniyal,1.6666666666666667,2.5,2.5,-10000, 4.5,[]
168,Chainita Rawat,3.2904411764705883,-10000,3.1428571428571432,3.0, 4.0,"[[u'cheese pizza', 1], [u'prawns', 1]]"
169,Apurva Upadhyay,-2.0,-2.0,-2.0,-10000, 1.0,[]
170,Priyank Agrawal,1.6833333333333333,1.3125,0.625,-10000, 3.0,[]
171,Sidhant Ahuja,1.3820754716981132,0.4125,0.7777777777777777,-10000, 4.5,[]
172,Abhishek Khosla,1.8571428571428574,2.5,0.631578947368421,-10000, 4.0,"[[u'snacks', 1]]"
173,Mishtu.. Food Blogger,-10000,-10000,-1.0,-10000, 4.0,[]
174,Sanchit Bhatia,-2.3958333333333335,-0.7857142857142857,2.0,-10000, 1.0,[]
175,Karan Marwah,2.335526315789474,-10000,3.5,-10000, 4.0,[]
176,Rahul Mittal,-2.0,0.3846153846153846,3.125,-2.0, 1.0,[]
177,Prashant Singh,2.3695652173913038,3.1111111111111107,-10000,-2.0, 4.0,"[[u'non veg  mezze  platter', 2], [u'grilled fish', 1]]"
178,Rahul Batra,1.7659090909090907,2.111111111111111,2.2727272727272725,2.0, 4.0,"[[u'burger', 1], [u'cocktail experiments', 1], [u'veg dish', 1]]"
179,Dhruv Mittal,1.223148148148148,2.0384615384615388,2.5,-10000, 4.5,[]
180,Mohit Bajaj,1.3916666666666666,-10000,3.0000000000000004,1.0, 5.0,[]
181,Sukhmani Sakhi,1.6674382716049378,2.393939393939394,1.6367187500000002,-10000, 4.0,"[[u'bombay stock  exchange', 1], [u'puff bread', 2], [u'butter gravy', 1], [u'quesadillas', 1], [u'chocolate sauce', 1]]"
182,Shraddha Sharma,1.32534965034965,3.291666666666667,2.2600000000000002,-10000, 4.5,"[[u'gravy', 1], [u'cocktail', 1]]"
183,Kritika Kalra,1.5454545454545454,3.0,3.0,-10000, 3.5,"[[u'butter chicken  golgappe', 3]]"
184,Vikas Chaudhary,2.1818181818181817,0.625,3.5,-10000, 5.0,[]
185,Suchintan Kar,0.28532608695652173,1.0,-0.18750000000000003,3.125, 3.5,[]
186,Sayantani Chakrabarti,2.71875,3.125,1.472222222222222,-10000, 5.0,[]
187,Kaveri Bhatia,1.5,5.0,4.0,-10000, 4.5,[]
188,Mayukh Datta,2.0606060606060606,1.5,0.6666666666666666,-10000, 3.5,"[[u'paneer tikka  golgappe', 2]]"
189,Shanu1308,2.779411764705882,-10000,5.0,-10000, 4.5,[]
190,NagaTeja Rupavataram,0.5568181818181818,-10000,2.0,-10000, 5.0,[]
191,Aanchal Mathur,2.0,-0.5,3.75,-2.0, 4.0,[]
192,Chetan Prakash,2.0,-10000,-10000,-10000, 3.5,[]
193,Bhavye Gupta,-10000,-10000,3.555555555555556,-10000, 5.0,[]
194,Sandeep Yadav,1.4464285714285714,-10000,1.6409090909090909,-10000, 4.5,[]
195,S@g@r,1.8333333333333335,-10000,1.745689655172414,-10000, 4.0,[]
196,Ankur Gupta,1.1538461538461537,-2.0,5.0,-10000, 5.0,[]
197,Aanchal Khurana,4.0,3.555555555555556,3.5,-10000, 5.0,[]
