sno,username,food,service,ambience,cost,rating,dishes
2,Suhail Arora,3.6666666666666665,-10000,-10000,3.0,3.5,"[[u'rice', 1], [u'mint mojito', 1], [u'chili potato', 1]]"
3,Shikha,4.111111111111112,-2.0,-0.6666666666666666,-10000, 2.5,"[[u'dahi vada', 1]]"
4,Ashish Sarma,-2.230769230769231,3.125,1.8571428571428574,-10000, 1.0,[]
5,Jadav Singh,4.0,-4.0,1.0,-10000,8,"[[u'masala dosa', 1]]"
6,Willie Ahuja,0.15789473684210528,-10000,-10000,-10000, 3.0,[]
7,Deepak Hooda,2.2222222222222223,-10000,-10000,-10000, 5.0,[]
8,Rakesh Shah,2.0,3.0,3.0,-10000, 4.0,[]
9,Judith J Scenario,2.0,-10000,-10000,-10000, 3.5,[]
10,Mukesh Chugh,0.5000000000000001,1.0,-10000,-10000, 1.0,[]
11,Daksh Soni,2.7916666666666665,-10000,2.0,-10000, 4.5,"[[u'Coffee', 1], [u'rawa masala  dosa', 2], [u'rawa idli', 1]]"
12,Ankush Virmani,1.0,-10000,-3.0,-10000, 4.0,"[[u'coconut chatni', 2]]"
13,Sumit Juneja Ghai,-10000,3.0,3.0,-10000, 4.0,[]
14,Sidharth Sharma,5.0,0.2708333333333333,0.625,-10000, 4.0,[]
15,Saloj Shaji,3.0,-10000,4.0,1.0, 4.0,"[[u'breakfast', 1]]"
16,Symi Niman,1.2000000000000002,-10000,-10000,3.0, 3.5,[]
17,Tarun Khurana,1.0,-10000,-10000,-10000, 1.0,[]
18,Shivanshi Mittal,3.0,-10000,1.6,-10000, 4.0,"[[u'rava sambhar', 1]]"
19,Divya Dutta,1.0,-10000,-10000,-10000, 3.0,[]
20,Rahul Sharma,1.0,0.2777777777777778,-2.0,-10000, 2.0,[]
21,Priyanka Garg,1.0,3.0,0.625,-10000, 3.0,[]
22,Kashish Bajaj,1.0,-10000,2.5,-10000, 3.5,[]
23,Mohini Tripathi,3.466666666666667,-10000,1.923076923076923,-10000, 4.0,[]
24,Shrina Vaidik,-10000,-10000,4.0,-10000, 2.0,[]
25,Priya Agarwal,-1.0,2.357142857142857,3.125,-10000, 4.5,[]
26,Rajesh Sarin,1.7307692307692306,-10000,-10000,-10000, 3.0,[]
27,Amarjeet Verma,0.625,3.1578947368421053,5.0,-10000, 5.0,[]
28,Ankita Podder,0.5749999999999998,3.0,-10000,-10000, 4.5,"[[u'combo', 1]]"
29,Akshat Kalra,1.7692307692307694,3.5,1.142857142857143,1.0, 4.0,"[[u'veggies', 1]]"
30,Yuvraj Singh,3.0,-10000,2.5,-10000, 4.0,[]
