Username,Review,Rating,Total_reviews,Followers,Expert_level
Deep,Rated This potential strong lounge has all the right ingredients involved to become the best resto of CP. Very well decorated with a centre stage inviting live performances and a glass window ceiling offering day light during brunches. One should not miss their beautiful outer seating at the back. The drinks and food is very innovative. Must haves : Spinach and corn fettucini Tandoori spiced king prawns Jalapeo lamb burger Must have drinks : daisy and dillinger Service is great and this place is already on my list of personal favourites. Highly recommended ! !,Rated 4.5,0,0,Expert in Connaught Place
Prateek Kithania,"Rated The food was very ordinary and didnt really appeal me.. Also, the decor is very ordinary the place seems very shady in the afternoon and there is no excellent ambience to justify the overpriced menu.. The place is nowhere as compared to other competitors in its vicinty.",Rated 2.0,4,45,??
Rahul Seth,Rated Went there for valentines Day dinner with wife. The host was wonderful got us a good table right next to the stage. There live music was wonderful and it completely fell we are sitting in some swanky restuarant in New York. Drinks- they have vast menu and good selection of wines but as per cocktails they have there only signature cocktails not the regular ones and I found them to be over priced at 1000/- per drink. So we went in for wine. Please improve on this and if u want to have only signature cocktails I think they should be decently priced. Food was just amazing we chicken tacos and beet&goat cheese salad. CT was okay but the salad was really good n light Main course we oredered smoked mushroom risotto n 62 chicken. Both the dishes were really good especially chicken- loved its presentation. Overall great experience and would definitely visit again.,Rated 4.5,3,30,??
Neelaakshi Piplani,"Rated Sunday Brunch with family on an open terrace OR Live Music and dinner with office colleagues on a Thursday night OR Saturday night clubbing plans. I am sure you must be wondering what am I trying to infer. Yes, you guessed it right..Head to {Niche}, a recently launched outlet in Connaught Place which is one stop for all of these and even more. It lives up to its name, and indeed is a {niche} be it ambiance, food or drinks!! The sheer sophistication is reflected as soon as you step inside the premise of the outlet, extremely thoughtful and soothing decor welcomes you. The royal plush seating in front of the colorful lively alphabets crafted wall under the transparent roof is the USP of the place. Loved it totally. The Sheeshas deserve a mention as they were extremely smooth and the flavor was evident in every drag. Do order the Commissioner as it will bound to leave you in an enticing state. The menu has been exclusively crafted and they specialize in the fusion of everything. The cocktail menu will leave you spellbound. Each and every cocktail is crafted with uttermost care and intricacies of the recipe is well taken care of. The presentation undoubtedly will blow you off your feet. My Favorites from the Niche Signatures menu- 1. Shrub Step- This extremely beautiful looking drink which comes in two sections is a mix of broad leaf vodka, balsamic shrub, mixed berry compote, basil, mint and citrus. This mixture is reduced and simmered for 72 hours so that the taste of the drink is enhanced and ultimately served in a vessel. 2. Daisy- Tequila based drink with a mix of organic chamomile honey, citrus, egg white and grapefruit bitters served in a classy cocktail glass along with a Marc Jacobs perfume bottle filled with second round of the same drink. These cocktails cost 1000 bucks but it is totally worth it, as just one sip ensures you enter in a state of euphoria. The innovation and hard work they have put in for crafting and serving these delicious drinks deserve a try Hokkaido is another fabulous cocktail on their menu, or rather an edible cocktail which has vodka panna cotta over Parle-G beach sand and citrus sea salt served over crushed ice. Wow!!! The food menu is impressive and every dish has been prepared and presented exclusively and resonates with the name of the outlet- {Niche} in every form. Recommended Starters- Pappu Chicken, Chicken Rice Paper Rolls, Mini Lamb Meat Pies, Bengali Fish Fry Sandwich, Parsi Chicken Burger, Panko Crusted Chillies, Chicken Arancini. The mains were equally relishing especially the Lamb Shank, Hari Saag, Spinach and Corn Fettuccini and Roasted Spring Chicken. And then the Chefs special dessert arrived Flexible Ganache which is one creative yummilicious dessert made of super soft chocolate, jaggery, jellies and macro pone cheese ensuring a happy ending to your meal. Shout out to Mathew who is the MD of the place and who consciously made efforts to introduce the concept and the hard work put behind crafting these delicacies. The manager Sashi was on top of the service and the servers Sandeep and Naresh were extremely cordial and smiling. Kudos people!! It is a slightly expensive place but totally worth the experience. Highly recommended!!! enticingfoodcruise.wordpress.com",Rated 4.5,0,0,Expert in Connaught Place
Deepak Aggarwal,Rated Went there on 14th Feb night with my wife. Nice ambience and live music. Average food. Quantity very less. But the most pathetic part was they took 50 minutes to prepare my bill. Just imagine after you have finished your dinner you have to wait for 50 minutes for the bill. One more thing was after I finished my dinner they took 20 minutes to clear my table. Pathetic service. Won't be going there again.,Rated 2.0,1,0,??
Achita Goswami,"Rated Niche got me into it !! This is one helluva place Delhi has welcomed . I was there at its launch in association with Food Talk India. Their signature cocktails are unbeatable , along with exquisite options with respect to food. Niche will provide you with superior quality food, posh ambience, starry drinks, a good hooka, and a very comfortable warm and settled experience. Its advisable for a non fuss aristocratic evenings.",Rated 4.0,0,0,Expert in Connaught Place
Gourmet Delhi,"Rated Ordered: Panko Crusted Chilies Chili Aam Papad Chilean Pork Ribs Lamb Ragu Spaghetti French Onion Soup Rings The first thing that draws you in is the ambience of the place- chic with a rustic charm, spacious and a fantastic terrace. The food and cocktails proved to be a breath of fresh air from the usual routine. Starting with the French Onion Soup Rings. The onion rings were crisp and even throughout. They had a thin slice of onion in the middle, which balanced the onion ring just right. They served as the perfect accompaniment with the soup, which was big on flavour. The pork in the pork ribs was tender and nicely seasoned. It was soft enough to fall apart on your fork. The real show-stealer though was the slightly sweet and tangy sauce served with it. The most lucrative part though was the extremely soft and moist dhokla to go with the ribs. Surprisingly, it went very well with the pork ribs and gave you a fresh taste in your mouth to sort of cleanse it before continuing with the dish. The Panko Crusted Chilies were lovely as well. Evenly batterrrd and fried, they served as an excellent appetizer. For main course, we went with Lamb Ragu Spaghetti. The lamb was seasoned perfectly and was very tender. The flavour wasn't overpowering but they weren't subtle either. This dish was fancy comfort food. The food at this lounge was pretty amazing and you should definitely visit this if you haven't already! @foodtalkindia @niche.lounge",Rated 4.5,2,0,??
Rahul Batra,"Rated Sometimes your day is very good and sometimes your day is amazing.. but sometimes your day is outstanding and that happens when you are able to find your niche. I had only heard about Indian Accent, never been there but i am sure Niche is the place which will not only compete with Indian accent but definitely beat them as well especially on value for money. Talking about its very famous cocktails which would only blast your mind and give you a pure alcoholic feel. Not even one can be ignored when it comes to being tried by an alcoholic. About the food They have carefully worked on their menu and selected the preparation of all them by heart. Let it be rich flavors of molecular dishes or the presentations, they have killed them all. Full marks goes to the service as well, even in the crowded and full place, they will manage to give you your order in your best interest. Overall i think i have found the best of the best fine dine place for myself in order to go on a date or even with some friends. Cheers... bragstreet.in",Rated 4.5,0,0,Expert in Connaught Place
Dhruv Aditya Mehta,"Rated Niche is probably one of the prettiest place I've seen yet! The interiors are quite literally the word 'niche'. The place is spanned to two floors with three terraces. Coming to the food, the food is modern world cuisine. I had the jalapeo lamb burger, Pappu chicken and the pulled kathal tacos. Each of these dishes surpassed each other. Extremely impressed with the food! Coming to the drinks now, they have an international mixologist Matt working with them. Seeing the cocktail menu I was overjoyed just reading about such ingredients in cocktails. I had shrub step which was vodka based and the cask of amontillado which was Hennessy based. I felt like I was having drinks at a michelin star restaurant in Paris. Overall excellent experience kudos to the management and owners for their effort and best of luck to them!",Rated 5.0,4,319,??
Nimish Jain,"Rated Dropped by for the soft launch as a guest with a blogger, the place had an appealing interior and a pepped up staff. Tried their signature cocktails with The LightHouse a top contender for me. The lip smacking tacos was definitely amongst the must haves",Rated 4.5,5,74,??
Sugandha Saxena,Rated I was invited by Food Talk India for the Sneak Peak of Niche newly opened place. The ambience was superb. It was a fine dining setting. The place has numerous variety of drinks and the cocktailsZ I started off with cocktails. The style of serving cocktails from presentation to ingredients were very latest and unique. It had a quite western touch to it. The bartenders were experts and professionals and know their job thoroughly. They also show cased some cocktails live at the bar. It was a good entertainment. The appetisers were great as well. However the emphasis was more drinks than food. For mains I ordered - Beetroot Salad - presented very well. Was appealing to the eyes but taste was ok. Mutton Shanks - ( Rogan Josh Gravy ) which were tender and soft and were presented in the westernised manner. Also tried mushroom Risotto- the flavour was good but still lacked a bit of seasons and was little undercook. There was another dish I tried was made with cottage cheese roll which was absolutely yum and Tender. Dessert - I had chocolate mousse with raspberry jelly squares. The presentation was good but tasted better. My overall experience was great. I would certainly recommend people to try out this place. Food- 4/5 Drinks -4.5 Presentation -4/5 Ambience 5/5Jatinkhurana,Rated 4.5,26,101,??
Manavv Piplani (Bribing Stomach),"Rated Niche- Class,Lavish,Premium etc. etc. Heard alot about this place from fellow bloggers and reviewers who had visited this place which made me more and more curious. So,when I got an invite from FoodTalkIndia for the exclusive launch, my excitement level was on cloud 9 and it was completely worth it. The place has been designed amazingly, the space has been perfectly utilized. The interiors are more of classy. The best part is there are two outside sitting which are completely opposite to each other(look wise). The front outside sitting is more like chilled out place and the backside sitting gives you an adventurous look sitting in the woods, as all the decor is done by the bamboo sticks. There were a variety of drinks, I had Dillinger, it's a vodka based cocktail with citrus, bay leaf and lots of crushed ice. I loved it as it wasn't that bitter. Honey mustard sour, it's a rum based cocktail with honeycomb syrup, egg white and citrus. It looked amazing as you can refer in the pictures. In food, Paneer Dum ka roll is basically sweet and sour paneer stuffed in small rolls with little gravy. Chicken Arancini it looked quite nice, in shape of small balls with some chicken filling. Tastes delicious. Lamb Shank, rogan josh with some vegetables is a nice combination and very tasty too. I loved it when accompanied with some breads. After Dinner (Desert) 1816 FILP it looked like 3 kind of ice cream scoops but it weren't. One tasted somethings like cranberry other one tasted like chocolate and caramel. I didn't get it but it looked & tasted amazing so I didn't bothered that much. Commissioner Sheesha was very refreshing and had an amazing flavour which was very smooth. The sheesha guy Krishan treated us with a smile though out as we called him many times for the coal thing. The service was fine according to the buzz. It was a FoodTalkIndia's event and it justified it completely. There manager Narender managed everything decently and Mukesh & Pankaj served us with joy and made the event worth attending. Overall a very lavish place to be, go try to find & experience your ""Niche"".",Rated 5.0,0,0,Expert in Connaught Place
